Beta-16																					
      Date	      Time	   Battery	  Fix	       Latitude	      Longitude	    Dp>0.3	    Dp>0.5	    Dp>1.0	    Dp>2.5	    Dp>5.0	   Dp>10.0	   PM1_Std	 PM2.5_Std	  PM10_Std	   PM1_Env	 PM2.5_Env	  PM10_Env	   Temp(C)	     RH(%)	    P(hPa)	   Alti(m)
 2021/3/22	   9:34:14	3.90625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.809999	33.860352	101554	-19.048687
 2021/3/22	   9:34:24	3.9075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.860001	33.623047	101560.9375	-19.624859
 2021/3/22	   9:34:34	3.90625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.9	33.435547	101554.4844	-19.088839
 2021/3/22	   9:34:44	3.90625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.950001	33.594727	101557.5469	-19.3428
 2021/3/22	   9:34:54	3.90375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	33.538086	101558.1719	-19.394997
 2021/3/22	    9:35:4	3.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.040001	33.529297	101555.75	-19.194239
 2021/3/22	   9:35:14	3.90125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.08	33.339844	101558.4063	-19.414068
 2021/3/22	   9:35:24	3.90125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.120001	33.235352	101562.5	-19.754343
 2021/3/22	   9:35:34	3.9025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.17	33.407227	101558.4375	-19.41708
 2021/3/22	   9:35:44	3.90625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.219999	32.929688	101558.6563	-19.435146
 2021/3/22	   9:35:54	3.905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.26	33.100586	101559.8906	-19.537531
 2021/3/22	    9:36:4	3.8925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.299999	33.237305	101558.2813	-19.40403
 2021/3/22	   9:36:14	3.905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.34	33.05957	101560.5625	-19.593742
 2021/3/22	   9:36:24	3.905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.379999	32.978516	101568.5	-20.253193
 2021/3/22	   9:36:34	3.905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.43	33.331055	101558.1719	-19.394997
 2021/3/22	   9:36:44	3.90375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.48	33.225586	101568.9609	-20.292336
 2021/3/22	   9:36:54	3.90125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.530001	32.291016	101567.1328	-20.139774
 2021/3/22	    9:37:4	3.88875	0	0	0	39	10	0	0	0	0	0	0	0	0	0	0	21.57	31.764648	101563.6875	-19.853712
 2021/3/22	   9:37:14	3.9	0	0	0	39	10	0	0	0	0	0	0	0	0	0	0	21.610001	32.790039	101572.4375	-20.580393
 2021/3/22	   9:37:24	3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.65	31.264648	101569.6016	-20.345531
 2021/3/22	   9:37:34	3.90375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.690001	31.099609	101569.4063	-20.328468
 2021/3/22	   9:37:44	3.90375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.74	31.163086	101569.2031	-20.311407
 2021/3/22	   9:37:54	3.90375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.77	31.177734	101571.0469	-20.46497
 2021/3/22	    9:38:4	3.89125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.82	30.445312	101566.9766	-20.126726
 2021/3/22	   9:38:14	3.90375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.860001	30.413086	101566.375	-20.07654
 2021/3/22	   9:38:24	3.90375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.9	30.523438	101572.4844	-20.584406
 2021/3/22	   9:38:34	3.9025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.93	30.236328	101572.0859	-20.551287
 2021/3/22	   9:38:44	3.90125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.98	29.999023	101573.3125	-20.65366
 2021/3/22	   9:38:54	3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.01	29.833008	101569.0469	-20.299362
 2021/3/22	    9:39:4	3.88625	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	22.040001	29.726562	101568.6406	-20.265236
 2021/3/22	   9:39:14	3.89875	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	22.08	30.018555	101573.3281	-20.654663
 2021/3/22	   9:39:24	3.90125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.120001	30.044922	101569.4609	-20.417797
 2021/3/22	   9:39:34	3.90125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.16	29.662109	101570.3047	-20.403746
 2021/3/22	   9:39:44	3.90125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.200001	29.80957	101571.1172	-20.470991
 2021/3/22	   9:39:54	3.90125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.23	29.811523	101570.3125	-20.403746
 2021/3/22	    9:40:4	3.88875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.27	29.995117	101575	-20.793167
 2021/3/22	   9:40:14	3.90125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.299999	29.743164	101570.8984	-20.452927
 2021/3/22	   9:40:24	3.90125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.33	29.661133	101570.4922	-20.4188
 2021/3/22	   9:40:34	3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.370001	29.518555	101574.3672	-20.740978
 2021/3/22	   9:40:44	3.89875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.4	29.484375	101569.2813	-20.318432
 2021/3/22	   9:40:54	3.89875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.43	29.402344	101569.8594	-20.36661
 2021/3/22	    9:41:4	3.88625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.459999	29.368164	101571.2891	-20.485043
 2021/3/22	   9:41:14	3.89875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.5	29.286133	101574.5469	-20.756033
 2021/3/22	   9:41:24	3.89875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.530001	29.191406	101576.1797	-20.891523
 2021/3/22	   9:41:34	3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.559999	29.169922	101574.3438	-20.73897
 2021/3/22	   9:41:44	3.89875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.59	29.027344	101574.9609	-20.790155
 2021/3/22	   9:41:54	3.89875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.620001	28.932617	101579.4219	-21.160494
 2021/3/22	    9:42:4	3.88625	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	22.65	28.885742	101575.75	-20.855392
 2021/3/22	   9:42:14	3.89875	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	22.68	28.827148	101575.1484	-20.80521
 2021/3/22	   9:42:24	3.89875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.709999	28.744141	101575.7344	-20.854389
 2021/3/22	   9:42:34	3.89875	0	0	0	18	6	0	0	0	0	0	0	0	0	0	0	22.74	28.734375	101576.3438	-20.904572
 2021/3/22	   9:42:44	3.89625	0	0	0	18	6	0	0	0	0	0	0	0	0	0	0	22.77	28.62793	101578.7813	-21.108307
 2021/3/22	   9:42:54	3.89625	0	0	0	36	12	3	3	3	0	0	0	2	0	0	2	22.790001	28.556641	101581.4375	-21.328096
 2021/3/22	    9:43:4	3.88375	0	0	0	108	29	3	3	3	0	0	0	2	0	0	2	22.83	28.535156	101582.8281	-21.444511
 2021/3/22	   9:43:14	3.8975	0	0	0	90	23	0	0	0	0	0	0	0	0	0	0	22.85	28.452148	101579.9844	-21.207664
 2021/3/22	   9:43:24	3.8975	0	0	0	18	6	6	6	6	6	0	0	5	0	0	5	22.879999	28.356445	101580.6016	-21.258848
 2021/3/22	   9:43:34	3.8975	0	0	0	27	9	3	3	3	3	0	0	2	0	0	2	22.91	28.322266	101580.8047	-21.275909
 2021/3/22	   9:43:44	3.8975	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	22.93	28.311523	101582.0313	-21.377272
 2021/3/22	   9:43:54	3.8975	0	0	0	36	12	0	0	0	0	0	0	0	0	0	0	22.959999	28.192383	101583.2578	-21.479637
 2021/3/22	    9:44:4	3.88375	0	0	0	39	13	3	0	0	0	0	0	0	0	0	0	22.99	28.194336	101577.7188	-21.018984
 2021/3/22	   9:44:14	3.89625	0	0	0	48	13	3	0	0	0	0	0	0	0	0	0	23.01	28.160156	101582.4219	-21.410391
 2021/3/22	   9:44:24	3.89625	0	0	0	9	3	3	3	3	0	0	0	2	0	0	2	23.030001	28.101562	101581.1953	-21.308023
 2021/3/22	   9:44:34	3.89625	0	0	0	18	6	0	0	0	0	0	0	0	0	0	0	23.059999	27.994141	101583.4141	-21.492683
 2021/3/22	   9:44:44	3.89375	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	23.09	27.959961	101576.8828	-20.949734
 2021/3/22	   9:44:54	3.89375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.120001	27.888672	101581.7734	-21.356197
 2021/3/22	    9:45:4	3.8825	0	0	0	105	32	0	0	0	0	0	0	0	0	0	0	23.139999	27.853516	101583.1797	-21.472612
 2021/3/22	   9:45:14	3.89625	0	0	0	105	32	3	0	0	0	0	0	0	0	0	0	23.17	27.794922	101583.3828	-21.489674
 2021/3/22	   9:45:24	3.89625	0	0	0	18	6	0	0	0	0	0	0	0	0	0	0	23.18	27.78418	101581.9375	-21.370247
 2021/3/22	   9:45:34	3.89625	0	0	0	78	26	10	0	0	0	0	1	1	0	1	1	23.209999	27.760742	101582.5391	-21.419422
 2021/3/22	   9:45:44	3.895	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	23.24	27.678711	101587.6406	-21.843929
 2021/3/22	   9:45:54	3.895	0	0	0	27	9	3	3	3	3	0	0	2	0	0	2	23.25	27.643555	101580.4844	-21.249815
 2021/3/22	    9:46:4	3.8825	0	0	0	36	12	3	3	3	3	0	0	2	0	0	2	23.27	27.620117	101583.3125	-21.484655
 2021/3/22	   9:46:14	3.89375	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	23.299999	27.524414	101582.7031	-21.433474
 2021/3/22	   9:46:24	3.89	0	0	0	96	26	0	0	0	0	0	0	0	0	0	0	23.309999	27.5625	101579.4219	-21.160494
 2021/3/22	   9:46:34	3.89	0	0	0	117	33	0	0	0	0	0	0	0	0	0	0	23.34	27.479492	101586.1484	-21.71949
 2021/3/22	   9:46:44	3.89125	0	0	0	18	3	0	0	0	0	0	0	0	0	0	0	23.360001	27.541016	101581.875	-21.364225
 2021/3/22	   9:46:54	3.89125	0	0	0	48	13	0	0	0	0	0	0	0	0	0	0	23.379999	27.517578	101582.25	-21.396339
 2021/3/22	    9:47:4	3.88	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	23.389999	27.421875	101579.9922	-21.208668
 2021/3/22	   9:47:14	3.89375	0	0	0	27	6	3	3	3	3	0	0	2	0	0	2	23.43	27.375977	101582.0234	-21.377272
 2021/3/22	   9:47:24	3.89375	0	0	0	45	12	3	0	0	0	0	0	0	0	0	0	23.450001	27.329102	101584.2734	-21.563938
 2021/3/22	   9:47:34	3.89375	0	0	0	45	9	3	0	0	0	0	0	0	0	0	0	23.469999	27.160156	101584.25	-21.56193
 2021/3/22	   9:47:44	3.89375	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	23.49	27.222656	101578.3281	-21.070169
 2021/3/22	   9:47:54	3.89375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.51	27.199219	101582.1875	-21.391323
 2021/3/22	    9:48:4	3.88125	0	0	0	51	13	0	0	0	0	0	0	0	0	0	0	23.530001	27.333984	101584.0313	-21.543867
 2021/3/22	   9:48:14	3.88875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.549999	27.298828	101586.6406	-21.760635
 2021/3/22	   9:48:24	3.88875	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	23.57	27.250977	101581.5547	-21.338131
 2021/3/22	   9:48:34	3.88875	0	0	0	51	17	0	0	0	0	0	0	0	0	0	0	23.59	27.179688	101580.9141	-21.284941
 2021/3/22	   9:48:44	3.88875	0	0	0	111	33	0	0	0	0	0	0	0	0	0	0	23.610001	27.047852	101585.6094	-21.675333
 2021/3/22	   9:48:54	3.89	0	0	0	69	16	0	0	0	0	0	0	0	0	0	0	23.620001	26.891602	101582.3281	-21.402361
 2021/3/22	    9:49:4	3.87875	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	23.639999	26.855469	101581.9219	-21.36824
 2021/3/22	   9:49:14	3.89125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.66	26.796875	101582.7422	-21.436483
 2021/3/22	   9:49:24	3.89125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.68	26.80957	101584.7656	-21.605083
 2021/3/22	   9:49:34	3.89125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.690001	26.823242	101575.7969	-20.859407
 2021/3/22	   9:49:44	3.89125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.709999	26.823242	101582.5078	-21.417416
 2021/3/22	   9:49:54	3.88875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.73	26.71582	101579.0313	-21.12838
 2021/3/22	    9:50:4	3.87625	0	0	0	48	16	3	3	3	0	0	0	1	0	0	1	23.75	26.645508	101584.7266	-21.602074
 2021/3/22	   9:50:14	3.88625	0	0	0	48	16	3	3	3	0	0	0	1	0	0	1	23.77	26.609375	101588	-21.874037
 2021/3/22	   9:50:24	3.88625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.780001	26.598633	101587.5625	-21.836905
 2021/3/22	   9:50:34	3.88625	0	0	0	30	10	0	0	0	0	0	0	0	0	0	0	23.790001	26.647461	101587.75	-21.852962
 2021/3/22	   9:50:44	3.8875	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	23.82	26.600586	101582.8516	-21.445517
 2021/3/22	   9:50:54	3.88875	0	0	0	18	6	3	3	3	3	0	0	2	0	0	2	23.83	26.588867	101586.3047	-21.766657
 2021/3/22	    9:51:4	3.87625	0	0	0	57	12	3	3	3	3	0	0	2	0	0	2	23.84	26.577148	101581.625	-21.344154
 2021/3/22	   9:51:14	3.88875	0	0	0	75	18	0	0	0	0	0	0	0	0	0	0	23.860001	26.505859	101579.7578	-21.188595
 2021/3/22	   9:51:24	3.88875	0	0	0	255	46	0	0	0	0	0	0	0	0	0	0	23.870001	26.446289	101578.9219	-21.357201
 2021/3/22	   9:51:34	3.88875	0	0	0	1911	382	0	0	0	0	6	6	6	6	6	6	23.889999	26.314453	101580.7656	-21.272898
 2021/3/22	   9:51:44	3.88875	0	0	0	6408	1559	0	0	0	0	28	28	28	24	28	28	23.91	26.279297	101580.3281	-21.235765
 2021/3/22	   9:51:54	3.88625	0	0	0	11316	3314	6	0	0	0	65	66	66	42	48	57	23.93	26.352539	101582.9766	-21.456554
 2021/3/22	    9:52:4	3.87375	0	0	0	5529	1637	0	0	0	0	32	32	32	27	31	32	23.959999	26.402344	101588.0469	-21.87805
 2021/3/22	   9:52:14	3.88625	0	0	0	738	219	3	0	0	0	3	3	3	3	3	3	23.969999	26.378906	101588.2656	-21.895111
 2021/3/22	   9:52:24	3.88625	0	0	0	261	78	0	0	0	0	1	1	1	1	1	1	23.98	26.428711	101586.4063	-21.741568
 2021/3/22	   9:52:34	3.88625	0	0	0	3498	1028	0	0	0	0	19	19	19	19	19	19	23.99	26.380859	101587	-21.790743
 2021/3/22	   9:52:44	3.885	0	0	0	7839	2300	0	0	0	0	46	46	46	33	39	46	24	26.295898	101584.5469	-21.587019
 2021/3/22	   9:52:54	3.88375	0	0	0	10296	2989	0	0	0	0	59	59	59	38	45	54	24.01	26.28418	101584.1406	-21.552898
 2021/3/22	    9:53:4	3.87125	0	0	0	11889	3426	3	0	0	0	67	68	68	44	50	59	24.030001	26.212891	101589.0313	-21.959337
 2021/3/22	   9:53:14	3.885	0	0	0	13149	3816	3	0	0	0	75	75	75	49	52	63	24.030001	26.165039	101582.6875	-21.432468
 2021/3/22	   9:53:24	3.88625	0	0	0	13704	3980	3	3	3	3	80	80	82	53	55	67	24.049999	26.238281	101589.4375	-21.992455
 2021/3/22	   9:53:34	3.8875	0	0	0	14457	4198	3	3	3	3	82	82	84	54	54	67	24.07	26.203125	101591.2422	-22.142982
 2021/3/22	   9:53:44	3.88625	0	0	0	7179	2108	9	0	0	0	41	41	41	31	37	41	24.09	26.277344	101590.625	-22.091803
 2021/3/22	   9:53:54	3.88375	0	0	0	198	55	6	0	0	0	0	0	0	0	0	0	24.1	26.193359	101587.3281	-21.97138
 2021/3/22	    9:54:4	3.87125	0	0	0	1668	500	0	0	0	0	8	8	8	8	8	8	24.110001	26.193359	101591.4063	-22.157032
 2021/3/22	   9:54:14	3.88375	0	0	0	3702	1095	0	0	0	0	21	21	21	21	21	21	24.120001	26.194336	101587.3359	-21.818842
 2021/3/22	   9:54:24	3.88375	0	0	0	4962	1436	0	0	0	0	27	27	27	24	27	27	24.129999	26.061523	101590.7969	-22.105852
 2021/3/22	   9:54:34	3.885	0	0	0	5445	1617	0	0	0	0	30	30	30	26	30	30	24.15	26.013672	101594.2422	-22.392855
 2021/3/22	   9:54:44	3.88625	0	0	0	5445	1648	0	0	0	0	32	32	32	26	31	32	24.16	26.050781	101594.4375	-22.408911
 2021/3/22	   9:54:54	3.88625	0	0	0	5883	1771	0	0	0	0	34	34	34	28	33	34	24.16	26.063477	101590.9844	-22.121908
 2021/3/22	    9:55:4	3.87375	0	0	0	5748	1737	0	0	0	0	34	34	34	28	33	34	24.190001	26.02832	101596.0469	-22.542374
 2021/3/22	   9:55:14	3.885	0	0	0	5094	1497	0	0	0	0	29	29	29	25	29	29	24.190001	25.993164	101591.5469	-22.16807
 2021/3/22	   9:55:24	3.88375	0	0	0	4566	1350	0	0	0	0	25	25	25	23	25	25	24.200001	25.993164	101597.4844	-22.661787
 2021/3/22	   9:55:34	3.8825	0	0	0	4512	1320	0	0	0	0	25	25	25	22	25	25	24.219999	26.018555	101591.7344	-22.184126
 2021/3/22	   9:55:44	3.88125	0	0	0	4149	1239	0	0	0	0	23	23	23	22	23	23	24.24	26.055664	101595.5938	-22.504242
 2021/3/22	   9:55:54	3.88125	0	0	0	3486	1081	0	0	0	0	20	20	20	20	20	20	24.24	25.995117	101595	-22.45507
 2021/3/22	    9:56:4	3.86875	0	0	0	3255	999	0	0	0	0	18	18	18	18	18	18	24.25	25.947266	101598.0469	-22.707945
 2021/3/22	   9:56:14	3.8825	0	0	0	3225	973	0	0	0	0	17	17	17	17	17	17	24.26	25.947266	101592.9219	-22.282469
 2021/3/22	   9:56:24	3.88375	0	0	0	2544	702	0	0	0	0	12	12	12	12	12	12	24.280001	25.924805	101600.6719	-22.926697
 2021/3/22	   9:56:34	3.88375	0	0	0	2187	625	0	0	0	0	11	11	11	11	11	11	24.290001	25.9375	101598.0234	-22.705938
 2021/3/22	   9:56:44	3.88375	0	0	0	1893	554	0	0	0	0	10	10	10	10	10	10	24.309999	25.914062	101600.8594	-22.94175
 2021/3/22	   9:56:54	3.885	0	0	0	1623	486	0	0	0	0	8	8	8	8	8	8	24.309999	25.841797	101598.4063	-22.738049
 2021/3/22	    9:57:4	3.87125	0	0	0	1326	394	0	0	0	0	6	6	6	6	6	6	24.32	25.805664	101591.0313	-22.125921
 2021/3/22	   9:57:14	3.88125	0	0	0	1059	309	0	0	0	0	4	4	4	4	4	4	24.33	25.927734	101591.6563	-22.177101
 2021/3/22	   9:57:24	3.88125	0	0	0	774	224	0	0	0	0	3	3	3	3	3	3	24.33	25.916016	101595.3281	-22.482164
 2021/3/22	   9:57:34	3.88125	0	0	0	564	150	0	0	0	0	2	2	2	2	2	2	24.35	25.794922	101593.0625	-22.649744
 2021/3/22	   9:57:44	3.88	0	0	0	489	130	0	0	0	0	1	1	1	1	1	1	24.360001	25.78418	101596.9453	-22.616631
 2021/3/22	   9:57:54	3.88	0	0	0	246	69	0	0	0	0	0	0	0	0	0	0	24.370001	26.706055	101591	-22.122911
 2021/3/22	    9:58:4	3.86875	0	0	0	66	19	0	0	0	0	0	0	0	0	0	0	24.379999	27.155273	101594.8906	-22.446039
 2021/3/22	   9:58:14	3.88125	0	0	0	114	21	0	0	0	0	0	0	0	0	0	0	24.4	26.271484	101602.0469	-23.040085
 2021/3/22	   9:58:24	3.88125	0	0	0	66	6	0	0	0	0	0	0	0	0	0	0	24.41	26.041016	101598.5625	-22.751095
 2021/3/22	   9:58:34	3.8825	0	0	0	36	9	0	0	0	0	0	0	0	0	0	0	24.42	26.115234	101599.5625	-22.834381
 2021/3/22	   9:58:44	3.88375	0	0	0	39	9	0	0	0	0	0	0	0	0	0	0	24.440001	27.365234	101599.5313	-22.831371
 2021/3/22	   9:58:54	3.88375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.440001	26.673828	101599.9688	-22.867495
