Breakout-04
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
   21/3/22,  16:36:28,  4.033750,    0,       0.000000,       0.000000,        75,        19,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:36:48,  4.035000,    0,       0.000000,       0.000000,        75,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   16:37:8,  4.036250,    0,       0.000000,       0.000000,        18,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:37:28,  4.037500,    0,       0.000000,       0.000000,       120,        23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:37:48,  4.037500,    0,       0.000000,       0.000000,        99,        23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   16:38:8,  4.033750,    0,       0.000000,       0.000000,        36,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:38:28,  4.035000,    0,       0.000000,       0.000000,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:38:48,  4.036250,    0,       0.000000,       0.000000,        21,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   16:39:8,  4.036250,    0,       0.000000,       0.000000,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:39:28,  4.036250,    0,       0.000000,       0.000000,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:39:48,  4.033750,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   16:40:8,  4.031250,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:40:28,  4.031250,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  16:40:48,  4.033750,    0,       0.000000,       0.000000,      1011,       207,        10,         0,         0,         0,         3,         3,         3,         3,         3,         3
   21/3/22,   16:41:8,  4.035000,    0,       0.000000,       0.000000,       768,       188,        13,         0,         0,         0,         2,         3,         3,         2,         3,         3
   21/3/22,  16:41:28,  4.033750,    0,       0.000000,       0.000000,      1638,       498,        86,        19,         9,         6,        10,        16,        23,        10,        16,        23
   21/3/22,  16:41:48,  4.033750,    0,       0.000000,       0.000000,       519,       138,        29,        19,         9,         3,         1,         5,        12,         1,         5,        12
