S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
276,351,239,255,314,253,184.3333333,203.3333333,350.3333333,291.6666667,175.3333333,215,220.3333333,176,49,145,150,226.372549,10863.48323
207,313,157,132,281,241,228,160.3333333,342,348,180,246,237.3333333,215,39,257,119,217.8039216,12807.44379
186,312,181,148,181,237,252,178.3333333,260,317,200,233,261.3333333,141,52,241,126,206.2745098,7925.195266
257,158,208,313,240,190,303,199.3333333,254,294.3333333,164.3333333,233.3333333,249.3333333,126,79,140,76,204.9803921,6047.495069
272,200,182,260,178,198,287,272.3333333,241.3333333,247,158.3333333,205,220,157,77,142,68,197.9411765,6202.09073
218,294,217,152,145,196,249,294.3333333,211,234,198,181,178,172,70,87,134,190.0196078,7414.378698
291,251,247,231,269,193,201.3333333,279,151,248.3333333,168.3333333,205,156.3333333,165,108,144,146,203.1960784,7432.493097
273,253,217,193,224,190,203,178.3333333,157,316.3333333,123,177,204,211,72,131,121,190.8039216,6703.810651
218,149,186,108,214,167,294,152,161.3333333,280,111,153,212,141,87,155,82,168.8431373,7261.266272
192,196,263,126,192,165,228,138.3333333,170.3333333,216.3333333,99,195,158,163,77,81,126,163.8823529,5712.883629
157,222,275,205,166,133,146.3333333,155.3333333,155.3333333,162.3333333,87.33333333,168.3333333,114,178,39,88,86,149.2941176,5170.374753
187,126,249,115,146,124,129.3333333,191.3333333,141.6666667,155,107.3333333,177.3333333,137,132,92,205,74,146.4117647,3482.177515
241,128,113,132,117,180,91.33333333,189,133.6666667,158.3333333,128.3333333,224,157,144,91,183,53,144.9215686,5498.78501
184,250,168,167,97,214,105,162,106,167.3333333,106,207,145,134,45,135,99,146.5490196,5212.153846
231,129,189,142,126,147,114,193,91,205,79.33333333,140,131,106,61,97,69,132.372549,4661.207101
198,165,123,113,191,201,183,214,110.3333333,225.6666667,124,119.3333333,124,91,82,77,79,142.372549,5836.863905
199,119,137,64,164,159,190.3333333,229,200,279,172.3333333,144.3333333,126,137,71,102,68,150.6470588,7255.499014
207,67,139,126,155,149,177,186.3333333,232,256,127,130.3333333,226,152,86,97,72,152.0392157,7486.331361
171,69,211,180,112,110,114,156,182.3333333,217.3333333,127.3333333,144,199,87,79,93,79,137.1176471,6697.700197
183,97,119,92,103,114,135,144,112,131,161,126,148,65,65,190,131,124.4705882,4612.331361
158,102,109,114,117,171,169,136,73,125,110.3333333,83,97.33333333,68,73,182,103,117.0980392,3699.964497
126,190,108,158,171,184,157,111.3333333,84.33333333,127.3333333,87.33333333,83,120,127,71,93,101,123.4901961,3564.646943
174,128,82,116,182,113,126,92,98,91,98,59,135,146,45,68,73,107.4117647,3715.455621
219,138,97,42,167,170,126,106.3333333,94,81,84,89.33333333,116.3333333,96,37,80,84,107.4705882,4064.268245
189,151,109,138,145,129,149,119.3333333,103.3333333,69.33333333,134,126,89.33333333,73,40,120,81,115.6078431,4032.031558
131,82,99,76,104,116,103,111,56.33333333,91.33333333,184,108,72.33333333,106,19,112,81,97.17647059,4825.605523
99,115,101,26,127,132,87,105,64,77,126.3333333,92,61.33333333,105,20,95,76,88.74509804,3248.130178
103,76,135,131,126,161,87,128.3333333,67.33333333,79.66666667,26,89.33333333,49.33333333,115,35,74,63,90.94117647,4036.769231
107,73,173,216,58,100,84,148,83.33333333,111.3333333,28,101,65.33333333,87,105,79,114,101.9411765,5415.700197
90,68,91,143,91,72,87,143.3333333,89,131,43,105,89,75,86,102,127,96.01960784,1740.130178
62,111,50,99,111,198,130,101.3333333,89.33333333,126.3333333,58,72,115.3333333,82,53,90,115,97.84313725,3181.084813
