S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance
23.4,93.3,6.6,11.8,19.3,36,26.43333333,18.1,8.433333333,31.7,14.4,12.3,21.9,32.2,0.9,5.1,0,0.9,20.1537037,736.2894815
25.2,93.4,7.8,11.4,18.4,36,27.8,17.8,8.8,32.6,15.2,11.73333333,22.2,29.6,1.2,4.8,0,1.2,20.28518519,740.9914074
27,93.5,9,11,17.5,36,29.16666667,17.5,9.166666667,33.5,16,11.16666667,22.5,27,1.5,4.5,0,1.5,20.41666667,745.6933333
28.8,93.6,10.2,10.6,16.6,36,30.53333333,17.2,9.533333333,34.4,16.8,10.6,22.8,24.4,1.8,4.2,0,1.8,20.54814815,750.3952593
30.6,93.7,11.4,10.2,15.7,36,31.9,16.9,9.9,35.3,17.6,10.03333333,23.1,21.8,2.1,3.9,0,2.1,20.67962963,755.0971852
32.4,93.8,12.6,9.8,14.8,36,33.26666667,16.6,10.26666667,36.2,18.4,9.466666667,23.4,19.2,2.4,3.6,0,2.4,20.81111111,759.7991111
34.2,93.9,13.8,9.4,13.9,36,34.63333333,16.3,10.63333333,37.1,19.2,8.9,23.7,16.6,2.7,3.3,0,2.7,20.94259259,764.501037
36,94,15,9,13,36,36,16,11,38,20,8.333333333,24,14,3,3,0,3,21.07407407,769.202963
163.6,86.5,15.6,1343.6,158.5,33.7,35.53333333,19.13333333,12.43333333,34.8,18.9,7.8,23.53333333,14.7,3,2.7,0,4,109.8907407,3146863.876
291.2,79,16.2,2678.2,304,31.4,35.06666667,22.26666667,13.86666667,31.6,17.8,7.266666667,23.06666667,15.4,3,2.4,0,5,198.7074074,6292958.548
418.8,71.5,16.8,4012.8,449.5,29.1,34.6,25.4,15.3,28.4,16.7,6.733333333,22.6,16.1,3,2.1,0,6,287.5240741,9439053.221
546.4,64,17.4,5347.4,595,26.8,34.13333333,28.53333333,16.73333333,25.2,15.6,6.2,22.13333333,16.8,3,1.8,0,7,376.3407407,12585147.89
674,56.5,18,6682,740.5,24.5,33.66666667,31.66666667,18.16666667,22,14.5,5.666666667,21.66666667,17.5,3,1.5,0,8,465.1574074,15731242.57
801.6,49,18.6,8016.6,886,22.2,33.2,34.8,19.6,18.8,13.4,5.133333333,21.2,18.2,3,1.2,0,9,553.9740741,18877337.24
929.2,41.5,19.2,9351.2,1031.5,19.9,32.73333333,37.93333333,21.03333333,15.6,12.3,4.6,20.73333333,18.9,3,0.9,0,10,642.7907407,22023431.91
1056.8,34,19.8,10685.8,1177,17.6,32.26666667,41.06666667,22.46666667,12.4,11.2,4.066666667,20.26666667,19.6,3,0.6,0,11,731.6074074,25169526.58
1184.4,26.5,20.4,12020.4,1322.5,15.3,31.8,44.2,23.9,9.2,10.1,3.533333333,19.8,20.3,3,0.3,0,12,820.4240741,28315621.26
1312,19,21,13355,1468,13,31.33333333,47.33333333,25.33333333,6,9,3,19.33333333,21,3,0,0,13,909.2407407,31461715.93
1270.1,21.5,20.1,12595.56667,1879.5,12.4,30.9,47.03333333,25.2,6.3,8.7,6.3,20.03333333,20,3,0.9,0,13,887.8074076,29484318.48
1228.2,24,19.2,11836.13333,2291,11.8,30.46666667,46.73333333,25.06666667,6.6,8.4,9.6,20.73333333,19,3,1.8,0,13,866.3740739,27506921.03
1186.3,26.5,18.3,11076.7,2702.5,11.2,30.03333333,46.43333333,24.93333333,6.9,8.1,12.9,21.43333333,18,3,2.7,0,13,844.9407407,25529523.58
1144.4,29,17.4,10317.26667,3114,10.6,29.6,46.13333333,24.8,7.2,7.8,16.2,22.13333333,17,3,3.6,0,13,823.5074076,23552126.13
1102.5,31.5,16.5,9557.833333,3525.5,10,29.16666667,45.83333333,24.66666667,7.5,7.5,19.5,22.83333333,16,3,4.5,0,13,802.0740741,21574728.69
1060.6,34,15.6,8798.4,3937,9.4,28.73333333,45.53333333,24.53333333,7.8,7.2,22.8,23.53333333,15,3,5.4,0,13,780.6407407,19597331.24
1018.7,36.5,14.7,8038.966667,4348.5,8.8,28.3,45.23333333,24.4,8.1,6.9,26.1,24.23333333,14,3,6.3,0,13,759.2074074,17619933.79
976.8,39,13.8,7279.533333,4760,8.2,27.86666667,44.93333333,24.26666667,8.4,6.6,29.4,24.93333333,13,3,7.2,0,13,737.7740741,15642536.34
