S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
30.0,0.0,45.0,30.0,9.0,18.0,27.0,9.0,45.0,0.0,31.0,0.0,9.0,0.0,18.0,126.0,78.0,19.46153846153846,244.86390532544385,16.2,17.5,25.5,55.5
29.1,0.9,43.2,30.0,8.1,20.4,27.9,8.1,42.7,3.4,31.2,10.5,9.0,3.3,17.1,121.2,75.3,20.346153846153843,286.75266272189356,18.14,17.95,25.5,54.225
28.2,1.8,41.4,30.0,7.2,22.8,28.8,7.2,40.4,6.8,31.4,21.0,9.0,6.6,16.2,116.4,72.6,21.23076923076923,328.64142011834326,20.08,18.4,25.5,52.95
27.3,2.7,39.6,30.0,6.3,25.2,29.7,6.3,38.1,10.2,31.6,31.5,9.0,9.899999999999999,15.3,111.6,69.9,22.115384615384613,370.530177514793,22.02,18.85,25.5,51.675
26.4,3.6,37.8,30.0,5.4,27.6,30.6,5.4,35.8,13.6,31.8,42.0,9.0,13.2,14.4,106.8,67.2,23.0,412.41893491124273,23.96,19.3,25.5,50.4
25.5,4.5,36.0,30.0,4.5,30.0,31.5,4.5,33.5,17.0,32.0,52.5,9.0,16.5,13.5,102.0,64.5,23.884615384615383,454.30769230769243,25.9,19.75,25.5,49.125
24.6,5.4,34.2,30.0,3.5999999999999996,32.4,32.4,3.5999999999999996,31.200000000000003,20.4,32.2,63.0,9.0,19.799999999999997,12.6,97.2,61.8,24.769230769230766,496.1964497041422,27.84,20.2,25.5,47.85
23.7,6.3,32.4,30.0,2.7,34.8,33.3,2.7,28.900000000000002,23.8,32.4,73.5,9.0,23.099999999999998,11.7,92.4,59.099999999999994,25.653846153846153,538.0852071005919,29.78,20.65,25.5,46.575
22.8,7.2,30.6,30.0,1.7999999999999998,37.2,34.2,1.7999999999999998,26.6,27.2,32.6,84.0,9.0,26.4,10.8,87.6,56.4,26.538461538461537,579.9739644970416,31.72,21.1,25.5,45.3
21.9,8.1,28.8,30.0,0.9000000000000004,39.599999999999994,35.1,0.9000000000000004,24.3,30.599999999999998,32.8,94.5,9.0,29.7,9.9,82.80000000000001,53.7,27.423076923076923,621.8627218934913,33.66,21.55,25.5,44.025
21.0,9.0,27.0,30.0,0.0,42.0,36.0,0.0,22.0,34.0,33.0,105.0,9.0,33.0,9.0,78.0,51.0,28.307692307692307,663.751479289941,35.6,22.0,25.5,42.75
19.8,9.0,26.1,28.8,0.9,41.1,37.8,0.0,20.7,31.5,31.3,107.7,9.0,33.9,10.8,73.2,52.2,27.976923076923075,710.4071005917161,35.88,20.65,25.425,42.525
18.6,9.0,25.2,27.6,1.8,40.2,39.6,0.0,19.4,29.0,29.6,110.4,9.0,34.8,12.6,68.4,53.4,27.646153846153844,757.0627218934912,36.160000000000004,19.3,25.35,42.3
17.4,9.0,24.3,26.4,2.7,39.3,41.4,0.0,18.1,26.5,27.9,113.1,9.0,35.7,14.4,63.6,54.6,27.315384615384616,803.7183431952665,36.44,17.95,25.275,42.075
16.2,9.0,23.4,25.2,3.6,38.4,43.2,0.0,16.8,24.0,26.2,115.8,9.0,36.6,16.2,58.8,55.8,26.984615384615385,850.3739644970416,36.72,16.6,25.2,41.85
15.0,9.0,22.5,24.0,4.5,37.5,45.0,0.0,15.5,21.5,24.5,118.5,9.0,37.5,18.0,54.0,57.0,26.653846153846153,897.0295857988167,37.0,15.25,25.125,41.625
13.8,9.0,21.6,22.8,5.4,36.6,46.8,0.0,14.2,19.0,22.8,121.2,9.0,38.4,19.8,49.2,58.2,26.323076923076922,943.6852071005918,37.28,13.899999999999999,25.05,41.4
12.6,9.0,20.7,21.6,6.3,35.7,48.6,0.0,12.9,16.5,21.1,123.9,9.0,39.3,21.6,44.4,59.4,25.99230769230769,990.3408284023669,37.56,12.549999999999999,24.975,41.175
11.4,9.0,19.8,20.4,7.2,34.8,50.4,0.0,11.6,14.0,19.4,126.6,9.0,40.2,23.4,39.6,60.6,25.661538461538463,1036.9964497041422,37.839999999999996,11.2,24.9,40.95
10.200000000000001,9.0,18.9,19.200000000000003,8.1,33.9,52.2,0.0,10.299999999999999,11.5,17.700000000000003,129.3,9.0,41.1,25.2,34.800000000000004,61.8,25.33076923076923,1083.6520710059172,38.12,9.85,24.825,40.725
9.0,9.0,18.0,18.0,9.0,33.0,54.0,0.0,9.0,9.0,16.0,132.0,9.0,42.0,27.0,30.0,63.0,25.0,1130.3076923076924,38.4,8.5,24.75,40.5
