S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
9.0,0.0,45.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,39.0,18.0,9.0,0.0,9.923076923076923,217.9171597633136,9.0,7.8,13.5,0.0
9.0,0.0,45.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,35.1,23.1,14.4,0.4,10.430769230769231,257.60236686390533,11.625,7.02,13.5,0.1
9.0,0.0,45.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,31.2,28.2,19.8,0.8,10.938461538461539,297.287573964497,14.25,6.24,13.5,0.2
9.0,0.0,45.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,27.3,33.3,25.200000000000003,1.2000000000000002,11.446153846153846,336.9727810650887,16.875,5.46,13.5,0.30000000000000004
9.0,0.0,45.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,23.4,38.4,30.6,1.6,11.953846153846154,376.6579881656805,19.5,4.68,13.5,0.4
9.0,0.0,45.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,19.5,43.5,36.0,2.0,12.461538461538462,416.34319526627223,22.125,3.8999999999999995,13.5,0.5
9.0,0.0,45.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,15.600000000000001,48.599999999999994,41.400000000000006,2.4000000000000004,12.96923076923077,456.02840236686393,24.75,3.12,13.5,0.6000000000000001
9.0,0.0,45.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,11.7,53.699999999999996,46.800000000000004,2.8000000000000003,13.476923076923077,495.7136094674556,27.375,2.34,13.5,0.7000000000000001
9.0,0.0,45.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.800000000000001,58.8,52.2,3.2,13.984615384615385,535.3988165680473,30.0,1.5599999999999996,13.5,0.8
9.0,0.0,45.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.8999999999999986,63.9,57.6,3.6,14.492307692307692,575.084023668639,32.625,0.7799999999999994,13.5,0.9
9.0,0.0,45.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,63.0,4.0,15.0,614.7692307692308,35.25,0.0,13.5,1.0
8.5,0.0,58.5,0.0,8.1,0.0,0.0,0.0,0.0,3.3,0.0,68.1,60.0,4.5,15.884615384615385,790.228402366864,34.15,0.6599999999999999,16.65,1.125
8.0,0.0,72.0,0.0,7.2,0.0,0.0,0.0,0.0,6.6,0.0,67.2,57.0,5.0,16.76923076923077,965.6875739644972,33.05,1.3199999999999998,19.8,1.25
7.5,0.0,85.5,0.0,6.3,0.0,0.0,0.0,0.0,9.899999999999999,0.0,66.3,54.0,5.5,17.653846153846153,1141.1467455621305,31.95,1.9799999999999998,22.95,1.375
7.0,0.0,99.0,0.0,5.4,0.0,0.0,0.0,0.0,13.2,0.0,65.4,51.0,6.0,18.53846153846154,1316.6059171597635,30.85,2.6399999999999997,26.1,1.5
6.5,0.0,112.5,0.0,4.5,0.0,0.0,0.0,0.0,16.5,0.0,64.5,48.0,6.5,19.423076923076923,1492.065088757397,29.75,3.3,29.25,1.625
6.0,0.0,126.0,0.0,3.5999999999999996,0.0,0.0,0.0,0.0,19.799999999999997,0.0,63.6,45.0,7.0,20.307692307692307,1667.52426035503,28.65,3.9599999999999995,32.4,1.75
5.5,0.0,139.5,0.0,2.7,0.0,0.0,0.0,0.0,23.099999999999998,0.0,62.7,42.0,7.5,21.192307692307693,1842.983431952663,27.549999999999997,4.619999999999999,35.55,1.875
5.0,0.0,153.0,0.0,1.7999999999999998,0.0,0.0,0.0,0.0,26.4,0.0,61.8,39.0,8.0,22.076923076923077,2018.4426035502966,26.45,5.279999999999999,38.7,2.0
4.5,0.0,166.5,0.0,0.9000000000000004,0.0,0.0,0.0,0.0,29.7,0.0,60.9,36.0,8.5,22.961538461538463,2193.9017751479296,25.35,5.9399999999999995,41.849999999999994,2.125
4.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,60.0,33.0,9.0,23.846153846153847,2369.360946745563,24.25,6.6,45.0,2.25
3.6,0.0,180.0,0.0,0.0,0.9,0.0,0.0,0.0,33.9,4.8,54.9,30.6,8.5,23.746153846153845,2362.6224852071014,22.275,7.74,45.225,2.125
3.2,0.0,180.0,0.0,0.0,1.8,0.0,0.0,0.0,34.8,9.6,49.8,28.2,8.0,23.646153846153847,2355.88402366864,20.3,8.879999999999999,45.45,2.0
2.8,0.0,180.0,0.0,0.0,2.7,0.0,0.0,0.0,35.7,14.399999999999999,44.7,25.8,7.5,23.546153846153846,2349.1455621301784,18.325,10.02,45.675,1.875
2.4,0.0,180.0,0.0,0.0,3.6,0.0,0.0,0.0,36.6,19.2,39.6,23.4,7.0,23.446153846153848,2342.4071005917167,16.35,11.16,45.9,1.75
2.0,0.0,180.0,0.0,0.0,4.5,0.0,0.0,0.0,37.5,24.0,34.5,21.0,6.5,23.346153846153847,2335.668639053255,14.375,12.3,46.125,1.625
1.5999999999999996,0.0,180.0,0.0,0.0,5.4,0.0,0.0,0.0,38.4,28.799999999999997,29.400000000000002,18.6,6.0,23.246153846153845,2328.9301775147937,12.399999999999999,13.440000000000001,46.35,1.5
1.1999999999999997,0.0,180.0,0.0,0.0,6.3,0.0,0.0,0.0,39.3,33.6,24.300000000000004,16.2,5.5,23.146153846153847,2322.191715976332,10.424999999999999,14.58,46.575,1.375
0.7999999999999998,0.0,180.0,0.0,0.0,7.2,0.0,0.0,0.0,40.2,38.4,19.200000000000003,13.8,5.0,23.046153846153846,2315.4532544378703,8.45,15.72,46.8,1.25
0.3999999999999999,0.0,180.0,0.0,0.0,8.1,0.0,0.0,0.0,41.1,43.199999999999996,14.100000000000001,11.400000000000002,4.5,22.946153846153848,2308.714792899409,6.474999999999998,16.86,47.025,1.125
0.0,0.0,180.0,0.0,0.0,9.0,0.0,0.0,0.0,42.0,48.0,9.0,9.0,4.0,22.846153846153847,2301.9763313609474,4.5,18.0,47.25,1.0
0.0,0.0,180.0,0.0,0.0,11.7,0.0,0.0,0.0,37.8,43.2,9.0,8.1,3.6,22.29230769230769,2301.6461538461544,4.275,16.2,47.925,0.9
0.0,0.0,180.0,0.0,0.0,14.4,0.0,0.0,0.0,33.6,38.4,9.0,7.2,3.2,21.73846153846154,2301.3159763313615,4.05,14.4,48.6,0.8
0.0,0.0,180.0,0.0,0.0,17.1,0.0,0.0,0.0,29.4,33.6,9.0,6.3,2.8,21.184615384615384,2300.9857988165686,3.825,12.6,49.275,0.7
0.0,0.0,180.0,0.0,0.0,19.8,0.0,0.0,0.0,25.2,28.8,9.0,5.4,2.4,20.630769230769232,2300.6556213017757,3.6,10.8,49.95,0.6
