S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
12.6,35.1,0.0,0.0,60.0,3.6999999999999957,0.0,2.6999999999999993,0.0,0.9000000000000004,0.0,0.9000000000000004,8.1,12.6,9.538461538461538,326.0769230769231,1.6500000000000001,20.3,6.3,3.15
13.0,39.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,9.307692307692308,326.5207100591716,1.5,19.8,6.5,3.25
12.6,36.0,0.0,0.9,59.7,0.0,0.0,0.0,0.0,0.0,0.9,2.1,9.0,13.5,9.323076923076924,316.4165680473373,2.0,19.14,6.75,3.375
12.2,33.0,0.0,1.8,59.4,0.0,0.0,0.0,0.0,0.0,1.8,4.2,9.0,14.0,9.338461538461539,306.312426035503,2.5,18.48,7.0,3.5
11.8,30.0,0.0,2.7,59.1,0.0,0.0,0.0,0.0,0.0,2.7,6.300000000000001,9.0,14.5,9.353846153846154,296.2082840236686,3.0,17.82,7.25,3.625
11.4,27.0,0.0,3.6,58.8,0.0,0.0,0.0,0.0,0.0,3.6,8.4,9.0,15.0,9.36923076923077,286.1041420118343,3.5,17.16,7.5,3.75
11.0,24.0,0.0,4.5,58.5,0.0,0.0,0.0,0.0,0.0,4.5,10.5,9.0,15.5,9.384615384615385,276.0,4.0,16.5,7.75,3.875
10.6,21.0,0.0,5.4,58.2,0.0,0.0,0.0,0.0,0.0,5.4,12.600000000000001,9.0,16.0,9.4,265.8958579881657,4.5,15.84,8.0,4.0
10.2,18.0,0.0,6.3,57.9,0.0,0.0,0.0,0.0,0.0,6.3,14.700000000000001,9.0,16.5,9.415384615384616,255.79171597633137,5.0,15.18,8.25,4.125
9.8,15.0,0.0,7.2,57.6,0.0,0.0,0.0,0.0,0.0,7.2,16.8,9.0,17.0,9.430769230769231,245.68757396449706,5.5,14.52,8.5,4.25
9.4,12.0,0.0,8.1,57.3,0.0,0.0,0.0,0.0,0.0,8.1,18.900000000000002,9.0,17.5,9.446153846153846,235.58343195266272,6.0,13.86,8.75,4.375
9.0,9.0,0.0,9.0,57.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,9.0,18.0,9.461538461538462,225.4792899408284,6.5,13.2,9.0,4.5
9.9,9.0,0.4,8.1,55.2,1.8,0.0,0.0,0.9,0.0,8.1,21.9,9.0,17.5,9.561538461538461,217.5869822485207,6.65,13.28,9.0,4.375
10.8,9.0,0.8,7.2,53.4,3.6,0.0,0.0,1.8,0.0,7.2,22.8,9.0,17.0,9.661538461538461,209.69467455621302,6.8,13.36,9.0,4.25
11.7,9.0,1.2000000000000002,6.3,51.6,5.4,0.0,0.0,2.7,0.0,6.3,23.7,9.0,16.5,9.761538461538462,201.80236686390532,6.95,13.44,9.0,4.125
12.6,9.0,1.6,5.4,49.8,7.2,0.0,0.0,3.6,0.0,5.4,24.6,9.0,16.0,9.861538461538462,193.91005917159765,7.1,13.52,9.0,4.0
13.5,9.0,2.0,4.5,48.0,9.0,0.0,0.0,4.5,0.0,4.5,25.5,9.0,15.5,9.961538461538462,186.01775147928996,7.25,13.6,9.0,3.875
14.4,9.0,2.4000000000000004,3.5999999999999996,46.2,10.8,0.0,0.0,5.4,0.0,3.5999999999999996,26.4,9.0,15.0,10.061538461538461,178.12544378698226,7.4,13.68,9.0,3.75
15.3,9.0,2.8000000000000003,2.7,44.4,12.6,0.0,0.0,6.3,0.0,2.7,27.3,9.0,14.5,10.161538461538461,170.23313609467456,7.55,13.76,9.0,3.625
16.2,9.0,3.2,1.7999999999999998,42.6,14.4,0.0,0.0,7.2,0.0,1.7999999999999998,28.2,9.0,14.0,10.261538461538462,162.34082840236687,7.7,13.84,9.0,3.5
17.1,9.0,3.6,0.9000000000000004,40.8,16.2,0.0,0.0,8.1,0.0,0.9000000000000004,29.1,9.0,13.5,10.361538461538462,154.4485207100592,7.85,13.92,9.0,3.375
18.0,9.0,4.0,0.0,39.0,18.0,0.0,0.0,9.0,0.0,0.0,30.0,9.0,13.0,10.461538461538462,146.5562130177515,8.0,14.0,9.0,3.25
19.2,9.0,5.4,0.0,40.2,18.0,0.0,0.0,9.0,0.0,0.0,27.0,11.1,12.6,10.684615384615384,155.87573964497045,7.85,14.52,9.6,3.15
20.4,9.0,6.8,0.0,41.4,18.0,0.0,0.0,9.0,0.0,0.0,24.0,13.2,12.2,10.907692307692308,165.19526627218937,7.7,15.04,10.2,3.05
21.6,9.0,8.2,0.0,42.6,18.0,0.0,0.0,9.0,0.0,0.0,21.0,15.3,11.8,11.13076923076923,174.5147928994083,7.55,15.559999999999999,10.8,2.95
22.8,9.0,9.6,0.0,43.8,18.0,0.0,0.0,9.0,0.0,0.0,18.0,17.4,11.4,11.353846153846154,183.83431952662724,7.4,16.08,11.4,2.85
24.0,9.0,11.0,0.0,45.0,18.0,0.0,0.0,9.0,0.0,0.0,15.0,19.5,11.0,11.576923076923077,193.1538461538462,7.25,16.6,12.0,2.75
25.2,9.0,12.399999999999999,0.0,46.2,18.0,0.0,0.0,9.0,0.0,0.0,12.0,21.6,10.6,11.8,202.4733727810651,7.1,17.119999999999997,12.6,2.65
26.4,9.0,13.799999999999999,0.0,47.4,18.0,0.0,0.0,9.0,0.0,0.0,9.0,23.700000000000003,10.2,12.023076923076923,211.79289940828403,6.95,17.64,13.2,2.55
27.6,9.0,15.2,0.0,48.6,18.0,0.0,0.0,9.0,0.0,0.0,6.0,25.8,9.8,12.246153846153845,221.11242603550298,6.8,18.16,13.8,2.45
28.799999999999997,9.0,16.6,0.0,49.8,18.0,0.0,0.0,9.0,0.0,0.0,3.0,27.900000000000002,9.4,12.46923076923077,230.43195266272193,6.65,18.68,14.399999999999999,2.35
30.0,9.0,18.0,0.0,51.0,18.0,0.0,0.0,9.0,0.0,0.0,0.0,30.0,9.0,12.692307692307692,239.75147928994085,6.5,19.2,15.0,2.25
27.0,8.5,18.0,0.0,51.3,18.0,0.0,0.0,9.0,0.9,3.0,0.0,29.1,9.4,12.676923076923076,239.15502958579884,7.0,19.16,13.5,2.35
24.0,8.0,18.0,0.0,51.6,18.0,0.0,0.0,9.0,1.8,6.0,0.0,28.2,9.8,12.661538461538461,238.5585798816568,7.5,19.12,12.0,2.45
21.0,7.5,18.0,0.0,51.9,18.0,0.0,0.0,9.0,2.7,9.0,0.0,27.3,10.2,12.646153846153846,237.9621301775148,8.0,19.08,10.5,2.55
18.0,7.0,18.0,0.0,52.2,18.0,0.0,0.0,9.0,3.6,12.0,0.0,26.4,10.6,12.63076923076923,237.36568047337278,8.5,19.04,9.0,2.65
15.0,6.5,18.0,0.0,52.5,18.0,0.0,0.0,9.0,4.5,15.0,0.0,25.5,11.0,12.615384615384615,236.76923076923077,9.0,19.0,7.5,2.75
12.0,6.0,18.0,0.0,52.8,18.0,0.0,0.0,9.0,5.4,18.0,0.0,24.6,11.4,12.6,236.17278106508877,9.5,18.96,6.0,2.85
9.0,5.5,18.0,0.0,53.1,18.0,0.0,0.0,9.0,6.3,21.0,0.0,23.7,11.8,12.584615384615384,235.57633136094674,10.0,18.92,4.5,2.95
6.0,5.0,18.0,0.0,53.4,18.0,0.0,0.0,9.0,7.2,24.0,0.0,22.8,12.2,12.569230769230769,234.97988165680474,10.5,18.88,3.0,3.05
3.0,4.5,18.0,0.0,53.7,18.0,0.0,0.0,9.0,8.1,27.0,0.0,21.9,12.6,12.553846153846154,234.3834319526627,11.0,18.84,1.5,3.15
0.0,4.0,18.0,0.0,54.0,18.0,0.0,0.0,9.0,9.0,30.0,0.0,21.0,13.0,12.538461538461538,233.7869822485207,11.5,18.8,0.0,3.25
0.0,3.6,16.2,0.0,54.0,18.0,0.0,0.0,9.0,44.1,38.1,86.7,18.9,13.5,22.200000000000003,5918.421301775146,32.8,18.36,0.0,3.375
0.0,3.2,14.4,0.0,54.0,18.0,0.0,0.0,9.0,79.2,46.2,173.4,16.8,14.0,31.861538461538466,11603.055621301772,54.1,17.92,0.0,3.5
0.0,2.8,12.6,0.0,54.0,18.0,0.0,0.0,9.0,114.30000000000001,54.3,260.1,14.7,14.5,41.52307692307693,17287.689940828397,75.4,17.48,0.0,3.625
0.0,2.4,10.8,0.0,54.0,18.0,0.0,0.0,9.0,149.4,62.4,346.8,12.6,15.0,51.18461538461539,22972.32426035502,96.7,17.04,0.0,3.75
0.0,2.0,9.0,0.0,54.0,18.0,0.0,0.0,9.0,184.5,70.5,433.5,10.5,15.5,60.846153846153854,28656.958579881644,118.0,16.6,0.0,3.875
0.0,1.5999999999999996,7.199999999999999,0.0,54.0,18.0,0.0,0.0,9.0,219.60000000000002,78.6,520.2,8.399999999999999,16.0,70.50769230769231,34341.59289940828,139.3,16.16,0.0,4.0
0.0,1.1999999999999997,5.4,0.0,54.0,18.0,0.0,0.0,9.0,254.70000000000002,86.69999999999999,606.9,6.299999999999999,16.5,80.16923076923077,40026.2272189349,160.6,15.72,0.0,4.125
0.0,0.7999999999999998,3.5999999999999996,0.0,54.0,18.0,0.0,0.0,9.0,289.8,94.8,693.6,4.199999999999999,17.0,89.83076923076923,45710.861538461526,181.9,15.280000000000001,0.0,4.25
