S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
17.7,8.7,26.55,7.65,19.2,7.65,5.45,35.4,8.85,10.5,6.6,16.65,11.7,21,16.05,5.85,0,16.35,13.43611111,220.7271111,13.69285714,15.46,10.2,9.5625
18.6,8.1,29.4,8.7,17.1,7.2,6.6,34.2,8.3,9,6.3,16.7,12.6,21,14.4,6.3,0,16.8,13.40555556,228.7991111,13.75714286,15.28,10.35,9.375
19.5,7.5,32.25,9.75,15,6.75,7.75,33,7.75,7.5,6,16.75,13.5,21,12.75,6.75,0,17.25,13.375,236.8711111,13.82142857,15.1,10.5,9.1875
20.4,6.9,35.1,10.8,12.9,6.3,8.9,31.8,7.2,6,5.7,16.8,14.4,21,11.1,7.2,0,17.7,13.34444444,244.9431111,13.88571429,14.92,10.65,9
21.3,6.3,37.95,11.85,10.8,5.85,10.05,30.6,6.65,4.5,5.4,16.85,15.3,21,9.45,7.65,0,18.15,13.31388889,253.0151111,13.95,14.74,10.8,8.8125
22.2,5.7,40.8,12.9,8.7,5.4,11.2,29.4,6.1,3,5.1,16.9,16.2,21,7.8,8.1,0,18.6,13.28333333,261.0871111,14.01428571,14.56,10.95,8.625
23.1,5.1,43.65,13.95,6.6,4.95,12.35,28.2,5.55,1.5,4.8,16.95,17.1,21,6.15,8.55,0,19.05,13.25277778,269.1591111,14.07857143,14.38,11.1,8.4375
24,4.5,46.5,15,4.5,4.5,13.5,27,5,0,4.5,17,18,21,4.5,9,0,19.5,13.22222222,277.2311111,14.14285714,14.2,11.25,8.25
24.9,4.05,45.15,15,4.5,4.05,13.95,25.2,4.5,0.65,7.35,16.5,17.3,19.35,4.05,15.6,0,18.45,13.36388889,276.3555556,14.51428571,14.07,10.675,9.525
25.8,3.6,43.8,15,4.5,3.6,14.4,23.4,4,1.3,10.2,16,16.6,17.7,3.6,22.2,0,17.4,13.50555556,275.48,14.88571429,13.94,10.1,10.8
26.7,3.15,42.45,15,4.5,3.15,14.85,21.6,3.5,1.95,13.05,15.5,15.9,16.05,3.15,28.8,0,16.35,13.64722222,274.6044444,15.25714286,13.81,9.525,12.075
27.6,2.7,41.1,15,4.5,2.7,15.3,19.8,3,2.6,15.9,15,15.2,14.4,2.7,35.4,0,15.3,13.78888889,273.7288889,15.62857143,13.68,8.95,13.35
28.5,2.25,39.75,15,4.5,2.25,15.75,18,2.5,3.25,18.75,14.5,14.5,12.75,2.25,42,0,14.25,13.93055556,272.8533333,16,13.55,8.375,14.625
29.4,1.8,38.4,15,4.5,1.8,16.2,16.2,2,3.9,21.6,14,13.8,11.1,1.8,48.6,0,13.2,14.07222222,271.9777778,16.37142857,13.42,7.8,15.9
30.3,1.35,37.05,15,4.5,1.35,16.65,14.4,1.5,4.55,24.45,13.5,13.1,9.45,1.35,55.2,0,12.15,14.21388889,271.1022222,16.74285714,13.29,7.225,17.175
31.2,0.9,35.7,15,4.5,0.9,17.1,12.6,1,5.2,27.3,13,12.4,7.8,0.9,61.8,0,11.1,14.35555556,270.2266667,17.11428571,13.16,6.65,18.45
32.1,0.45,34.35,15,4.5,0.45,17.55,10.8,0.5,5.85,30.15,12.5,11.7,6.15,0.45,68.4,0,10.05,14.49722222,269.3511111,17.48571429,13.03,6.075,19.725
33,0,33,15,4.5,0,18,9,0,6.5,33,12,11,4.5,0,75,0,9,14.63888889,268.4755556,17.85714286,12.9,5.5,21
32.55,0,64.05,2193.45,4.95,1.05,17.75,9,0,7.65,33.2,12.15,11.25,4.5,0,74.55,0,8.55,137.4805556,3049352.788,333.8428571,12.89,5.625,20.775
32.1,0,95.1,4371.9,5.4,2.1,17.5,9,0,8.8,33.4,12.3,11.5,4.5,0,74.1,0,8.1,260.3222222,6098437.101,649.8285714,12.88,5.75,20.55
31.65,0,126.15,6550.35,5.85,3.15,17.25,9,0,9.95,33.6,12.45,11.75,4.5,0,73.65,0,7.65,383.1638889,9147521.414,965.8142857,12.87,5.875,20.325
31.2,0,157.2,8728.8,6.3,4.2,17,9,0,11.1,33.8,12.6,12,4.5,0,73.2,0,7.2,506.0055556,12196605.73,1281.8,12.86,6,20.1
30.75,0,188.25,10907.25,6.75,5.25,16.75,9,0,12.25,34,12.75,12.25,4.5,0,72.75,0,6.75,628.8472222,15245690.04,1597.785714,12.85,6.125,19.875
30.3,0,219.3,13085.7,7.2,6.3,16.5,9,0,13.4,34.2,12.9,12.5,4.5,0,72.3,0,6.3,751.6888889,18294774.35,1913.771429,12.84,6.25,19.65
29.85,0,250.35,15264.15,7.65,7.35,16.25,9,0,14.55,34.4,13.05,12.75,4.5,0,71.85,0,5.85,874.5305556,21343858.67,2229.757143,12.83,6.375,19.425
29.4,0,281.4,17442.6,8.1,8.4,16,9,0,15.7,34.6,13.2,13,4.5,0,71.4,0,5.4,997.3722222,24392942.98,2545.742857,12.82,6.5,19.2
28.95,0,312.45,19621.05,8.55,9.45,15.75,9,0,16.85,34.8,13.35,13.25,4.5,0,70.95,0,4.95,1120.213889,27442027.29,2861.728571,12.81,6.625,18.975
28.5,0,343.5,21799.5,9,10.5,15.5,9,0,18,35,13.5,13.5,4.5,0,70.5,0,4.5,1243.055556,30491111.6,3177.714286,12.8,6.75,18.75
38.85,0.45,348.9,22765.6,17.85,9.9,14.4,8.1,0,17.55,31.95,13.5,14.4,5.55,0,63.45,0,4.05,1297.472222,34114170.14,3318.657143,12,7.425,16.875
49.2,0.9,354.3,23731.7,26.7,9.3,13.3,7.2,0,17.1,28.9,13.5,15.3,6.6,0,56.4,0,3.6,1351.888889,37737228.67,3459.6,11.2,8.1,15
59.55,1.35,359.7,24697.8,35.55,8.7,12.2,6.3,0,16.65,25.85,13.5,16.2,7.65,0,49.35,0,3.15,1406.305556,41360287.21,3600.542857,10.4,8.775,13.125
69.9,1.8,365.1,25663.9,44.4,8.1,11.1,5.4,0,16.2,22.8,13.5,17.1,8.7,0,42.3,0,2.7,1460.722222,44983345.74,3741.485714,9.6,9.45,11.25
80.25,2.25,370.5,26630,53.25,7.5,10,4.5,0,15.75,19.75,13.5,18,9.75,0,35.25,0,2.25,1515.138889,48606404.28,3882.428571,8.8,10.125,9.375
90.6,2.7,375.9,27596.1,62.1,6.9,8.9,3.6,0,15.3,16.7,13.5,18.9,10.8,0,28.2,0,1.8,1569.555556,52229462.81,4023.371429,8,10.8,7.5
100.95,3.15,381.3,28562.2,70.95,6.3,7.8,2.7,0,14.85,13.65,13.5,19.8,11.85,0,21.15,0,1.35,1623.972222,55852521.35,4164.314286,7.2,11.475,5.625
111.3,3.6,386.7,29528.3,79.8,5.7,6.7,1.8,0,14.4,10.6,13.5,20.7,12.9,0,14.1,0,0.9,1678.388889,59475579.88,4305.257143,6.4,12.15,3.75
121.65,4.05,392.1,30494.4,88.65,5.1,5.6,0.9,0,13.95,7.55,13.5,21.6,13.95,0,7.05,0,0.45,1732.805556,63098638.42,4446.2,5.6,12.825,1.875
132,4.5,397.5,31460.5,97.5,4.5,4.5,0,0,13.5,4.5,13.5,22.5,15,0,0,0,0,1787.222222,66721696.95,4587.142857,4.8,13.5,0
419.1,4.5,801.9,33839.1,139.5,4.95,6.3,1.35,1.65,13.05,4.5,13.05,23.55,14.4,0,0,0,0,1960.383333,78973860.34,5031.728571,5.64,14.025,0
706.2,4.5,1206.3,36217.7,181.5,5.4,8.1,2.7,3.3,12.6,4.5,12.6,24.6,13.8,0,0,0,0,2133.544444,91226023.74,5476.314286,6.48,14.55,0
993.3,4.5,1610.7,38596.3,223.5,5.85,9.9,4.05,4.95,12.15,4.5,12.15,25.65,13.2,0,0,0,0,2306.705556,103478187.1,5920.9,7.32,15.075,0
1280.4,4.5,2015.1,40974.9,265.5,6.3,11.7,5.4,6.6,11.7,4.5,11.7,26.7,12.6,0,0,0,0,2479.866667,115730350.5,6365.485714,8.16,15.6,0
1567.5,4.5,2419.5,43353.5,307.5,6.75,13.5,6.75,8.25,11.25,4.5,11.25,27.75,12,0,0,0,0,2653.027778,127982513.9,6810.071429,9,16.125,0
1854.6,4.5,2823.9,45732.1,349.5,7.2,15.3,8.1,9.9,10.8,4.5,10.8,28.8,11.4,0,0,0,0,2826.188889,140234677.3,7254.657143,9.84,16.65,0
2141.7,4.5,3228.3,48110.7,391.5,7.65,17.1,9.45,11.55,10.35,4.5,10.35,29.85,10.8,0,0,0,0,2999.35,152486840.7,7699.242857,10.68,17.175,0
2428.8,4.5,3632.7,50489.3,433.5,8.1,18.9,10.8,13.2,9.9,4.5,9.9,30.9,10.2,0,0,0,0,3172.511111,164739004.1,8143.828571,11.52,17.7,0
2715.9,4.5,4037.1,52867.9,475.5,8.55,20.7,12.15,14.85,9.45,4.5,9.45,31.95,9.6,0,0,0,0,3345.672222,176991167.5,8588.414286,12.36,18.225,0
3003,4.5,4441.5,55246.5,517.5,9,22.5,13.5,16.5,9,4.5,9,33,9,0,0,0,0,3518.833333,189243330.9,9033,13.2,18.75,0
2959.95,6.9,5409.75,51424.85,466.65,10.05,22.95,13.5,16.5,8.55,4.25,9.45,30.6,8.55,0.45,0.45,0,0,3355.188889,174884924.2,8612.007143,13.15,18.75,0.225
2916.9,9.3,6378,47603.2,415.8,11.1,23.4,13.5,16.5,8.1,4,9.9,28.2,8.1,0.9,0.9,0,0,3191.544444,160526517.5,8191.014286,13.1,18.75,0.45
2873.85,11.7,7346.25,43781.55,364.95,12.15,23.85,13.5,16.5,7.65,3.75,10.35,25.8,7.65,1.35,1.35,0,0,3027.9,146168110.8,7770.021429,13.05,18.75,0.675
