S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
3541.2,56.1,4006.5,13903.2,1160.7,8144.4,208.7,78.9,387,911.1,158.9,502.1,10.8,17.1,0,4.5,0,0,1838.4,21601959.62,4546.571429,170.12,33.45,1.125
3416.25,69,3849,13041.75,1062.75,7356,210.25,77.25,387,928,171.25,498.5,11.25,14.25,0,4.5,0,0,1727.611111,19118699.81,4260.714286,172,40.125,1.125
3291.3,81.9,3691.5,12180.3,964.8,6567.6,211.8,75.6,387,944.9,183.6,494.9,11.7,11.4,0,4.5,0,0,1616.822222,16635440,3974.857143,173.88,46.8,1.125
3166.35,94.8,3534,11318.85,866.85,5779.2,213.35,73.95,387,961.8,195.95,491.3,12.15,8.55,0,4.5,0,0,1506.033333,14152180.2,3689,175.76,53.475,1.125
3041.4,107.7,3376.5,10457.4,768.9,4990.8,214.9,72.3,387,978.7,208.3,487.7,12.6,5.7,0,4.5,0,0,1395.244444,11668920.39,3403.142857,177.64,60.15,1.125
2916.45,120.6,3219,9595.95,670.95,4202.4,216.45,70.65,387,995.6,220.65,484.1,13.05,2.85,0,4.5,0,0,1284.455556,9185660.578,3117.285714,179.52,66.825,1.125
2791.5,133.5,3061.5,8734.5,573,3414,218,69,387,1012.5,233,480.5,13.5,0,0,4.5,0,0,1173.666667,6702400.769,2831.428571,181.4,73.5,1.125
2706.9,123.15,2997.9,8569.5,582.9,3459,215.7,81.5,402.35,1007.7,245.4,477.8,16.35,0.9,0.45,5.85,0,0,1160.741667,6586088.096,2795.614286,189.17,69.75,1.575
2622.3,112.8,2934.3,8404.5,592.8,3504,213.4,94,417.7,1002.9,257.8,475.1,19.2,1.8,0.9,7.2,0,0,1147.816667,6469775.423,2759.8,196.94,66,2.025
2537.7,102.45,2870.7,8239.5,602.7,3549,211.1,106.5,433.05,998.1,270.2,472.4,22.05,2.7,1.35,8.55,0,0,1134.891667,6353462.75,2723.985714,204.71,62.25,2.475
2453.1,92.1,2807.1,8074.5,612.6,3594,208.8,119,448.4,993.3,282.6,469.7,24.9,3.6,1.8,9.9,0,0,1121.966667,6237150.077,2688.171429,212.48,58.5,2.925
2368.5,81.75,2743.5,7909.5,622.5,3639,206.5,131.5,463.75,988.5,295,467,27.75,4.5,2.25,11.25,0,0,1109.041667,6120837.404,2652.357143,220.25,54.75,3.375
2283.9,71.4,2679.9,7744.5,632.4,3684,204.2,144,479.1,983.7,307.4,464.3,30.6,5.4,2.7,12.6,0,0,1096.116667,6004524.732,2616.542857,228.02,51,3.825
2199.3,61.05,2616.3,7579.5,642.3,3729,201.9,156.5,494.45,978.9,319.8,461.6,33.45,6.3,3.15,13.95,0,0,1083.191667,5888212.059,2580.728571,235.79,47.25,4.275
2114.7,50.7,2552.7,7414.5,652.2,3774,199.6,169,509.8,974.1,332.2,458.9,36.3,7.2,3.6,15.3,0,0,1070.266667,5771899.386,2544.914286,243.56,43.5,4.725
2030.1,40.35,2489.1,7249.5,662.1,3819,197.3,181.5,525.15,969.3,344.6,456.2,39.15,8.1,4.05,16.65,0,0,1057.341667,5655586.713,2509.1,251.33,39.75,5.175
1945.5,30,2425.5,7084.5,672,3864,195,194,540.5,964.5,357,453.5,42,9,4.5,18,0,0,1044.416667,5539274.04,2473.285714,259.1,36,5.625
1855.5,32.4,2450.7,6797.4,700.8,3634.8,191.7,223.95,528.6,946.65,358.65,447.2,51.8,15.75,5.55,19.5,0,0,1014.497222,5190181.053,2392.071429,263.73,42.1,6.2625
1765.5,34.8,2475.9,6510.3,729.6,3405.6,188.4,253.9,516.7,928.8,360.3,440.9,61.6,22.5,6.6,21,0,0,984.5777778,4841088.066,2310.857143,268.36,48.2,6.9
1675.5,37.2,2501.1,6223.2,758.4,3176.4,185.1,283.85,504.8,910.95,361.95,434.6,71.4,29.25,7.65,22.5,0,0,954.6583333,4491995.079,2229.642857,272.99,54.3,7.5375
1585.5,39.6,2526.3,5936.1,787.2,2947.2,181.8,313.8,492.9,893.1,363.6,428.3,81.2,36,8.7,24,0,0,924.7388889,4142902.092,2148.428571,277.62,60.4,8.175
1495.5,42,2551.5,5649,816,2718,178.5,343.75,481,875.25,365.25,422,91,42.75,9.75,25.5,0,0,894.8194444,3793809.104,2067.214286,282.25,66.5,8.8125
1405.5,44.4,2576.7,5361.9,844.8,2488.8,175.2,373.7,469.1,857.4,366.9,415.7,100.8,49.5,10.8,27,0,0,864.9,3444716.117,1986,286.88,72.6,9.45
1315.5,46.8,2601.9,5074.8,873.6,2259.6,171.9,403.65,457.2,839.55,368.55,409.4,110.6,56.25,11.85,28.5,0,0,834.9805556,3095623.13,1904.785714,291.51,78.7,10.0875
1225.5,49.2,2627.1,4787.7,902.4,2030.4,168.6,433.6,445.3,821.7,370.2,403.1,120.4,63,12.9,30,0,0,805.0611111,2746530.143,1823.571429,296.14,84.8,10.725
1135.5,51.6,2652.3,4500.6,931.2,1801.2,165.3,463.55,433.4,803.85,371.85,396.8,130.2,69.75,13.95,31.5,0,0,775.1416667,2397437.156,1742.357143,300.77,90.9,11.3625
1045.5,54,2677.5,4213.5,960,1572,162,493.5,421.5,786,373.5,390.5,140,76.5,15,33,0,0,745.2222222,2048344.169,1661.142857,305.4,97,12
1003.2,52.8,2558.7,4073.7,898.8,1563.75,187.7,489.45,421.5,762,371.3,384.8,152.1,91.2,15.6,33,0,0,725.5333333,1932442.704,1604.492857,312.23,102.45,12.15
960.9,51.6,2439.9,3933.9,837.6,1555.5,213.4,485.4,421.5,738,369.1,379.1,164.2,105.9,16.2,33,0,0,705.8444444,1816541.238,1547.842857,319.06,107.9,12.3
918.6,50.4,2321.1,3794.1,776.4,1547.25,239.1,481.35,421.5,714,366.9,373.4,176.3,120.6,16.8,33,0,0,686.1555556,1700639.773,1491.192857,325.89,113.35,12.45
876.3,49.2,2202.3,3654.3,715.2,1539,264.8,477.3,421.5,690,364.7,367.7,188.4,135.3,17.4,33,0,0,666.4666667,1584738.308,1434.542857,332.72,118.8,12.6
834,48,2083.5,3514.5,654,1530.75,290.5,473.25,421.5,666,362.5,362,200.5,150,18,33,0,0,646.7777778,1468836.842,1377.892857,339.55,124.25,12.75
791.7,46.8,1964.7,3374.7,592.8,1522.5,316.2,469.2,421.5,642,360.3,356.3,212.6,164.7,18.6,33,0,0,627.0888889,1352935.377,1321.242857,346.38,129.7,12.9
749.4,45.6,1845.9,3234.9,531.6,1514.25,341.9,465.15,421.5,618,358.1,350.6,224.7,179.4,19.2,33,0,0,607.4,1237033.912,1264.592857,353.21,135.15,13.05
707.1,44.4,1727.1,3095.1,470.4,1506,367.6,461.1,421.5,594,355.9,344.9,236.8,194.1,19.8,33,0,0,587.7111111,1121132.446,1207.942857,360.04,140.6,13.2
664.8,43.2,1608.3,2955.3,409.2,1497.75,393.3,457.05,421.5,570,353.7,339.2,248.9,208.8,20.4,33,0,0,568.0222222,1005230.981,1151.292857,366.87,146.05,13.35
622.5,42,1489.5,2815.5,348,1489.5,419,453,421.5,546,351.5,333.5,261,223.5,21,33,0,0,548.3333333,889329.5156,1094.642857,373.7,151.5,13.5
603,65.55,1490.85,2736,355.2,1462.65,432.15,446.75,431.3,558.15,357.6,333.95,268.8,239.25,20.4,31.5,0,0,546.2833333,852227.004,1080.492857,381.41,167.175,12.975
583.5,89.1,1492.2,2656.5,362.4,1435.8,445.3,440.5,441.1,570.3,363.7,334.4,276.6,255,19.8,30,0,0,544.2333333,815124.4924,1066.342857,389.12,182.85,12.45
564,112.65,1493.55,2577,369.6,1408.95,458.45,434.25,450.9,582.45,369.8,334.85,284.4,270.75,19.2,28.5,0,0,542.1833333,778021.9809,1052.192857,396.83,198.525,11.925
544.5,136.2,1494.9,2497.5,376.8,1382.1,471.6,428,460.7,594.6,375.9,335.3,292.2,286.5,18.6,27,0,0,540.1333333,740919.4693,1038.042857,404.54,214.2,11.4
525,159.75,1496.25,2418,384,1355.25,484.75,421.75,470.5,606.75,382,335.75,300,302.25,18,25.5,0,0,538.0833333,703816.9578,1023.892857,412.25,229.875,10.875
505.5,183.3,1497.6,2338.5,391.2,1328.4,497.9,415.5,480.3,618.9,388.1,336.2,307.8,318,17.4,24,0,0,536.0333333,666714.4462,1009.742857,419.96,245.55,10.35
486,206.85,1498.95,2259,398.4,1301.55,511.05,409.25,490.1,631.05,394.2,336.65,315.6,333.75,16.8,22.5,0,0,533.9833333,629611.9347,995.5928571,427.67,261.225,9.825
466.5,230.4,1500.3,2179.5,405.6,1274.7,524.2,403,499.9,643.2,400.3,337.1,323.4,349.5,16.2,21,0,0,531.9333333,592509.4231,981.4428571,435.38,276.9,9.3
447,253.95,1501.65,2100,412.8,1247.85,537.35,396.75,509.7,655.35,406.4,337.55,331.2,365.25,15.6,19.5,0,0,529.8833333,555406.9116,967.2928571,443.09,292.575,8.775
427.5,277.5,1503,2020.5,420,1221,550.5,390.5,519.5,667.5,412.5,338,339,381,15,18,0,0,527.8333333,518304.4,953.1428571,450.8,308.25,8.25
444.3,285,1488.3,1924.05,400.2,1197.3,551.25,415.2,522.15,665,409.2,344,333.35,374.55,15.45,17.1,0,0,521.4666667,488898.5489,932.6214286,454.47,309.175,8.1375
461.1,292.5,1473.6,1827.6,380.4,1173.6,552,439.9,524.8,662.5,405.9,350,327.7,368.1,15.9,16.2,0,0,515.1,459492.6978,912.1,458.14,310.1,8.025
477.9,300,1458.9,1731.15,360.6,1149.9,552.75,464.6,527.45,660,402.6,356,322.05,361.65,16.35,15.3,0,0,508.7333333,430086.8467,891.5785714,461.81,311.025,7.9125
494.7,307.5,1444.2,1634.7,340.8,1126.2,553.5,489.3,530.1,657.5,399.3,362,316.4,355.2,16.8,14.4,0,0,502.3666667,400680.9956,871.0571429,465.48,311.95,7.8
511.5,315,1429.5,1538.25,321,1102.5,554.25,514,532.75,655,396,368,310.75,348.75,17.25,13.5,0,0,496,371275.1444,850.5357143,469.15,312.875,7.6875
528.3,322.5,1414.8,1441.8,301.2,1078.8,555,538.7,535.4,652.5,392.7,374,305.1,342.3,17.7,12.6,0,0,489.6333333,341869.2933,830.0142857,472.82,313.8,7.575
545.1,330,1400.1,1345.35,281.4,1055.1,555.75,563.4,538.05,650,389.4,380,299.45,335.85,18.15,11.7,0,0,483.2666667,312463.4422,809.4928571,476.49,314.725,7.4625
561.9,337.5,1385.4,1248.9,261.6,1031.4,556.5,588.1,540.7,647.5,386.1,386,293.8,329.4,18.6,10.8,0,0,476.9,283057.5911,788.9714286,480.16,315.65,7.35
578.7,345,1370.7,1152.45,241.8,1007.7,557.25,612.8,543.35,645,382.8,392,288.15,322.95,19.05,9.9,0,0,470.5333333,253651.74,768.45,483.83,316.575,7.2375
595.5,352.5,1356,1056,222,984,558,637.5,546,642.5,379.5,398,282.5,316.5,19.5,9,0,0,464.1666667,224245.8889,747.9285714,487.5,317.5,7.125
616.05,364.65,1318.95,1019.4,226.05,959.7,544.85,633,546,635.1,378.95,400.7,297.15,322.2,20.4,10.35,0,0,460.75,212906.9956,736.3142857,485,330.9,7.6875
636.6,376.8,1281.9,982.8,230.1,935.4,531.7,628.5,546,627.7,378.4,403.4,311.8,327.9,21.3,11.7,0,0,457.3333333,201568.1022,724.7,482.5,344.3,8.25
657.15,388.95,1244.85,946.2,234.15,911.1,518.55,624,546,620.3,377.85,406.1,326.45,333.6,22.2,13.05,0,0,453.9166667,190229.2089,713.0857143,480,357.7,8.8125
677.7,401.1,1207.8,909.6,238.2,886.8,505.4,619.5,546,612.9,377.3,408.8,341.1,339.3,23.1,14.4,0,0,450.5,178890.3156,701.4714286,477.5,371.1,9.375
698.25,413.25,1170.75,873,242.25,862.5,492.25,615,546,605.5,376.75,411.5,355.75,345,24,15.75,0,0,447.0833333,167551.4222,689.8571429,475,384.5,9.9375
718.8,425.4,1133.7,836.4,246.3,838.2,479.1,610.5,546,598.1,376.2,414.2,370.4,350.7,24.9,17.1,0,0,443.6666667,156212.5289,678.2428571,472.5,397.9,10.5
739.35,437.55,1096.65,799.8,250.35,813.9,465.95,606,546,590.7,375.65,416.9,385.05,356.4,25.8,18.45,0,0,440.25,144873.6356,666.6285714,470,411.3,11.0625
759.9,449.7,1059.6,763.2,254.4,789.6,452.8,601.5,546,583.3,375.1,419.6,399.7,362.1,26.7,19.8,0,0,436.8333333,133534.7422,655.0142857,467.5,424.7,11.625
780.45,461.85,1022.55,726.6,258.45,765.3,439.65,597,546,575.9,374.55,422.3,414.35,367.8,27.6,21.15,0,0,433.4166667,122195.8489,643.4,465,438.1,12.1875
801,474,985.5,690,262.5,741,426.5,592.5,546,568.5,374,425,429,373.5,28.5,22.5,0,0,430,110856.9556,631.7857143,462.5,451.5,12.75
791.1,485.7,961.35,659.4,267.6,761.1,416.55,594.15,544.35,562.2,363.45,418.05,432.3,374.7,29.85,24.75,0,0,427.0333333,108116.484,623.7428571,458.64,459,13.65
781.2,497.4,937.2,628.8,272.7,781.2,406.6,595.8,542.7,555.9,352.9,411.1,435.6,375.9,31.2,27,0,0,424.0666667,105376.0124,615.7,454.78,466.5,14.55
771.3,509.1,913.05,598.2,277.8,801.3,396.65,597.45,541.05,549.6,342.35,404.15,438.9,377.1,32.55,29.25,0,0,421.1,102635.5409,607.6571429,450.92,474,15.45
761.4,520.8,888.9,567.6,282.9,821.4,386.7,599.1,539.4,543.3,331.8,397.2,442.2,378.3,33.9,31.5,0,0,418.1333333,99895.06933,599.6142857,447.06,481.5,16.35
751.5,532.5,864.75,537,288,841.5,376.75,600.75,537.75,537,321.25,390.25,445.5,379.5,35.25,33.75,0,0,415.1666667,97154.59778,591.5714286,443.2,489,17.25
741.6,544.2,840.6,506.4,293.1,861.6,366.8,602.4,536.1,530.7,310.7,383.3,448.8,380.7,36.6,36,0,0,412.2,94414.12622,583.5285714,439.34,496.5,18.15
731.7,555.9,816.45,475.8,298.2,881.7,356.85,604.05,534.45,524.4,300.15,376.35,452.1,381.9,37.95,38.25,0,0,409.2333333,91673.65467,575.4857143,435.48,504,19.05
721.8,567.6,792.3,445.2,303.3,901.8,346.9,605.7,532.8,518.1,289.6,369.4,455.4,383.1,39.3,40.5,0,0,406.2666667,88933.18311,567.4428571,431.62,511.5,19.95
711.9,579.3,768.15,414.6,308.4,921.9,336.95,607.35,531.15,511.8,279.05,362.45,458.7,384.3,40.65,42.75,0,0,403.3,86192.71156,559.4,427.76,519,20.85
702,591,744,384,313.5,942,327,609,529.5,505.5,268.5,355.5,462,385.5,42,45,0,0,400.3333333,83452.24,551.3571429,423.9,526.5,21.75
706.2,581.25,727.65,381.15,303,951.6,336.15,603.6,535.8,500.15,270.6,358.95,465.35,391.35,43.05,42.75,0,0,399.9222222,84043.74356,548.6214286,427.5,523.3,21.45
710.4,571.5,711.3,378.3,292.5,961.2,345.3,598.2,542.1,494.8,272.7,362.4,468.7,397.2,44.1,40.5,0,0,399.5111111,84635.24711,545.8857143,431.1,520.1,21.15
714.6,561.75,694.95,375.45,282,970.8,354.45,592.8,548.4,489.45,274.8,365.85,472.05,403.05,45.15,38.25,0,0,399.1,85226.75067,543.15,434.7,516.9,20.85
718.8,552,678.6,372.6,271.5,980.4,363.6,587.4,554.7,484.1,276.9,369.3,475.4,408.9,46.2,36,0,0,398.6888889,85818.25422,540.4142857,438.3,513.7,20.55
723,542.25,662.25,369.75,261,990,372.75,582,561,478.75,279,372.75,478.75,414.75,47.25,33.75,0,0,398.2777778,86409.75778,537.6785714,441.9,510.5,20.25
727.2,532.5,645.9,366.9,250.5,999.6,381.9,576.6,567.3,473.4,281.1,376.2,482.1,420.6,48.3,31.5,0,0,397.8666667,87001.26133,534.9428571,445.5,507.3,19.95
731.4,522.75,629.55,364.05,240,1009.2,391.05,571.2,573.6,468.05,283.2,379.65,485.45,426.45,49.35,29.25,0,0,397.4555556,87592.76489,532.2071429,449.1,504.1,19.65
735.6,513,613.2,361.2,229.5,1018.8,400.2,565.8,579.9,462.7,285.3,383.1,488.8,432.3,50.4,27,0,0,397.0444444,88184.26844,529.4714286,452.7,500.9,19.35
739.8,503.25,596.85,358.35,219,1028.4,409.35,560.4,586.2,457.35,287.4,386.55,492.15,438.15,51.45,24.75,0,0,396.6333333,88775.772,526.7357143,456.3,497.7,19.05
744,493.5,580.5,355.5,208.5,1038,418.5,555,592.5,452,289.5,390,495.5,444,52.5,22.5,0,0,396.2222222,89367.27556,524,459.9,494.5,18.75
736.35,492,610.5,353.55,206.55,1015.2,411.05,559.8,592.5,459.45,296.15,396.05,486.3,449.4,48.6,25.05,0,0,396.5833333,88368.90089,525.3928571,461.78,489.15,18.4125
728.7,490.5,640.5,351.6,204.6,992.4,403.6,564.6,592.5,466.9,302.8,402.1,477.1,454.8,44.7,27.6,0,0,396.9444444,87370.52622,526.7857143,463.66,483.8,18.075
721.05,489,670.5,349.65,202.65,969.6,396.15,569.4,592.5,474.35,309.45,408.15,467.9,460.2,40.8,30.15,0,0,397.3055556,86372.15156,528.1785714,465.54,478.45,17.7375
713.4,487.5,700.5,347.7,200.7,946.8,388.7,574.2,592.5,481.8,316.1,414.2,458.7,465.6,36.9,32.7,0,0,397.6666667,85373.77689,529.5714286,467.42,473.1,17.4
705.75,486,730.5,345.75,198.75,924,381.25,579,592.5,489.25,322.75,420.25,449.5,471,33,35.25,0,0,398.0277778,84375.40222,530.9642857,469.3,467.75,17.0625
698.1,484.5,760.5,343.8,196.8,901.2,373.8,583.8,592.5,496.7,329.4,426.3,440.3,476.4,29.1,37.8,0,0,398.3888889,83377.02756,532.3571429,471.18,462.4,16.725
690.45,483,790.5,341.85,194.85,878.4,366.35,588.6,592.5,504.15,336.05,432.35,431.1,481.8,25.2,40.35,0,0,398.75,82378.65289,533.75,473.06,457.05,16.3875
682.8,481.5,820.5,339.9,192.9,855.6,358.9,593.4,592.5,511.6,342.7,438.4,421.9,487.2,21.3,42.9,0,0,399.1111111,81380.27822,535.1428571,474.94,451.7,16.05
675.15,480,850.5,337.95,190.95,832.8,351.45,598.2,592.5,519.05,349.35,444.45,412.7,492.6,17.4,45.45,0,0,399.4722222,80381.90356,536.5357143,476.82,446.35,15.7125
667.5,478.5,880.5,336,189,810,344,603,592.5,526.5,356,450.5,403.5,498,13.5,48,0,0,399.8333333,79383.52889,537.9285714,478.7,441,15.375
667.65,479.7,851.1,325.05,197.25,796.2,347.1,597.45,584.3,537,348,438.2,407.85,501.15,14.7,48.9,0,0,396.7555556,77708.19289,531.75,475.6,443.775,15.9
667.8,480.9,821.7,314.1,205.5,782.4,350.2,591.9,576.1,547.5,340,425.9,412.2,504.3,15.9,49.8,0,0,393.6777778,76032.85689,525.5714286,472.5,446.55,16.425
667.95,482.1,792.3,303.15,213.75,768.6,353.3,586.35,567.9,558,332,413.6,416.55,507.45,17.1,50.7,0,0,390.6,74357.52089,519.3928571,469.4,449.325,16.95
668.1,483.3,762.9,292.2,222,754.8,356.4,580.8,559.7,568.5,324,401.3,420.9,510.6,18.3,51.6,0,0,387.5222222,72682.18489,513.2142857,466.3,452.1,17.475
668.25,484.5,733.5,281.25,230.25,741,359.5,575.25,551.5,579,316,389,425.25,513.75,19.5,52.5,0,0,384.4444444,71006.84889,507.0357143,463.2,454.875,18
668.4,485.7,704.1,270.3,238.5,727.2,362.6,569.7,543.3,589.5,308,376.7,429.6,516.9,20.7,53.4,0,0,381.3666667,69331.51289,500.8571429,460.1,457.65,18.525
668.55,486.9,674.7,259.35,246.75,713.4,365.7,564.15,535.1,600,300,364.4,433.95,520.05,21.9,54.3,0,0,378.2888889,67656.17689,494.6785714,457,460.425,19.05
668.7,488.1,645.3,248.4,255,699.6,368.8,558.6,526.9,610.5,292,352.1,438.3,523.2,23.1,55.2,0,0,375.2111111,65980.84089,488.5,453.9,463.2,19.575
668.85,489.3,615.9,237.45,263.25,685.8,371.9,553.05,518.7,621,284,339.8,442.65,526.35,24.3,56.1,0,0,372.1333333,64305.50489,482.3214286,450.8,465.975,20.1
669,490.5,586.5,226.5,271.5,672,375,547.5,510.5,631.5,276,327.5,447,529.5,25.5,57,0,0,369.0555556,62630.16889,476.1428571,447.7,468.75,20.625
653.1,492.45,594.6,230.7,270.6,659.4,376.95,545.55,501.9,612.75,273.6,323,448.05,528.45,25.05,51.75,0,0,365.9944444,60848.95378,470.6785714,445.29,470.25,19.2
637.2,494.4,602.7,234.9,269.7,646.8,378.9,543.6,493.3,594,271.2,318.5,449.1,527.4,24.6,46.5,0,0,362.9333333,59067.73867,465.2142857,442.88,471.75,17.775
621.3,496.35,610.8,239.1,268.8,634.2,380.85,541.65,484.7,575.25,268.8,314,450.15,526.35,24.15,41.25,0,0,359.8722222,57286.52356,459.75,440.47,473.25,16.35
605.4,498.3,618.9,243.3,267.9,621.6,382.8,539.7,476.1,556.5,266.4,309.5,451.2,525.3,23.7,36,0,0,356.8111111,55505.30844,454.2857143,438.06,474.75,14.925
589.5,500.25,627,247.5,267,609,384.75,537.75,467.5,537.75,264,305,452.25,524.25,23.25,30.75,0,0,353.75,53724.09333,448.8214286,435.65,476.25,13.5
573.6,502.2,635.1,251.7,266.1,596.4,386.7,535.8,458.9,519,261.6,300.5,453.3,523.2,22.8,25.5,0,0,350.6888889,51942.87822,443.3571429,433.24,477.75,12.075
557.7,504.15,643.2,255.9,265.2,583.8,388.65,533.85,450.3,500.25,259.2,296,454.35,522.15,22.35,20.25,0,0,347.6277778,50161.66311,437.8928571,430.83,479.25,10.65
541.8,506.1,651.3,260.1,264.3,571.2,390.6,531.9,441.7,481.5,256.8,291.5,455.4,521.1,21.9,15,0,0,344.5666667,48380.448,432.4285714,428.42,480.75,9.225
525.9,508.05,659.4,264.3,263.4,558.6,392.55,529.95,433.1,462.75,254.4,287,456.45,520.05,21.45,9.75,0,0,341.5055556,46599.23289,426.9642857,426.01,482.25,7.8
510,510,667.5,268.5,262.5,546,394.5,528,424.5,444,252,282.5,457.5,519,21,4.5,0,0,338.4444444,44818.01778,421.5,423.6,483.75,6.375
539.55,528.6,649.2,269.55,263.55,534.75,402.65,517.65,424.5,436.5,257.3,289.85,442.05,502.95,21.9,9,0,0,338.3083333,45993.59822,421.4857143,421.01,485.325,7.725
569.1,547.2,630.9,270.6,264.6,523.5,410.8,507.3,424.5,429,262.6,297.2,426.6,486.9,22.8,13.5,0,0,338.1722222,47169.17867,421.4714286,418.42,486.9,9.075
598.65,565.8,612.6,271.65,265.65,512.25,418.95,496.95,424.5,421.5,267.9,304.55,411.15,470.85,23.7,18,0,0,338.0361111,48344.75911,421.4571429,415.83,488.475,10.425
628.2,584.4,594.3,272.7,266.7,501,427.1,486.6,424.5,414,273.2,311.9,395.7,454.8,24.6,22.5,0,0,337.9,49520.33956,421.4428571,413.24,490.05,11.775
657.75,603,576,273.75,267.75,489.75,435.25,476.25,424.5,406.5,278.5,319.25,380.25,438.75,25.5,27,0,0,337.7638889,50695.92,421.4285714,410.65,491.625,13.125
687.3,621.6,557.7,274.8,268.8,478.5,443.4,465.9,424.5,399,283.8,326.6,364.8,422.7,26.4,31.5,0,0,337.6277778,51871.50044,421.4142857,408.06,493.2,14.475
716.85,640.2,539.4,275.85,269.85,467.25,451.55,455.55,424.5,391.5,289.1,333.95,349.35,406.65,27.3,36,0,0,337.4916667,53047.08089,421.4,405.47,494.775,15.825
746.4,658.8,521.1,276.9,270.9,456,459.7,445.2,424.5,384,294.4,341.3,333.9,390.6,28.2,40.5,0,0,337.3555556,54222.66133,421.3857143,402.88,496.35,17.175
775.95,677.4,502.8,277.95,271.95,444.75,467.85,434.85,424.5,376.5,299.7,348.65,318.45,374.55,29.1,45,0,0,337.2194444,55398.24178,421.3714286,400.29,497.925,18.525
805.5,696,484.5,279,273,433.5,476,424.5,424.5,369,305,356,303,358.5,30,49.5,0,0,337.0833333,56573.82222,421.3571429,397.7,499.5,19.875
791.55,696.3,472.05,292.5,279.3,433.5,479.85,425.4,417.65,372.3,312.3,351.15,307.35,358.2,33.9,49.95,0,0,337.4027778,55119.90578,421.9285714,398.68,501.825,20.9625
777.6,696.6,459.6,306,285.6,433.5,483.7,426.3,410.8,375.6,319.6,346.3,311.7,357.9,37.8,50.4,0,0,337.7222222,53665.98933,422.5,399.66,504.15,22.05
763.65,696.9,447.15,319.5,291.9,433.5,487.55,427.2,403.95,378.9,326.9,341.45,316.05,357.6,41.7,50.85,0,0,338.0416667,52212.07289,423.0714286,400.64,506.475,23.1375
749.7,697.2,434.7,333,298.2,433.5,491.4,428.1,397.1,382.2,334.2,336.6,320.4,357.3,45.6,51.3,0,0,338.3611111,50758.15644,423.6428571,401.62,508.8,24.225
735.75,697.5,422.25,346.5,304.5,433.5,495.25,429,390.25,385.5,341.5,331.75,324.75,357,49.5,51.75,0,0,338.6805556,49304.24,424.2142857,402.6,511.125,25.3125
721.8,697.8,409.8,360,310.8,433.5,499.1,429.9,383.4,388.8,348.8,326.9,329.1,356.7,53.4,52.2,0,0,339,47850.32356,424.7857143,403.58,513.45,26.4
707.85,698.1,397.35,373.5,317.1,433.5,502.95,430.8,376.55,392.1,356.1,322.05,333.45,356.4,57.3,52.65,0,0,339.3194444,46396.40711,425.3571429,404.56,515.775,27.4875
693.9,698.4,384.9,387,323.4,433.5,506.8,431.7,369.7,395.4,363.4,317.2,337.8,356.1,61.2,53.1,0,0,339.6388889,44942.49067,425.9285714,405.54,518.1,28.575
679.95,698.7,372.45,400.5,329.7,433.5,510.65,432.6,362.85,398.7,370.7,312.35,342.15,355.8,65.1,53.55,0,0,339.9583333,43488.57422,426.5,406.52,520.425,29.6625
666,699,360,414,336,433.5,514.5,433.5,356,402,378,307.5,346.5,355.5,69,54,0,0,340.2777778,42034.65778,427.0714286,407.5,522.75,30.75
666.15,675.3,363.3,401.85,327,454.95,514.05,442.95,347.4,400.35,379.65,299.85,362.7,360,63.6,56.25,0,0,339.7416667,42162.608,427.6071429,408.81,519,29.9625
666.3,651.6,366.6,389.7,318,476.4,513.6,452.4,338.8,398.7,381.3,292.2,378.9,364.5,58.2,58.5,0,0,339.2055556,42290.55822,428.1428571,410.12,515.25,29.175
666.45,627.9,369.9,377.55,309,497.85,513.15,461.85,330.2,397.05,382.95,284.55,395.1,369,52.8,60.75,0,0,338.6694444,42418.50844,428.6785714,411.43,511.5,28.3875
666.6,604.2,373.2,365.4,300,519.3,512.7,471.3,321.6,395.4,384.6,276.9,411.3,373.5,47.4,63,0,0,338.1333333,42546.45867,429.2142857,412.74,507.75,27.6
666.75,580.5,376.5,353.25,291,540.75,512.25,480.75,313,393.75,386.25,269.25,427.5,378,42,65.25,0,0,337.5972222,42674.40889,429.75,414.05,504,26.8125
666.9,556.8,379.8,341.1,282,562.2,511.8,490.2,304.4,392.1,387.9,261.6,443.7,382.5,36.6,67.5,0,0,337.0611111,42802.35911,430.2857143,415.36,500.25,26.025
667.05,533.1,383.1,328.95,273,583.65,511.35,499.65,295.8,390.45,389.55,253.95,459.9,387,31.2,69.75,0,0,336.525,42930.30933,430.8214286,416.67,496.5,25.2375
667.2,509.4,386.4,316.8,264,605.1,510.9,509.1,287.2,388.8,391.2,246.3,476.1,391.5,25.8,72,0,0,335.9888889,43058.25956,431.3571429,417.98,492.75,24.45
667.35,485.7,389.7,304.65,255,626.55,510.45,518.55,278.6,387.15,392.85,238.65,492.3,396,20.4,74.25,0,0,335.4527778,43186.20978,431.8928571,419.29,489,23.6625
667.5,462,393,292.5,246,648,510,528,270,385.5,394.5,231,508.5,400.5,15,76.5,0,0,334.9166667,43314.16,432.4285714,420.6,485.25,22.875
682.8,486.9,407.85,286.05,232.5,643.95,504.75,522.3,270,384.45,390.65,227.1,517.8,405.75,17.7,74.7,0,0,336.4027778,46019.48844,432.6071429,418.69,502.35,23.1
