S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 3,Zone 2,Zone 4,
554.2,48.8,279.8,433.4,250.6,27924.4,198.7333333,321.8,307.6666667,535.6,132.4666667,901.2666667,209.8,513.4,149.4,5,3,3,1820.685185,56226614.56,6025.053333,236.0952381,417,40.1,
565.8,51.7,286.2,464.1,289.4,26607.6,211.7666667,328.7,316.5,540.5666667,161.0333333,913.9,212.7,524.6,152.1,6,3,3,1757.703704,53116038.16,5775.213333,249.5,426,41.025,
577.4,54.6,292.6,494.8,328.2,25290.8,224.8,335.6,325.3333333,545.5333333,189.6,926.5333333,215.6,535.8,154.8,7,3,3,1694.722222,50005461.77,5525.373333,262.9047619,435,41.95,
589,57.5,299,525.5,367,23974,237.8333333,342.5,334.1666667,550.5,218.1666667,939.1666667,218.5,547,157.5,8,3,3,1631.740741,46894885.37,5275.533333,276.3095238,444,42.875,
600.6,60.4,305.4,556.2,405.8,22657.2,250.8666667,349.4,343,555.4666667,246.7333333,951.8,221.4,558.2,160.2,9,3,3,1568.759259,43784308.97,5025.693333,289.7142857,453,43.8,
612.2,63.3,311.8,586.9,444.6,21340.4,263.9,356.3,351.8333333,560.4333333,275.3,964.4333333,224.3,569.4,162.9,10,3,3,1505.777778,40673732.57,4775.853333,303.1190476,462,44.725,
623.8,66.2,318.2,617.6,483.4,20023.6,276.9333333,363.2,360.6666667,565.4,303.8666667,977.0666667,227.2,580.6,165.6,11,3,3,1442.796296,37563156.18,4526.013333,316.5238095,471,45.65,
635.4,69.1,324.6,648.3,522.2,18706.8,289.9666667,370.1,369.5,570.3666667,332.4333333,989.7,230.1,591.8,168.3,12,3,3,1379.814815,34452579.78,4276.173333,329.9285714,480,46.575,
647,72,331,679,561,17390,303,377,378.3333333,575.3333333,361,1002.333333,233,603,171,13,3,3,1316.833333,31342003.38,4026.333333,343.3333333,489,47.5,
644.2,78.1,332.4,660.7,548.4,16576,306.6,374.4,387.4333333,585.3,366.6,989.6666667,248,593.7,173.3,19.3,3.6,2.7,1271.688889,29134242.64,3858.613333,345.9761905,488.3,49.725,
641.4,84.2,333.8,642.4,535.8,15762,310.2,371.8,396.5333333,595.2666667,372.2,977,263,584.4,175.6,25.6,4.2,2.4,1226.544444,26926481.89,3690.893333,348.6190476,487.6,51.95,
638.6,90.3,335.2,624.1,523.2,14948,313.8,369.2,405.6333333,605.2333333,377.8,964.3333333,278,575.1,177.9,31.9,4.8,2.1,1181.4,24718721.14,3523.173333,351.2619048,486.9,54.175,
635.8,96.4,336.6,605.8,510.6,14134,317.4,366.6,414.7333333,615.2,383.4,951.6666667,293,565.8,180.2,38.2,5.4,1.8,1136.255556,22510960.39,3355.453333,353.9047619,486.2,56.4,
633,102.5,338,587.5,498,13320,321,364,423.8333333,625.1666667,389,939,308,556.5,182.5,44.5,6,1.5,1091.111111,20303199.65,3187.733333,356.547619,485.5,58.625,
630.2,108.6,339.4,569.2,485.4,12506,324.6,361.4,432.9333333,635.1333333,394.6,926.3333333,323,547.2,184.8,50.8,6.6,1.2,1045.966667,18095438.9,3020.013333,359.1904762,484.8,60.85,
627.4,114.7,340.8,550.9,472.8,11692,328.2,358.8,442.0333333,645.1,400.2,913.6666667,338,537.9,187.1,57.1,7.2,0.9,1000.822222,15887678.15,2852.293333,361.8333333,484.1,63.075,
624.6,120.8,342.2,532.6,460.2,10878,331.8,356.2,451.1333333,655.0666667,405.8,901,353,528.6,189.4,63.4,7.8,0.6,955.6777778,13679917.41,2684.573333,364.4761905,483.4,65.3,
621.8,126.9,343.6,514.3,447.6,10064,335.4,353.6,460.2333333,665.0333333,411.4,888.3333333,368,519.3,191.7,69.7,8.4,0.3,910.5333333,11472156.66,2516.853333,367.1190476,482.7,67.525,
619,133,345,496,435,9250,339,351,469.3333333,675,417,875.6666667,383,510,194,76,9,0,865.3888889,9264395.911,2349.133333,369.7619048,482,69.75,
620,188.2,348,515,431.7,8564,335.8,357.7,483.7,674.9,422.2,850.6333333,407,493.9,197.7,77.4,17.7,3.2,832.7074074,8404340.501,2203.026667,387.0857143,484,74,
621,243.4,351,534,428.4,7878,332.6,364.4,498.0666667,674.8,427.4,825.6,431,477.8,201.4,78.8,26.4,6.4,800.0259259,7544285.09,2056.92,404.4095238,486,78.25,
622,298.6,354,553,425.1,7192,329.4,371.1,512.4333333,674.7,432.6,800.5666667,455,461.7,205.1,80.2,35.1,9.6,767.3444444,6684229.68,1910.813333,421.7333333,488,82.5,
623,353.8,357,572,421.8,6506,326.2,377.8,526.8,674.6,437.8,775.5333333,479,445.6,208.8,81.6,43.8,12.8,734.662963,5824174.27,1764.706667,439.0571429,490,86.75,
624,409,360,591,418.5,5820,323,384.5,541.1666667,674.5,443,750.5,503,429.5,212.5,83,52.5,16,701.9814815,4964118.859,1618.6,456.3809524,492,91,
625,464.2,363,610,415.2,5134,319.8,391.2,555.5333333,674.4,448.2,725.4666667,527,413.4,216.2,84.4,61.2,19.2,669.3,4104063.449,1472.493333,473.7047619,494,95.25,
626,519.4,366,629,411.9,4448,316.6,397.9,569.9,674.3,453.4,700.4333333,551,397.3,219.9,85.8,69.9,22.4,636.6185185,3244008.039,1326.386667,491.0285714,496,99.5,
627,574.6,369,648,408.6,3762,313.4,404.6,584.2666667,674.2,458.6,675.4,575,381.2,223.6,87.2,78.6,25.6,603.937037,2383952.628,1180.28,508.352381,498,103.75,
628,629.8,372,667,405.3,3076,310.2,411.3,598.6333333,674.1,463.8,650.3666667,599,365.1,227.3,88.6,87.3,28.8,571.2555556,1523897.218,1034.173333,525.6761905,500,108,
629,685,375,686,402,2390,307,418,613,674,469,625.3333333,623,349,231,90,96,32,538.5740741,663841.8074,888.0666667,543,502,112.25,
616.3,681.9,380.7,671.6,398.5,2299.9,313.6,414.1,615.1,666.8,482.6,614.8333333,631.3,348.5,235.3,99.3,99.7,32.9,533.4962963,625013.0323,865.7066667,544.3142857,498.5,116.8,
603.6,678.8,386.4,657.2,395,2209.8,320.2,410.2,617.2,659.6,496.2,604.3333333,639.6,348,239.6,108.6,103.4,33.8,528.4185185,586184.2572,843.3466667,545.6285714,495,121.35,
590.9,675.7,392.1,642.8,391.5,2119.7,326.8,406.3,619.3,652.4,509.8,593.8333333,647.9,347.5,243.9,117.9,107.1,34.7,523.3407407,547355.4821,820.9866667,546.9428571,491.5,125.9,
578.2,672.6,397.8,628.4,388,2029.6,333.4,402.4,621.4,645.2,523.4,583.3333333,656.2,347,248.2,127.2,110.8,35.6,518.262963,508526.707,798.6266667,548.2571429,488,130.45,
565.5,669.5,403.5,614,384.5,1939.5,340,398.5,623.5,638,537,572.8333333,664.5,346.5,252.5,136.5,114.5,36.5,513.1851852,469697.9319,776.2666667,549.5714286,484.5,135,
552.8,666.4,409.2,599.6,381,1849.4,346.6,394.6,625.6,630.8,550.6,562.3333333,672.8,346,256.8,145.8,118.2,37.4,508.1074074,430869.1567,753.9066667,550.8857143,481,139.55,
540.1,663.3,414.9,585.2,377.5,1759.3,353.2,390.7,627.7,623.6,564.2,551.8333333,681.1,345.5,261.1,155.1,121.9,38.3,503.0296296,392040.3816,731.5466667,552.2,477.5,144.1,
527.4,660.2,420.6,570.8,374,1669.2,359.8,386.8,629.8,616.4,577.8,541.3333333,689.4,345,265.4,164.4,125.6,39.2,497.9518519,353211.6065,709.1866667,553.5142857,474,148.65,
514.7,657.1,426.3,556.4,370.5,1579.1,366.4,382.9,631.9,609.2,591.4,530.8333333,697.7,344.5,269.7,173.7,129.3,40.1,492.8740741,314382.8314,686.8266667,554.8285714,470.5,153.2,
502,654,432,542,367,1489,373,379,634,602,605,520.3333333,706,344,274,183,133,41,487.7962963,275554.0563,664.4666667,556.1428571,467,157.75,
497.7,652.7,428.9,535.9,371.9,1396.8,376,377.7,622.0333333,597.7666667,598.9,524.4333333,682,353.5,276.1,194.9,128.1,39.2,480.8074074,254662.2859,648.88,549.3190476,463.3,159.575,
493.4,651.4,425.8,529.8,376.8,1304.6,379,376.4,610.0666667,593.5333333,592.8,528.5333333,658,363,278.2,206.8,123.2,37.4,473.8185185,233770.5156,633.2933333,542.4952381,459.6,161.4,
489.1,650.1,422.7,523.7,381.7,1212.4,382,375.1,598.1,589.3,586.7,532.6333333,634,372.5,280.3,218.7,118.3,35.6,466.8296296,212878.7452,617.7066667,535.6714286,455.9,163.225,
484.8,648.8,419.6,517.6,386.6,1120.2,385,373.8,586.1333333,585.0666667,580.6,536.7333333,610,382,282.4,230.6,113.4,33.8,459.8407407,191986.9748,602.12,528.847619,452.2,165.05,
480.5,647.5,416.5,511.5,391.5,1028,388,372.5,574.1666667,580.8333333,574.5,540.8333333,586,391.5,284.5,242.5,108.5,32,452.8518519,171095.2044,586.5333333,522.0238095,448.5,166.875,
476.2,646.2,413.4,505.4,396.4,935.8,391,371.2,562.2,576.6,568.4,544.9333333,562,401,286.6,254.4,103.6,30.2,445.862963,150203.4341,570.9466667,515.2,444.8,168.7,
471.9,644.9,410.3,499.3,401.3,843.6,394,369.9,550.2333333,572.3666667,562.3,549.0333333,538,410.5,288.7,266.3,98.7,28.4,438.8740741,129311.6637,555.36,508.3761905,441.1,170.525,
467.6,643.6,407.2,493.2,406.2,751.4,397,368.6,538.2666667,568.1333333,556.2,553.1333333,514,420,290.8,278.2,93.8,26.6,431.8851852,108419.8933,539.7733333,501.552381,437.4,172.35,
463.3,642.3,404.1,487.1,411.1,659.2,400,367.3,526.3,563.9,550.1,557.2333333,490,429.5,292.9,290.1,88.9,24.8,424.8962963,87528.12296,524.1866667,494.7285714,433.7,174.175,
459,641,401,481,416,567,403,366,514.3333333,559.6666667,544,561.3333333,466,439,295,302,84,23,417.9074074,66636.35259,508.6,487.9047619,430,176,
458.7,626.7,420.1,479.5,408.4,560.3,400.9,365.3,511.7,554.9,537.5333333,566.6666667,452.1,452.9,300.1,309.1,85.3,23.3,417.4166667,64453.58548,508.6333333,481.9619048,439.4,179.45,
458.4,612.4,439.2,478,400.8,553.6,398.8,364.6,509.0666667,550.1333333,531.0666667,572,438.2,466.8,305.2,316.2,86.6,23.6,416.9259259,62270.81837,508.6666667,476.0190476,448.8,182.9,
458.1,598.1,458.3,476.5,393.2,546.9,396.7,363.9,506.4333333,545.3666667,524.6,577.3333333,424.3,480.7,310.3,323.3,87.9,23.9,416.4351852,60088.05126,508.7,470.0761905,458.2,186.35,
457.8,583.8,477.4,475,385.6,540.2,394.6,363.2,503.8,540.6,518.1333333,582.6666667,410.4,494.6,315.4,330.4,89.2,24.2,415.9444444,57905.28415,508.7333333,464.1333333,467.6,189.8,
457.5,569.5,496.5,473.5,378,533.5,392.5,362.5,501.1666667,535.8333333,511.6666667,588,396.5,508.5,320.5,337.5,90.5,24.5,415.4537037,55722.51704,508.7666667,458.1904762,477,193.25,
457.2,555.2,515.6,472,370.4,526.8,390.4,361.8,498.5333333,531.0666667,505.2,593.3333333,382.6,522.4,325.6,344.6,91.8,24.8,414.962963,53539.74993,508.8,452.247619,486.4,196.7,
456.9,540.9,534.7,470.5,362.8,520.1,388.3,361.1,495.9,526.3,498.7333333,598.6666667,368.7,536.3,330.7,351.7,93.1,25.1,414.4722222,51356.98281,508.8333333,446.3047619,495.8,200.15,
456.6,526.6,553.8,469,355.2,513.4,386.2,360.4,493.2666667,521.5333333,492.2666667,604,354.8,550.2,335.8,358.8,94.4,25.4,413.9814815,49174.2157,508.8666667,440.3619048,505.2,203.6,
456.3,512.3,572.9,467.5,347.6,506.7,384.1,359.7,490.6333333,516.7666667,485.8,609.3333333,340.9,564.1,340.9,365.9,95.7,25.7,413.4907407,46991.44859,508.9,434.4190476,514.6,207.05,
456,498,592,466,340,500,382,359,488,512,479.3333333,614.6666667,327,578,346,373,97,26,413,44808.68148,508.9333333,428.4761905,524,210.5,
455.4,514.7,574.1,456.2,334.1,498.3,376.1333333,358.8,490.1,500.2333333,467.1,617.8333333,324.7,561.3,347.5,369.9,99.9,28.2,409.6944444,44391.832,502.3533333,426.8190476,514.75,211.375,
454.8,531.4,556.2,446.4,328.2,496.6,370.2666667,358.6,492.2,488.4666667,454.8666667,621,322.4,544.6,349,366.8,102.8,30.4,406.3888889,43974.98252,495.7733333,425.1619048,505.5,212.25,
454.2,548.1,538.3,436.6,322.3,494.9,364.4,358.4,494.3,476.7,442.6333333,624.1666667,320.1,527.9,350.5,363.7,105.7,32.6,403.0833333,43558.13304,489.1933333,423.5047619,496.25,213.125,
453.6,564.8,520.4,426.8,316.4,493.2,358.5333333,358.2,496.4,464.9333333,430.4,627.3333333,317.8,511.2,352,360.6,108.6,34.8,399.7777778,43141.28356,482.6133333,421.847619,487,214,
453,581.5,502.5,417,310.5,491.5,352.6666667,358,498.5,453.1666667,418.1666667,630.5,315.5,494.5,353.5,357.5,111.5,37,396.4722222,42724.43407,476.0333333,420.1904762,477.75,214.875,
452.4,598.2,484.6,407.2,304.6,489.8,346.8,357.8,500.6,441.4,405.9333333,633.6666667,313.2,477.8,355,354.4,114.4,39.2,393.1666667,42307.58459,469.4533333,418.5333333,468.5,215.75,
451.8,614.9,466.7,397.4,298.7,488.1,340.9333333,357.6,502.7,429.6333333,393.7,636.8333333,310.9,461.1,356.5,351.3,117.3,41.4,389.8611111,41890.73511,462.8733333,416.8761905,459.25,216.625,
451.2,631.6,448.8,387.6,292.8,486.4,335.0666667,357.4,504.8,417.8666667,381.4666667,640,308.6,444.4,358,348.2,120.2,43.6,386.5555556,41473.88563,456.2933333,415.2190476,450,217.5,
450.6,648.3,430.9,377.8,286.9,484.7,329.2,357.2,506.9,406.1,369.2333333,643.1666667,306.3,427.7,359.5,345.1,123.1,45.8,383.25,41057.03615,449.7133333,413.5619048,440.75,218.375,
450,665,413,368,281,483,323.3333333,357,509,394.3333333,357,646.3333333,304,411,361,342,126,48,379.9444444,40640.18667,443.1333333,411.9047619,431.5,219.25,
437.5,647.3,410.2,373.4,286.1,473.1,313.6,355.1333333,503.9,391.4,366.4,640.9666667,301.1,398.3,354.8,340.5,126.6,48.1,376.0222222,39582.38311,437.9733333,408.6904762,423.85,217.5,
425,629.6,407.4,378.8,291.2,463.2,303.8666667,353.2666667,498.8,388.4666667,375.8,635.6,298.2,385.6,348.6,339,127.2,48.2,372.1,38524.57956,432.8133333,405.4761905,416.2,215.75,
412.5,611.9,404.6,384.2,296.3,453.3,294.1333333,351.4,493.7,385.5333333,385.2,630.2333333,295.3,372.9,342.4,337.5,127.8,48.3,368.1777778,37466.776,427.6533333,402.2619048,408.55,214,
400,594.2,401.8,389.6,301.4,443.4,284.4,349.5333333,488.6,382.6,394.6,624.8666667,292.4,360.2,336.2,336,128.4,48.4,364.2555556,36408.97244,422.4933333,399.047619,400.9,212.25,
387.5,576.5,399,395,306.5,433.5,274.6666667,347.6666667,483.5,379.6666667,404,619.5,289.5,347.5,330,334.5,129,48.5,360.3333333,35351.16889,417.3333333,395.8333333,393.25,210.5,
375,558.8,396.2,400.4,311.6,423.6,264.9333333,345.8,478.4,376.7333333,413.4,614.1333333,286.6,334.8,323.8,333,129.6,48.6,356.4111111,34293.36533,412.1733333,392.6190476,385.6,208.75,
362.5,541.1,393.4,405.8,316.7,413.7,255.2,343.9333333,473.3,373.8,422.8,608.7666667,283.7,322.1,317.6,331.5,130.2,48.7,352.4888889,33235.56178,407.0133333,389.4047619,377.95,207,
350,523.4,390.6,411.2,321.8,403.8,245.4666667,342.0666667,468.2,370.8666667,432.2,603.4,280.8,309.4,311.4,330,130.8,48.8,348.5666667,32177.75822,401.8533333,386.1904762,370.3,205.25,
337.5,505.7,387.8,416.6,326.9,393.9,235.7333333,340.2,463.1,367.9333333,441.6,598.0333333,277.9,296.7,305.2,328.5,131.4,48.9,344.6444444,31119.95467,396.6933333,382.9761905,362.65,203.5,
325,488,385,422,332,384,226,338.3333333,458,365,451,592.6666667,275,284,299,327,132,49,340.7222222,30062.15111,391.5333333,379.7619048,355,201.75,
325.8,474.1,371.9,413.1,338.7,383.1,219.9,326.3,451.6,356.6,438.9,573.4333333,274.5333333,287.5,312.5,329.9,135.1,49.2,336.787037,28910.90519,387.8666667,371.2047619,348.85,206.675,
326.6,460.2,358.8,404.2,345.4,382.2,213.8,314.2666667,445.2,348.2,426.8,554.2,274.0666667,291,326,332.8,138.2,49.4,332.8518519,27759.65926,384.2,362.647619,342.7,211.6,
327.4,446.3,345.7,395.3,352.1,381.3,207.7,302.2333333,438.8,339.8,414.7,534.9666667,273.6,294.5,339.5,335.7,141.3,49.6,328.9166667,26608.41333,380.5333333,354.0904762,336.55,216.525,
328.2,432.4,332.6,386.4,358.8,380.4,201.6,290.2,432.4,331.4,402.6,515.7333333,273.1333333,298,353,338.6,144.4,49.8,324.9814815,25457.16741,376.8666667,345.5333333,330.4,221.45,
329,418.5,319.5,377.5,365.5,379.5,195.5,278.1666667,426,323,390.5,496.5,272.6666667,301.5,366.5,341.5,147.5,50,321.0462963,24305.92148,373.2,336.9761905,324.25,226.375,
329.8,404.6,306.4,368.6,372.2,378.6,189.4,266.1333333,419.6,314.6,378.4,477.2666667,272.2,305,380,344.4,150.6,50.2,317.1111111,23154.67556,369.5333333,328.4190476,318.1,231.3,
330.6,390.7,293.3,359.7,378.9,377.7,183.3,254.1,413.2,306.2,366.3,458.0333333,271.7333333,308.5,393.5,347.3,153.7,50.4,313.1759259,22003.42963,365.8666667,319.8619048,311.95,236.225,
331.4,376.8,280.2,350.8,385.6,376.8,177.2,242.0666667,406.8,297.8,354.2,438.8,271.2666667,312,407,350.2,156.8,50.6,309.2407407,20852.1837,362.2,311.3047619,305.8,241.15,
332.2,362.9,267.1,341.9,392.3,375.9,171.1,230.0333333,400.4,289.4,342.1,419.5666667,270.8,315.5,420.5,353.1,159.9,50.8,305.3055556,19700.93778,358.5333333,302.747619,299.65,246.075,
333,349,254,333,399,375,165,218,394,281,330,400.3333333,270.3333333,319,434,356,163,51,301.3703704,18549.69185,354.8666667,294.1904762,293.5,251,
339.7,364.2,256.5,330.1,400,374.3,170.5,212.8,388.7666667,283.9,321.2,388.9,271.7,329.6,428.4,371.5,177.9,51.1,303.3925926,18479.36415,355.34,294.1809524,298.1,257.225,
346.4,379.4,259,327.2,401,373.6,176,207.6,383.5333333,286.8,312.4,377.4666667,273.0666667,340.2,422.8,387,192.8,51.2,305.4148148,18409.03644,355.8133333,294.1714286,302.7,263.45,
353.1,394.6,261.5,324.3,402,372.9,181.5,202.4,378.3,289.7,303.6,366.0333333,274.4333333,350.8,417.2,402.5,207.7,51.3,307.437037,18338.70874,356.2866667,294.1619048,307.3,269.675,
359.8,409.8,264,321.4,403,372.2,187,197.2,373.0666667,292.6,294.8,354.6,275.8,361.4,411.6,418,222.6,51.4,309.4592593,18268.38104,356.76,294.152381,311.9,275.9,
366.5,425,266.5,318.5,404,371.5,192.5,192,367.8333333,295.5,286,343.1666667,277.1666667,372,406,433.5,237.5,51.5,311.4814815,18198.05333,357.2333333,294.1428571,316.5,282.125,
373.2,440.2,269,315.6,405,370.8,198,186.8,362.6,298.4,277.2,331.7333333,278.5333333,382.6,400.4,449,252.4,51.6,313.5037037,18127.72563,357.7066667,294.1333333,321.1,288.35,
379.9,455.4,271.5,312.7,406,370.1,203.5,181.6,357.3666667,301.3,268.4,320.3,279.9,393.2,394.8,464.5,267.3,51.7,315.5259259,18057.39793,358.18,294.1238095,325.7,294.575,
386.6,470.6,274,309.8,407,369.4,209,176.4,352.1333333,304.2,259.6,308.8666667,281.2666667,403.8,389.2,480,282.2,51.8,317.5481482,17987.07022,358.6533333,294.1142857,330.3,300.8,
393.3,485.8,276.5,306.9,408,368.7,214.5,171.2,346.9,307.1,250.8,297.4333333,282.6333333,414.4,383.6,495.5,297.1,51.9,319.5703704,17916.74252,359.1266667,294.1047619,334.9,307.025,
400,501,279,304,409,368,220,166,341.6666667,310,242,286,284,425,378,511,312,52,321.5925926,17846.41481,359.6,294.0952381,339.5,313.25,
408.3,492.6,276.5,294.2,395.3,366.1,221.3,163.9,332,298.4666667,248.8,282.7333333,274.8,414.7,372.1,501.9,299.3,52.2,316.4,17451.52059,351.46,289.6571429,342.4,306.375,
416.6,484.2,274,284.4,381.6,364.2,222.6,161.8,322.3333333,286.9333333,255.6,279.4666667,265.6,404.4,366.2,492.8,286.6,52.4,311.2074074,17056.62637,343.32,285.2190476,345.3,299.5,
424.9,475.8,271.5,274.6,367.9,362.3,223.9,159.7,312.6666667,275.4,262.4,276.2,256.4,394.1,360.3,483.7,273.9,52.6,306.0148148,16661.73215,335.18,280.7809524,348.2,292.625,
433.2,467.4,269,264.8,354.2,360.4,225.2,157.6,303,263.8666667,269.2,272.9333333,247.2,383.8,354.4,474.6,261.2,52.8,300.8222222,16266.83793,327.04,276.3428571,351.1,285.75,
441.5,459,266.5,255,340.5,358.5,226.5,155.5,293.3333333,252.3333333,276,269.6666667,238,373.5,348.5,465.5,248.5,53,295.6296296,15871.9437,318.9,271.9047619,354,278.875,
449.8,450.6,264,245.2,326.8,356.6,227.8,153.4,283.6666667,240.8,282.8,266.4,228.8,363.2,342.6,456.4,235.8,53.2,290.437037,15477.04948,310.76,267.4666667,356.9,272,
458.1,442.2,261.5,235.4,313.1,354.7,229.1,151.3,274,229.2666667,289.6,263.1333333,219.6,352.9,336.7,447.3,223.1,53.4,285.2444444,15082.15526,302.62,263.0285714,359.8,265.125,
466.4,433.8,259,225.6,299.4,352.8,230.4,149.2,264.3333333,217.7333333,296.4,259.8666667,210.4,342.6,330.8,438.2,210.4,53.6,280.0518519,14687.26104,294.48,258.5904762,362.7,258.25,
474.7,425.4,256.5,215.8,285.7,350.9,231.7,147.1,254.6666667,206.2,303.2,256.6,201.2,332.3,324.9,429.1,197.7,53.8,274.8592593,14292.36681,286.34,254.152381,365.6,251.375,
483,417,254,206,272,349,233,145,245,194.6666667,310,253.3333333,192,322,319,420,185,54,269.6666667,13897.47259,278.2,249.7142857,368.5,244.5,
485.4,406.2,257.2,206.5,267.6,343.6,231.1333333,143.6,243.4,194.0333333,311.4666667,249.5666667,192,322.7,325.5,409.1,175.7,57.8,267.9166667,13977.6557,275.5,247.7571429,371.3,242.025,
487.8,395.4,260.4,207,263.2,338.2,229.2666667,142.2,241.8,193.4,312.9333333,245.8,192,323.4,332,398.2,166.4,61.6,266.1666667,14057.83881,272.8,245.8,374.1,239.55,
490.2,384.6,263.6,207.5,258.8,332.8,227.4,140.8,240.2,192.7666667,314.4,242.0333333,192,324.1,338.5,387.3,157.1,65.4,264.4166667,14138.02193,270.1,243.8428571,376.9,237.075,
492.6,373.8,266.8,208,254.4,327.4,225.5333333,139.4,238.6,192.1333333,315.8666667,238.2666667,192,324.8,345,376.4,147.8,69.2,262.6666667,14218.20504,267.4,241.8857143,379.7,234.6,
495,363,270,208.5,250,322,223.6666667,138,237,191.5,317.3333333,234.5,192,325.5,351.5,365.5,138.5,73,260.9166667,14298.38815,264.7,239.9285714,382.5,232.125,
497.4,352.2,273.2,209,245.6,316.6,221.8,136.6,235.4,190.8666667,318.8,230.7333333,192,326.2,358,354.6,129.2,76.8,259.1666667,14378.57126,262,237.9714286,385.3,229.65,
499.8,341.4,276.4,209.5,241.2,311.2,219.9333333,135.2,233.8,190.2333333,320.2666667,226.9666667,192,326.9,364.5,343.7,119.9,80.6,257.4166667,14458.75437,259.3,236.0142857,388.1,227.175,
502.2,330.6,279.6,210,236.8,305.8,218.0666667,133.8,232.2,189.6,321.7333333,223.2,192,327.6,371,332.8,110.6,84.4,255.6666667,14538.93748,256.6,234.0571429,390.9,224.7,
504.6,319.8,282.8,210.5,232.4,300.4,216.2,132.4,230.6,188.9666667,323.2,219.4333333,192,328.3,377.5,321.9,101.3,88.2,253.9166667,14619.12059,253.9,232.1,393.7,222.225,
507,309,286,211,228,295,214.3333333,131,229,188.3333333,324.6666667,215.6666667,192,329,384,311,92,92,252.1666667,14699.3037,251.2,230.1428571,396.5,219.75,
497.2,304.4,282.3,206.9,231.8,283.8,218.9333333,129.4,235.9666667,197,319.2,216.1,193.5,322.2,376.7,307,103.7,90.1,250.9,14308.512,250.18,229.7571429,389.75,219.375,
487.4,299.8,278.6,202.8,235.6,272.6,223.5333333,127.8,242.9333333,205.6666667,313.7333333,216.5333333,195,315.4,369.4,303,115.4,88.2,249.6333333,13917.7203,249.16,229.3714286,383,219,
477.6,295.2,274.9,198.7,239.4,261.4,228.1333333,126.2,249.9,214.3333333,308.2666667,216.9666667,196.5,308.6,362.1,299,127.1,86.3,248.3666667,13526.92859,248.14,228.9857143,376.25,218.625,
467.8,290.6,271.2,194.6,243.2,250.2,232.7333333,124.6,256.8666667,223,302.8,217.4,198,301.8,354.8,295,138.8,84.4,247.1,13136.13689,247.12,228.6,369.5,218.25,
458,286,267.5,190.5,247,239,237.3333333,123,263.8333333,231.6666667,297.3333333,217.8333333,199.5,295,347.5,291,150.5,82.5,245.8333333,12745.34519,246.1,228.2142857,362.75,217.875,
448.2,281.4,263.8,186.4,250.8,227.8,241.9333333,121.4,270.8,240.3333333,291.8666667,218.2666667,201,288.2,340.2,287,162.2,80.6,244.5666667,12354.55348,245.08,227.8285714,356,217.5,
438.4,276.8,260.1,182.3,254.6,216.6,246.5333333,119.8,277.7666667,249,286.4,218.7,202.5,281.4,332.9,283,173.9,78.7,243.3,11963.76178,244.06,227.4428571,349.25,217.125,
428.6,272.2,256.4,178.2,258.4,205.4,251.1333333,118.2,284.7333333,257.6666667,280.9333333,219.1333333,204,274.6,325.6,279,185.6,76.8,242.0333333,11572.97007,243.04,227.0571429,342.5,216.75,
418.8,267.6,252.7,174.1,262.2,194.2,255.7333333,116.6,291.7,266.3333333,275.4666667,219.5666667,205.5,267.8,318.3,275,197.3,74.9,240.7666667,11182.17837,242.02,226.6714286,335.75,216.375,
409,263,249,170,266,183,260.3333333,115,298.6666667,275,270,220,207,261,311,271,209,73,239.5,10791.38667,241,226.2857143,329,216,
410.2,252.8,243.7,176.2,272.3,194,252.9,128.4,301.6,277.2,264.8,220.4333333,207.0666667,256.9,301.2,272.6,216.7,74.2,240.1777778,10707.29126,244.1666667,226.252381,326.95,216.175,
411.4,242.6,238.4,182.4,278.6,205,245.4666667,141.8,304.5333333,279.4,259.6,220.8666667,207.1333333,252.8,291.4,274.2,224.4,75.4,240.8555556,10623.19585,247.3333333,226.2190476,324.9,216.35,
412.6,232.4,233.1,188.6,284.9,216,238.0333333,155.2,307.4666667,281.6,254.4,221.3,207.2,248.7,281.6,275.8,232.1,76.6,241.5333333,10539.10044,250.5,226.1857143,322.85,216.525,
413.8,222.2,227.8,194.8,291.2,227,230.6,168.6,310.4,283.8,249.2,221.7333333,207.2666667,244.6,271.8,277.4,239.8,77.8,242.2111111,10455.00504,253.6666667,226.152381,320.8,216.7,
415,212,222.5,201,297.5,238,223.1666667,182,313.3333333,286,244,222.1666667,207.3333333,240.5,262,279,247.5,79,242.8888889,10370.90963,256.8333333,226.1190476,318.75,216.875,
416.2,201.8,217.2,207.2,303.8,249,215.7333333,195.4,316.2666667,288.2,238.8,222.6,207.4,236.4,252.2,280.6,255.2,80.2,243.5666667,10286.81422,260,226.0857143,316.7,217.05,
417.4,191.6,211.9,213.4,310.1,260,208.3,208.8,319.2,290.4,233.6,223.0333333,207.4666667,232.3,242.4,282.2,262.9,81.4,244.2444444,10202.71881,263.1666667,226.052381,314.65,217.225,
418.6,181.4,206.6,219.6,316.4,271,200.8666667,222.2,322.1333333,292.6,228.4,223.4666667,207.5333333,228.2,232.6,283.8,270.6,82.6,244.9222222,10118.62341,266.3333333,226.0190476,312.6,217.4,
