S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
107.1,53.1,154.2,194.4,92.4,69.9,108.0,92.8,33.6,65.4,154.5,91.8,66.6,31.200000000000003,27.9,48.3,40.8,98.75384615384615,2040.8627218934917
107.49,53.49,154.98,194.76,92.46000000000001,70.11,108.0,92.82,33.54,65.46000000000001,155.55,91.62,66.24,31.080000000000002,28.11,48.269999999999996,40.32,98.96307692307693,2049.8048520710063
107.88,53.88,155.76,195.12,92.52000000000001,70.32000000000001,108.0,92.84,33.480000000000004,65.52000000000001,156.6,91.44,65.88,30.96,28.32,48.239999999999995,39.839999999999996,99.1723076923077,2058.7469822485214
108.27,54.27,156.54,195.48000000000002,92.58,70.53,108.0,92.86,33.42,65.58,157.65,91.25999999999999,65.52,30.840000000000003,28.529999999999998,48.21,39.36,99.38153846153845,2067.689112426036
108.66,54.660000000000004,157.32,195.84,92.64,70.74000000000001,108.0,92.88,33.36,65.64,158.7,91.08,65.16,30.720000000000002,28.74,48.18,38.879999999999995,99.59076923076923,2076.631242603551
109.05,55.05,158.1,196.2,92.7,70.95,108.0,92.9,33.3,65.7,159.75,90.9,64.8,30.6,28.95,48.15,38.4,99.8,2085.5733727810657
109.44,55.44,158.88,196.56,92.76,71.16,108.0,92.92,33.24,65.76,160.8,90.72,64.44,30.48,29.16,48.12,37.92,100.00923076923077,2094.5155029585803
109.83,55.83,159.66,196.92000000000002,92.82000000000001,71.37,108.0,92.94,33.18,65.82000000000001,161.85,90.53999999999999,64.08,30.36,29.37,48.089999999999996,37.44,100.21846153846154,2103.4576331360954
110.22,56.22,160.44,197.28,92.88,71.58,108.0,92.96,33.12,65.88,162.9,90.36,63.72,30.240000000000002,29.58,48.06,36.96,100.4276923076923,2112.39976331361
110.61,56.61,161.22,197.64,92.94,71.79,108.0,92.98,33.06,65.94,163.95,90.18,63.36,30.12,29.79,48.03,36.48,100.63692307692307,2121.341893491125
111.0,57.0,162.0,198.0,93.0,72.0,108.0,93.0,33.0,66.0,165.0,90.0,63.0,30.0,30.0,48.0,36.0,100.84615384615384,2130.2840236686397
110.88,57.81,161.31,197.97,93.0,72.21,107.86,93.0,32.85,65.55,163.35,90.45,62.82,30.3,30.27,48.12,36.21,100.69692307692307,2136.1665088757404
110.76,58.62,160.62,197.94,93.0,72.42,107.72,93.0,32.7,65.1,161.7,90.9,62.64,30.6,30.54,48.24,36.42,100.5476923076923,2142.0489940828406
110.64,59.43,159.93,197.91,93.0,72.63,107.58,93.0,32.55,64.65,160.05,91.35,62.46,30.9,30.810000000000002,48.36,36.63,100.39846153846153,2147.9314792899413
110.52,60.239999999999995,159.24,197.88,93.0,72.84,107.44,93.0,32.4,64.2,158.4,91.8,62.28,31.2,31.080000000000002,48.480000000000004,36.84,100.24923076923076,2153.813964497042
110.4,61.05,158.55,197.85,93.0,73.05,107.3,93.0,32.25,63.75,156.75,92.25,62.1,31.5,31.35,48.6,37.05,100.1,2159.6964497041427
110.28,61.86,157.85999999999999,197.82,93.0,73.25999999999999,107.16,93.0,32.1,63.3,155.1,92.7,61.92,31.8,31.62,48.72,37.26,99.95076923076924,2165.578934911243
110.16,62.669999999999995,157.17,197.79,93.0,73.47,107.02,93.0,31.95,62.85,153.45,93.15,61.74,32.1,31.89,48.84,37.47,99.80153846153847,2171.4614201183435
110.03999999999999,63.48,156.48,197.76,93.0,73.67999999999999,106.88,93.0,31.8,62.4,151.8,93.6,61.56,32.4,32.160000000000004,48.96,37.68,99.6523076923077,2177.343905325444
109.92,64.28999999999999,155.79,197.73,93.0,73.89,106.74,93.0,31.65,61.95,150.15,94.05,61.38,32.7,32.43,49.080000000000005,37.89,99.50307692307693,2183.2263905325444
