S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
7.11,0.0,7.11,1.8900000000000001,0.0,9.45,0.0,0.0,0.0,7.11,0.0,3.16,9.0,27.9,28.11,18.0,2.9858333333333333,44.38118055555555
7.0200000000000005,0.0,7.0200000000000005,1.98,0.0,9.9,0.0,0.0,0.0,7.0200000000000005,0.0,3.12,9.0,28.8,28.02,18.0,3.005,45.78458333333333
6.93,0.0,6.93,2.0700000000000003,0.0,10.35,0.0,0.0,0.0,6.93,0.0,3.08,9.0,29.7,27.93,18.0,3.024166666666667,47.18798611111111
6.84,0.0,6.84,2.16,0.0,10.8,0.0,0.0,0.0,6.84,0.0,3.04,9.0,30.6,27.84,18.0,3.0433333333333334,48.591388888888886
6.75,0.0,6.75,2.25,0.0,11.25,0.0,0.0,0.0,6.75,0.0,3.0,9.0,31.5,27.75,18.0,3.0625,49.99479166666666
6.66,0.0,6.66,2.34,0.0,11.7,0.0,0.0,0.0,6.66,0.0,2.96,9.0,32.4,27.66,18.0,3.0816666666666666,51.39819444444444
6.57,0.0,6.57,2.43,0.0,12.15,0.0,0.0,0.0,6.57,0.0,2.92,9.0,33.3,27.57,18.0,3.100833333333333,52.80159722222221
6.4799999999999995,0.0,6.4799999999999995,2.52,0.0,12.6,0.0,0.0,0.0,6.4799999999999995,0.0,2.88,9.0,34.2,27.48,18.0,3.12,54.20499999999999
6.39,0.0,6.39,2.6100000000000003,0.0,13.05,0.0,0.0,0.0,6.39,0.0,2.84,9.0,35.1,27.39,18.0,3.1391666666666667,55.60840277777777
6.3,0.0,6.3,2.7,0.0,13.5,0.0,0.0,0.0,6.3,0.0,2.8,9.0,36.0,27.3,18.0,3.158333333333333,57.01180555555555
6.21,0.0,6.21,2.79,0.0,13.95,0.0,0.0,0.0,6.21,0.0,2.76,9.0,36.9,27.21,18.0,3.1774999999999998,58.415208333333325
6.12,0.0,6.12,2.8800000000000003,0.0,14.4,0.0,0.0,0.0,6.12,0.0,2.7199999999999998,9.0,37.8,27.12,18.0,3.1966666666666668,59.8186111111111
6.03,0.0,6.03,2.97,0.0,14.85,0.0,0.0,0.0,6.03,0.0,2.6799999999999997,9.0,38.7,27.03,18.0,3.2158333333333333,61.22201388888888
5.94,0.0,5.94,3.06,0.0,15.3,0.0,0.0,0.0,5.94,0.0,2.6399999999999997,9.0,39.6,26.94,18.0,3.235,62.62541666666666
5.85,0.0,5.85,3.1500000000000004,0.0,15.75,0.0,0.0,0.0,5.85,0.0,2.5999999999999996,9.0,40.5,26.85,18.0,3.2541666666666664,64.02881944444444
5.76,0.0,5.76,3.24,0.0,16.2,0.0,0.0,0.0,5.76,0.0,2.56,9.0,41.4,26.759999999999998,18.0,3.2733333333333334,65.43222222222222
5.67,0.0,5.67,3.33,0.0,16.65,0.0,0.0,0.0,5.67,0.0,2.52,9.0,42.3,26.669999999999998,18.0,3.2925,66.835625
5.58,0.0,5.58,3.42,0.0,17.1,0.0,0.0,0.0,5.58,0.0,2.48,9.0,43.2,26.58,18.0,3.3116666666666665,68.23902777777778
5.49,0.0,5.49,3.5100000000000002,0.0,17.55,0.0,0.0,0.0,5.49,0.0,2.44,9.0,44.1,26.49,18.0,3.3308333333333335,69.64243055555555
5.4,0.0,5.4,3.6,0.0,18.0,0.0,0.0,0.0,5.4,0.0,2.4,9.0,45.0,26.4,18.0,3.35,71.04583333333333
5.3100000000000005,0.0,5.3100000000000005,3.69,0.0,18.45,0.0,0.0,0.0,5.3100000000000005,0.0,2.36,9.0,45.9,26.31,18.0,3.3691666666666666,72.4492361111111
5.220000000000001,0.0,5.220000000000001,3.7800000000000002,0.0,18.9,0.0,0.0,0.0,5.220000000000001,0.0,2.32,9.0,46.8,26.22,18.0,3.3883333333333336,73.85263888888889
5.13,0.0,5.13,3.87,0.0,19.35,0.0,0.0,0.0,5.13,0.0,2.28,9.0,47.7,26.13,18.0,3.4075,75.25604166666668
5.04,0.0,5.04,3.96,0.0,19.8,0.0,0.0,0.0,5.04,0.0,2.2399999999999998,9.0,48.6,26.04,18.0,3.4266666666666667,76.65944444444445
4.95,0.0,4.95,4.05,0.0,20.25,0.0,0.0,0.0,4.95,0.0,2.2,9.0,49.5,25.95,18.0,3.4458333333333337,78.06284722222222
4.86,0.0,4.86,4.140000000000001,0.0,20.7,0.0,0.0,0.0,4.86,0.0,2.16,9.0,50.4,25.86,18.0,3.4650000000000003,79.46625
4.7700000000000005,0.0,4.7700000000000005,4.23,0.0,21.15,0.0,0.0,0.0,4.7700000000000005,0.0,2.12,9.0,51.3,25.77,18.0,3.484166666666667,80.86965277777779
4.68,0.0,4.68,4.32,0.0,21.6,0.0,0.0,0.0,4.68,0.0,2.08,9.0,52.2,25.68,18.0,3.5033333333333334,82.27305555555556
