S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
29.0,10.0,0.0,25.0,6.0,12.0,6.0,90.0,3.0,41.666666666666664,30.666666666666668,6.333333333333333,41.0,39.0,9.0,15.0,0.0,3.0,23.244444444444444,906.5481481481482,13.055555555555555,32.666666666666664,6.75
28.0,20.0,6.0,48.0,3.0,18.0,24.0,91.0,29.333333333333332,55.0,6.0,3.0,41.0,24.0,3.0,12.0,3.0,10.0,26.622222222222224,1278.2518518518516,17.666666666666668,36.29166666666667,7.0
9.0,49.0,6.0,7.0,9.0,29.0,24.0,147.0,3.0,14.0,9.0,17.333333333333332,33.666666666666664,35.0,11.0,12.0,0.0,10.0,26.866666666666664,1927.2148148148144,12.888888888888888,39.333333333333336,8.25
38.0,43.0,15.0,0.0,12.0,10.0,27.0,108.0,3.0,14.0,6.0,32.0,21.0,52.0,11.0,3.0,0.0,10.0,26.133333333333336,1264.2133333333334,17.833333333333332,34.25,6.0
45.0,23.0,18.0,0.0,13.0,39.0,16.333333333333332,67.0,6.333333333333333,60.0,12.0,17.333333333333332,44.0,3.0,0.0,3.0,0.0,17.0,24.266666666666666,964.9125925925927,22.055555555555557,28.958333333333332,5.0
13.0,16.0,42.0,0.0,420.0,23.0,6.0,67.0,11.333333333333334,49.0,15.0,3.0,44.0,14.0,3.0,0.0,0.0,0.0,48.422222222222224,29722.660740740754,83.5,27.791666666666664,0.75
478.0,14.0,34.0,63.0,4561.0,3.0,8.666666666666666,50.0,20.0,33.0,11.666666666666666,5.0,0.0,46.0,3.0,0.0,0.0,3.0,355.35555555555555,3865160.4948148136,857.3333333333334,22.916666666666664,1.5
2378.0,17.0,37.0,20191.0,1334.0,14.0,0.0,70.0,18.333333333333332,6.0,22.0,7.0,3.0,71.0,3.0,10.0,3.0,0.0,1611.4222222222222,53684969.50518521,3993.5,25.916666666666664,4.0
3973.0,10.0,9.0,27810.333333333332,2630.0,31.0,12.0,91.0,5.0,3.0,19.0,8.666666666666666,6.0,26.0,3.0,13.0,0.0,3.0,2309.133333333333,52047396.36148148,5743.666666666665,21.5,4.75
2735.0,47.0,8140.0,20119.666666666668,3075.0,3809.0,24.0,89.0,0.0,10.0,0.0,11.0,6.0,20.0,0.0,3.0,0.0,20.0,2539.0444444444443,48492859.67407406,6314.944444444445,24.5,5.75
2035.0,36.0,1755.0,12841.666666666666,3218.0,2202.0,37.333333333333336,186.0,1.3333333333333333,32.0,6.0,111.0,15.0,21.333333333333332,0.0,19.0,0.0,27.0,1499.8444444444442,15628486.63111111,3693.7777777777774,41.875,11.5
7350.0,54.0,197.0,10141.666666666666,1528.0,7854.0,95.0,249.33333333333334,36.333333333333336,46.333333333333336,6.0,212.0,48.0,35.0,3.0,9.0,0.0,3.0,1857.0444444444445,16515223.481481478,4547.11111111111,71.25,3.75
9366.0,61.0,190.0,9237.0,8092.0,7754.0,276.6666666666667,272.0,43.0,90.66666666666667,101.33333333333333,335.3333333333333,31.0,13.0,0.0,0.0,0.0,0.0,2390.866666666667,28090166.823703706,5829.055555555556,111.08333333333334,0.0
2836.0,13.0,329.0,4358.0,3870.0,8482.0,562.0,332.0,100.66666666666667,157.0,241.0,459.0,34.0,9.0,0.0,9.0,0.0,0.0,1452.1777777777777,8607540.192592593,3389.0,181.08333333333331,2.25
2370.0,13.0,401.0,2461.0,873.0,12270.0,654.0,413.0,229.33333333333334,253.0,197.0,361.3333333333333,45.0,51.0,0.0,15.0,0.0,0.0,1372.777777777778,10299745.943703702,3122.722222222222,231.91666666666666,3.75
1725.0,28.0,535.0,1345.0,706.0,5138.0,643.0,597.0,283.0,287.0,217.0,264.0,141.0,93.0,0.0,35.0,0.0,18.0,800.1333333333333,1847432.3466666667,1618.8333333333333,286.125,13.25
1209.0,95.0,665.0,695.0,536.0,2522.0,714.3333333333334,817.0,285.3333333333333,305.0,275.3333333333333,253.66666666666666,239.0,142.0,0.0,29.0,0.0,21.0,583.5777777777778,495697.66814814816,980.1111111111112,359.12500000000006,12.5
1198.0,245.0,572.0,652.0,688.0,2030.0,652.0,665.0,423.0,333.0,274.0,244.0,318.0,167.0,3.0,3.0,0.0,3.0,564.2666666666668,320606.55999999994,897.3333333333334,384.625,2.25
821.0,273.0,602.0,416.0,517.0,2242.0,795.0,611.0,428.0,393.3333333333333,318.6666666666667,255.0,476.0,354.0,3.0,3.0,3.0,0.0,567.0,300438.9748148148,808.8333333333334,456.125,2.25
