S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
148,94,90,75,30,72,99,103.3333333,187.3333333,79.33333333,0,111,102,55,79,59,73,85.70588235,3542.836292
113,73,81,49,46.33333333,63,132,128,185.3333333,86.33333333,0,108,108,61,69,78,90,86.52941176,3947.143984
103,126,76,40,52,19,126,135,165,78,0,97,107,59,55,51,96,81.47058824,4341.763314
108,148,67,62,97,73,93,108.3333333,141.3333333,63,0,102.3333333,114.3333333,81,73,71,106,88.72549019,3055.226824
74,109,80,72,74,107,83.66666667,84,123.3333333,86,0,100.3333333,75.33333333,61,55,79,74,78.68627451,1923.573964
79,102,132,78,58,80,105,90.66666667,140,78,0,103,60,56,63,50,69,79.03921569,2234.627219
106,116,104,90,59,66,117,104,141.6666667,81.33333333,0,69,66,54,41,67,94,80.94117647,2713.392505
89,137,71,53,70,94,123,125,127,131.3333333,0,57,102.3333333,74,39,57,124,86.68627451,3737.096647
96,94,42,76,76,54,96,134.6666667,107,135,0,66,113,74,48,60,117,81.68627451,3346.650888
95,107,91,91,58,62,108,117.3333333,98,97.66666667,20,66,92.33333333,61,29,80,60,78.43137255,2331.581854
