S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
87,155.25,69.75,49.5,80.25,30,121.5,89,67.75,63.75,17.5,76.5,76.5,20.25,44.25,9.75,37.5,64.47058824,2626.819527
73.5,43.5,36.75,108.75,43.5,24,80.25,66.75,56.5,34,12,45,62.5,15.75,42,20.25,61.5,48.61764706,2425.286982
83.25,34.5,43.5,53.25,57,37.5,54,61.5,37,14.25,23.5,55.75,39.25,14.25,47.25,19.5,48,42.54411765,832.4023669
66,63,44.25,32.25,66.75,36.75,47.25,49.25,40.75,44.5,35.25,63.25,38.25,13.5,42,12,36.75,43.04411765,964.5443787
49.5,110.25,42,114,36.75,24,45,39,52,47.25,25,72.25,31.5,13.5,42.75,4.5,26.25,45.61764706,2817.050296
26.25,114,34.5,60.75,65.25,16.5,64.75,37.5,35.25,50.5,15,31.5,20.25,15,51,80.25,59.25,45.73529412,1597.278107
21.75,42.75,49.5,37.5,39,50.25,93.75,43,19.5,39.25,31.5,27,39.75,12,24.75,90.75,53.25,42.07352941,1492.615385
42,9.75,48,39.75,9,40.5,69,19.75,2.25,32.5,13,22.5,43,31.5,35.25,16.5,31.5,29.75,1356.044379
24,26.25,46.5,21.75,46.5,42.75,66.75,18,55.5,17.25,5.5,22.5,21,26.25,27,24.75,26.25,30.5,1014.754438
14.25,19.5,27,9,53.25,34.5,80.25,18.5,75.75,21,7.75,23.5,9,2.25,34.5,18,56.25,29.66176471,1303.852071
25.5,30,75,0,52.5,6.75,61.75,14.25,70.5,12.75,15.25,44,10,15.75,39.75,9.75,40.5,30.82352941,2144.680473
27.75,57,43.5,2.25,30.75,6.75,56,13,27,15.25,34.5,25.5,22,21,45.75,32.25,22.5,28.39705882,1003.576923
57.75,41.25,38.25,15,13.5,12.75,84.75,14,9,23.5,14.25,6.75,18.25,15.75,67.5,9,18.75,27.05882353,1540.097633
21,18,30.75,13.5,30.75,31.5,49.5,16,12.25,16.75,4.5,6.75,24,15.75,62.25,18,63.75,25.58823529,381.0088757
24,20.25,23.25,35.25,28.5,27.75,36,14.5,21.25,15.75,7.25,15.25,39,13.5,30,21,73.5,26.23529412,676.1360947
18,28.5,11.25,35.25,54,9.75,13.5,10,21.25,14.5,10.5,16.5,27.75,13.5,30.75,18,28.5,21.26470588,597.3609467
9.75,30,13.5,6.75,56.25,9.75,11.25,10.5,14.5,19.75,24,25,17.25,12.75,48,19.5,14.25,20.16176471,525.7692308
0,33,13.5,12,2.25,6.75,14.5,14.25,9,13.5,37.5,24.75,6.75,13.5,54.75,6.75,29.25,17.17647059,438.0621302
2.25,19.5,36.75,16.5,4.5,2.25,18,10.75,9,9.75,19.75,11.25,2.25,4.5,32.25,0,29.25,13.44117647,312.9230769
4.5,15,24.75,33,0,23.25,48,19,14.75,23.25,2.25,6.75,7.75,2.25,36,2.25,6.75,15.85294118,708.0147929
2.25,4.5,2.25,19.5,2.25,2.25,39,2.25,17.25,21,3.25,13.5,20.25,0,34.5,2.25,30.75,12.76470588,405.7899408
