S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
108.47999999999999,74.01,147.51,197.37,93.0,76.41,105.06,93.0,29.85,56.55,99.45,59.22,36.3,35.67,50.519999999999996,40.410000000000004,94.9925,2008.1385416666665
108.36,74.82000000000001,146.82,197.34,93.0,76.62,104.92,93.0,29.7,56.1,99.9,59.04,36.6,35.94,50.64,40.620000000000005,94.96833333333335,2011.5618055555553
108.24,75.63,146.13,197.31,93.0,76.83,104.78,93.0,29.55,55.65,100.35,58.86,36.9,36.21,50.76,40.83,94.94416666666667,2014.9850694444444
108.12,76.44,145.44,197.28,93.0,77.04,104.64,93.0,29.4,55.2,100.8,58.68,37.2,36.48,50.88,41.04,94.92000000000002,2018.4083333333333
108.0,77.25,144.75,197.25,93.0,77.25,104.5,93.0,29.25,54.75,101.25,58.5,37.5,36.75,51.0,41.25,94.89583333333334,2021.8315972222222
107.88,78.06,144.06,197.22,93.0,77.46,104.36,93.0,29.1,54.3,101.7,58.32,37.8,37.02,51.12,41.46,94.87166666666667,2025.254861111111
107.76,78.87,143.37,197.19,93.0,77.67,104.22,93.0,28.95,53.85,102.15,58.14,38.1,37.29,51.24,41.67,94.84750000000001,2028.678125
107.64,79.67999999999999,142.68,197.16,93.0,77.88,104.08,93.0,28.8,53.4,102.6,57.96,38.4,37.56,51.36,41.879999999999995,94.82333333333334,2032.101388888889
107.52000000000001,80.49,141.99,197.13,93.0,78.09,103.94,93.0,28.65,52.95,103.05,57.78,38.7,37.83,51.480000000000004,42.089999999999996,94.79916666666668,2035.5246527777779
107.4,81.3,141.3,197.1,93.0,78.3,103.8,93.0,28.5,52.5,103.5,57.6,39.0,38.1,51.6,42.3,94.775,2038.9479166666667
107.28,82.11,140.61,197.07,93.0,78.50999999999999,103.66,93.0,28.35,52.05,103.95,57.42,39.3,38.370000000000005,51.72,42.51,94.75083333333333,2042.3711805555556
107.16000000000001,82.92,139.92000000000002,197.04,93.0,78.72,103.52,93.0,28.2,51.6,104.4,57.24,39.6,38.64,51.84,42.72,94.72666666666667,2045.7944444444447
107.04,83.73,139.23000000000002,197.01,93.0,78.93,103.38,93.0,28.05,51.15,104.85,57.06,39.9,38.91,51.96,42.93,94.7025,2049.2177083333336
