S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
81.3,14.4,69.3,30.9,61.2,57.0,123.7,45.1,58.8,11.099999999999998,26.1,27.0,38.7,55.2,146.7,120.0,50.49166666666667,1026.3576388888887
80.97,13.86,69.57,30.81,61.38,57.3,123.93,44.49,58.419999999999995,10.889999999999999,26.19,27.0,39.03,55.080000000000005,147.63,120.0,50.40083333333333,1026.0295138888887
80.64,13.32,69.84,30.72,61.56,57.6,124.16,43.88,58.04,10.679999999999998,26.28,27.0,39.36,54.96,148.56,120.0,50.31,1025.7013888888887
80.31,12.780000000000001,70.11,30.63,61.74,57.9,124.39,43.27,57.66,10.469999999999999,26.37,27.0,39.690000000000005,54.84,149.48999999999998,120.0,50.219166666666666,1025.3732638888887
79.98,12.24,70.38,30.54,61.92,58.2,124.62,42.660000000000004,57.28,10.259999999999998,26.46,27.0,40.02,54.72,150.42,120.0,50.12833333333334,1025.0451388888887
79.65,11.7,70.65,30.45,62.1,58.5,124.85,42.05,56.9,10.049999999999999,26.55,27.0,40.35,54.6,151.35,120.0,50.0375,1024.7170138888887
79.32,11.16,70.92,30.36,62.28,58.8,125.08,41.44,56.519999999999996,9.84,26.64,27.0,40.68,54.480000000000004,152.28,120.0,49.946666666666665,1024.3888888888887
78.99,10.620000000000001,71.19,30.27,62.46,59.1,125.31,40.83,56.14,9.629999999999999,26.73,27.0,41.01,54.36,153.21,120.0,49.85583333333334,1024.0607638888887
78.66,10.08,71.46,30.18,62.64,59.4,125.54,40.22,55.76,9.42,26.82,27.0,41.34,54.24,154.14,120.0,49.765,1023.7326388888888
78.33,9.54,71.73,30.09,62.82,59.7,125.77,39.61,55.38,9.209999999999999,26.91,27.0,41.67,54.12,155.07,120.0,49.67416666666667,1023.4045138888888
78.0,9.0,72.0,30.0,63.0,60.0,126.0,39.0,55.0,9.0,27.0,27.0,42.0,54.0,156.0,120.0,49.583333333333336,1023.0763888888888
77.31,9.0,71.73,30.0,63.51,60.21,125.46,39.0,54.54,9.0,26.91,27.18,41.76,54.96,155.25,120.84,49.487500000000004,1023.3956249999999
76.62,9.0,71.46,30.0,64.02,60.42,124.92,39.0,54.08,9.0,26.82,27.36,41.52,55.92,154.5,121.68,49.391666666666666,1023.7148611111111
