S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
302.28,141.96,320.04,722.64,0.0,1966.0800000000002,157.2,137.42000000000002,99.0,147.0,0.0,636.0,459.0,38.64,0.0,38.64,99.48,391.4323076923077,316895.93254437874
306.29999999999995,143.10000000000002,323.4,725.4000000000001,0.0,1993.8000000000002,157.5,138.45,99.0,147.0,0.0,636.0,459.0,38.400000000000006,0.0,38.400000000000006,99.30000000000001,394.5346153846154,327335.56508875743
310.32,144.24,326.76,728.1600000000001,0.0,2021.52,157.8,139.48,99.0,147.0,0.0,636.0,459.0,38.160000000000004,0.0,38.160000000000004,99.12,397.6369230769231,337775.1976331361
314.34,145.38,330.12,730.9200000000001,0.0,2049.2400000000002,158.1,140.51,99.0,147.0,0.0,636.0,459.0,37.92,0.0,37.92,98.94,400.7392307692308,348214.8301775148
318.35999999999996,146.52,333.48,733.6800000000001,0.0,2076.96,158.4,141.54,99.0,147.0,0.0,636.0,459.0,37.68,0.0,37.68,98.76,403.84153846153845,358654.46272189356
322.38,147.66000000000003,336.84,736.44,0.0,2104.6800000000003,158.7,142.57,99.0,147.0,0.0,636.0,459.0,37.440000000000005,0.0,37.440000000000005,98.58000000000001,406.94384615384615,369094.09526627226
326.4,148.8,340.2,739.2,0.0,2132.4,159.0,143.6,99.0,147.0,0.0,636.0,459.0,37.2,0.0,37.2,98.4,410.04615384615386,379533.72781065095
330.41999999999996,149.94,343.56,741.96,0.0,2160.12,159.3,144.63,99.0,147.0,0.0,636.0,459.0,36.96,0.0,36.96,98.22,413.14846153846156,389973.36035502964
334.44,151.08,346.92,744.72,0.0,2187.84,159.6,145.66,99.0,147.0,0.0,636.0,459.0,36.72,0.0,36.72,98.04,416.25076923076927,400412.99289940833
338.46,152.22,350.28,747.48,0.0,2215.56,159.9,146.69,99.0,147.0,0.0,636.0,459.0,36.480000000000004,0.0,36.480000000000004,97.86,419.3530769230769,410852.625443787
342.48,153.36,353.64,750.24,0.0,2243.28,160.2,147.72,99.0,147.0,0.0,636.0,459.0,36.24,0.0,36.24,97.68,422.4553846153846,421292.2579881657
346.5,154.5,357.0,753.0,0.0,2271.0,160.5,148.75,99.0,147.0,0.0,636.0,459.0,36.0,0.0,36.0,97.5,425.5576923076923,431731.89053254446
350.52,155.64,360.36,755.76,0.0,2298.72,160.8,149.78,99.0,147.0,0.0,636.0,459.0,35.76,0.0,35.76,97.32,428.66,442171.5230769231
354.54,156.78,363.72,758.52,0.0,2326.44,161.1,150.81,99.0,147.0,0.0,636.0,459.0,35.519999999999996,0.0,35.519999999999996,97.14,431.76230769230773,452611.15562130185
358.56,157.92,367.08,761.28,0.0,2354.16,161.4,151.84,99.0,147.0,0.0,636.0,459.0,35.28,0.0,35.28,96.96,434.8646153846154,463050.78816568054
362.58000000000004,159.06,370.44,764.04,0.0,2381.88,161.7,152.87,99.0,147.0,0.0,636.0,459.0,35.04,0.0,35.04,96.78,437.9669230769231,473490.42071005923
366.6,160.2,373.8,766.8,0.0,2409.6,162.0,153.9,99.0,147.0,0.0,636.0,459.0,34.8,0.0,34.8,96.6,441.0692307692308,483930.0532544379
370.62,161.33999999999997,377.16,769.56,0.0,2437.3199999999997,162.3,154.93,99.0,147.0,0.0,636.0,459.0,34.559999999999995,0.0,34.559999999999995,96.41999999999999,444.1715384615385,494369.6857988166
374.64000000000004,162.48,380.52,772.3199999999999,0.0,2465.04,162.6,155.96,99.0,147.0,0.0,636.0,459.0,34.32,0.0,34.32,96.24,447.2738461538462,504809.3183431953
378.66,163.62,383.88,775.0799999999999,0.0,2492.76,162.9,156.99,99.0,147.0,0.0,636.0,459.0,34.08,0.0,34.08,96.06,450.37615384615384,515248.950887574
382.68,164.76,387.24,777.8399999999999,0.0,2520.48,163.2,158.02,99.0,147.0,0.0,636.0,459.0,33.839999999999996,0.0,33.839999999999996,95.88,453.47846153846154,525688.5834319527
386.70000000000005,165.89999999999998,390.6,780.5999999999999,0.0,2548.2,163.5,159.05,99.0,147.0,0.0,636.0,459.0,33.599999999999994,0.0,33.599999999999994,95.69999999999999,456.58076923076925,536128.2159763314
390.72,167.04,393.96,783.36,0.0,2575.92,163.8,160.07999999999998,99.0,147.0,0.0,636.0,459.0,33.36,0.0,33.36,95.52,459.68307692307695,546567.8485207101
394.74,168.18,397.32,786.12,0.0,2603.6400000000003,164.1,161.10999999999999,99.0,147.0,0.0,636.0,459.0,33.12,0.0,33.12,95.34,462.78538461538466,557007.4810650888
398.76,169.32,400.68,788.88,0.0,2631.36,164.4,162.14,99.0,147.0,0.0,636.0,459.0,32.879999999999995,0.0,32.879999999999995,95.16,465.8876923076923,567447.1136094675
402.78000000000003,170.45999999999998,404.03999999999996,791.64,0.0,2659.08,164.7,163.17,99.0,147.0,0.0,636.0,459.0,32.64,0.0,32.64,94.97999999999999,468.99,577886.7461538462
406.8,171.6,407.4,794.4,0.0,2686.8,165.0,164.2,99.0,147.0,0.0,636.0,459.0,32.4,0.0,32.4,94.8,472.0923076923077,588326.3786982249
410.82,172.74,410.76,797.16,0.0,2714.52,165.3,165.23,99.0,147.0,0.0,636.0,459.0,32.16,0.0,32.16,94.62,475.1946153846154,598766.0112426037
414.84000000000003,173.88,414.12,799.92,0.0,2742.2400000000002,165.6,166.26,99.0,147.0,0.0,636.0,459.0,31.919999999999998,0.0,31.919999999999998,94.44,478.2969230769231,609205.6437869823
418.86,175.01999999999998,417.47999999999996,802.68,0.0,2769.96,165.9,167.29,99.0,147.0,0.0,636.0,459.0,31.68,0.0,31.68,94.25999999999999,481.39923076923077,619645.276331361
422.88,176.16,420.84,805.4399999999999,0.0,2797.6800000000003,166.2,168.32,99.0,147.0,0.0,636.0,459.0,31.439999999999998,0.0,31.439999999999998,94.08,484.5015384615385,630084.9088757397
426.9,177.3,424.2,808.2,0.0,2825.4,166.5,169.35,99.0,147.0,0.0,636.0,459.0,31.2,0.0,31.2,93.9,487.6038461538462,640524.5414201184
