S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
0,9,0,0,72,135,9,21,15,0,39,18,27,0,9,78,9,96,23.6,1235.84,0,54,15.33333333,43.5,96,,,,,,,,,,,,,,,,,,
0,9,51,0,72,33,9,21,21,0,39,18,18,0,27,27,9,135,21.2,404.96,0,41.25,17,18,135,,,,,,,,,,,,,,,,,,
0,39,9,0,9,0,27,21,21,0,19,9,66,0,27,9,0,57,16.46666667,316.9155556,0,14.25,21.11111111,4.5,57,,,,,,,,,,,,,,,,,,
9,18,18,0,18,0,36,10,10,0,0,0,66,0,9,0,0,9,12.93333333,298.4622222,4.5,13.5,14.55555556,0,9,,,,,,,,,,,,,,,,,,
18,18,9,0,18,0,0,0,0,0,0,10,37,9,0,18,9,30,7.933333333,110.5955556,9,11.25,6.222222222,13.5,30,,,,,,,,,,,,,,,,,,
9,0,0,39,9,0,0,42,0,0,9,21,0,33,9,18,30,30,11.4,212.64,24,2.25,12.66666667,24,30,,,,,,,,,,,,,,,,,,
30,0,18,30,9,0,0,42,0,0,9,10,0,42,9,0,30,0,13.26666667,223.6622222,30,6.75,12.44444444,15,0,,,,,,,,,,,,,,,,,,
30,0,18,0,9,21,0,0,0,3,9,0,0,0,9,9,0,9,6.6,84.24,15,12,2.333333333,4.5,9,,0,0.000666667,0,0.0004,0,0.0002,0.000466667,0,0,0,6.66667E-05,0.0002,0,0,0,0.0002,
9,0,378,0,18,0,4,0,0,6,9,4,27,18,18,0,0,30,32.73333333,8582.862222,4.5,99,9.555555556,0,30,,10,0.0002,0,0.0084,0,0.0004,0,8.88889E-05,0,0,0.000133333,0.0002,8.88889E-05,0.0006,0.0004,0.0004,
21,0,1200,0,9,4812,0,0,0,0,0,9,27,36,18,9,0,75,408.8,1472768.96,10.5,1505.25,10,4.5,75,,20,0.000466667,0,0.026666667,0,0.0002,0.106933333,0,0,0,0,0,0.0002,0.0006,0.0008,0.0004,
