S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
819,444,585,249,681,1362,315,342,819,898,366,0,141,327,0,69,0,18,489.8666667,129700.5156,534,768,356.4444444,34.5,18,,170,0.014890909,0.008072727,0.010636364,0.004527273,0.012381818,0.024763636,0.005727273,0.006218182,0.014890909,0.016327273,0.006654545,0,0.002563636,0.005945455,0,0.008906667
789,372,276,231,567,822,322,342,819,693,321,0,375,375,9,18,0,9,420.8666667,65780.91556,510,509.25,361.7777778,9,9,,180,0.014345455,0.006763636,0.005018182,0.0042,0.010309091,0.014945455,0.005854545,0.006218182,0.014890909,0.0126,0.005836364,0,0.006818182,0.006818182,0.000163636,0.007652121
582,291,441,432,369,762,294,318,664,528,261,0,375,294,21,9,0,0,375.4666667,40636.64889,507,465.75,306.1111111,4.5,0,,190,0.010581818,0.005290909,0.008018182,0.007854545,0.006709091,0.013854545,0.005345455,0.005781818,0.012072727,0.0096,0.004745455,0,0.006818182,0.005345455,0.000381818,0.006826667
702,327,492,558,399,822,126,327,522,399,363,0,496,360,102,9,0,0,399.6666667,44288.22222,630,510,299.4444444,4.5,0,,200,0.012763636,0.005945455,0.008945455,0.010145455,0.007254545,0.014945455,0.002290909,0.005945455,0.009490909,0.007254545,0.0066,0,0.009018182,0.006545455,0.001854545,0.007266667
744,372,504,264,639,534,90,297,522,351,495,0,582,573,90,87,0,0,403.8,45030.96,504,512.25,333.3333333,43.5,0,,210,0.013527273,0.006763636,0.009163636,0.0048,0.011618182,0.009709091,0.001636364,0.0054,0.009490909,0.006381818,0.009,0,0.010581818,0.010418182,0.001636364,0.007341818
408,657,396,324,441,822,219,213,489,351,435,0,426,585,27,48,0,0,386.2,44141.36,366,579,305,24,0,,220,0.007418182,0.011945455,0.0072,0.005890909,0.008018182,0.014945455,0.003981818,0.003872727,0.008890909,0.006381818,0.007909091,0,0.007745455,0.010636364,0.000490909,0.007021818
639,597,204,297,414,654,219,225,285,399,435,0,534,423,132,66,0,0,363.8,34543.76,468,467.25,294.6666667,33,0,,230,0.011618182,0.010854545,0.003709091,0.0054,0.007527273,0.011890909,0.003981818,0.004090909,0.005181818,0.007254545,0.007909091,0,0.009709091,0.007690909,0.0024,0.006614545
540,510,228,147,498,465,195,225,285,273,378,0,474,321,102,75,0,0,309.4,25267.04,343.5,425.25,250.3333333,37.5,0,,240,0.009818182,0.009272727,0.004145455,0.002672727,0.009054545,0.008454545,0.003545455,0.004090909,0.005181818,0.004963636,0.006872727,0,0.008618182,0.005836364,0.001854545,0.005625455
399,321,195,231,510,405,144,277,297,432,384,0,474,411,21,18,0,0,300.0666667,22729.66222,315,357.75,271.1111111,9,0,,250,0.007254545,0.005836364,0.003545455,0.0042,0.009272727,0.007363636,0.002618182,0.005036364,0.0054,0.007854545,0.006981818,0,0.008618182,0.007472727,0.000381818,0.005455758
573,300,207,321,381,336,153,369,465,399,249,0,388,663,51,27,0,9,323.6666667,29372.35556,447,306,304.1111111,13.5,9,,260,0.010418182,0.005454545,0.003763636,0.005836364,0.006927273,0.006109091,0.002781818,0.006709091,0.008454545,0.007254545,0.004527273,0,0.007054545,0.012054545,0.000927273,0.005884848
