S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,Time,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,
129,18,96,57,0,54,99,63,45,36,72,90,99,27,51,81,120,66,1222.615385,93,42,72,54,85.5,,,0.035833333,0.005,0.026666667,0.015833333,0,0.015,0.0275,0.0175,0.0125,0.01,0.02,0.025,0.0275,0.0075,
48,9,174,72,18,42,117,102,45,42,78,111,108,51,84,42,90,74.30769231,2007.905325,60,60.75,86.14285714,46.5,87,,,0.013333333,0.0025,0.048333333,0.02,0.005,0.011666667,0.0325,0.028333333,0.0125,0.011666667,0.021666667,0.030833333,0.03,0.014166667,
18,42,162,72,36,39,63,141,27,60,84,111,108,30,96,75,48,74.07692308,1862.840237,45,69.75,84.85714286,52.5,72,,,0.005,0.011666667,0.045,0.02,0.01,0.010833333,0.0175,0.039166667,0.0075,0.016666667,0.023333333,0.030833333,0.03,0.008333333,
81,63,120,39,18,48,63,141,93,60,90,69,81,39,30,51,102,74.30769231,986.0591716,60,62.25,85.28571429,45,66,,,0.0225,0.0175,0.033333333,0.010833333,0.005,0.013333333,0.0175,0.039166667,0.025833333,0.016666667,0.025,0.019166667,0.0225,0.010833333,
111,63,45,39,45,30,103,100,93,30,96,18,27,9,66,63,120,61.53846154,1073.633136,75,45.75,66.71428571,36,93,,,0.030833333,0.0175,0.0125,0.010833333,0.0125,0.008333333,0.028611111,0.027777778,0.025833333,0.008333333,0.026666667,0.005,0.0075,0.0025,
78,9,72,30,63,60,126,39,55,9,78,27,27,42,54,156,120,51.76923077,1001.715976,54,51,51.57142857,99,87,,,0.021666667,0.0025,0.02,0.008333333,0.0175,0.016666667,0.035,0.010833333,0.015277778,0.0025,0.021666667,0.0075,0.0075,0.011666667,
9,9,45,30,114,81,72,39,9,9,60,18,45,18,150,81,204,41.53846154,1002.248521,19.5,62.25,36,49.5,177,,,0.0025,0.0025,0.0125,0.008333333,0.031666667,0.0225,0.02,0.010833333,0.0025,0.0025,0.016666667,0.005,0.0125,0.005,
48,51,27,60,78,60,36,49,9,9,73,18,72,36,192,72,150,45.38461538,525.9289941,54,54,38,54,171,,,0.013333333,0.014166667,0.0075,0.016666667,0.021666667,0.016666667,0.01,0.013611111,0.0025,0.0025,0.020277778,0.005,0.02,0.01,
30,42,57,30,27,9,36,78,4,21,87,18,72,78,132,18,120,39.30769231,650.0591716,30,33.75,45.14285714,48,126,,0,0.008333333,0.011666667,0.015833333,0.008333333,0.0075,0.0025,0.01,0.021666667,0.001111111,0.005833333,0.024166667,0.005,0.02,0.021666667,
264,282,303,165,18,21,36,78,9,21,43,45,63,102,156,45,129,103.6923077,11152.8284,214.5,156,42.14285714,73.5,142.5,,10,0.073333333,0.078333333,0.084166667,0.045833333,0.005,0.005833333,0.01,0.021666667,0.0025,0.005833333,0.011944444,0.0125,0.0175,0.028333333,
