S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
0,9,0,0,0,0,4,9,0,0,4,36,0,111,0,0,0,0,11.53333333,787.7155556,0,2.25,18.22222222,0,0,,,,,,,,,,,,,,,,,,
0,0,0,0,0,9,0,4,0,0,9,27,0,54,0,0,0,0,6.866666667,207.7155556,0,2.25,10.44444444,0,0,,,,,,,,,,,,,,,,,,
0,0,0,0,0,9,0,0,0,0,0,18,0,0,0,0,0,0,1.8,23.76,0,2.25,2,0,0,,,,,,,,,,,,,,,,,,
0,0,9,0,0,9,0,0,0,0,0,24,0,0,9,0,0,30,3.4,43.04,0,4.5,3.666666667,0,30,,,,,,,,,,,,,,,,,,
0,9,39,21,0,9,0,0,0,0,9,30,18,0,9,9,0,39,9.6,141.84,10.5,14.25,7.333333333,4.5,39,,,,,,,,,,,,,,,,,,
0,0,39,0,0,0,0,0,0,4,9,24,9,0,0,102,0,9,5.666666667,119.5555556,0,9.75,5.111111111,51,9,,0,0,0,0.00078,0,0,0,0,0,0,0.00008,0.00018,0.00048,0.00018,0,0,
9,0,0,17748,0,0,4,0,0,9,4,18,0,0,0,102,0,0,1186.133333,19592555.85,8878.5,0,3.888888889,51,0,,10,0.00018,0,0,0.35496,0,0,0.00008,0,0,0.00018,0.00008,0.00036,0,0,0,
0,9,0,40653,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2711.4,102826081.4,20326.5,2.25,1,0,0,,20,0,0.00018,0,0.81306,0,0,0,0,0,0,0,0.00018,0,0,0,
4350,9,8616,52833,0,0,36,0,0,0,0,0,0,9,0,0,0,0,4390.2,173025164.2,28591.5,2156.25,5,0,0,,30,0.087,0.00018,0.17232,1.05666,0,0,0.00072,0,0,0,0,0,0,0.00018,0,
3558,0,27657,7916,0,18,36,0,0,0,0,9,9,9,9,0,0,0,2614.733333,49178770.46,5737,6918.75,8,0,0,,40,0.07116,0,0.55314,0.15832,0,0.00036,0.00072,0,0,0,0,0.00018,0.00018,0.00018,0.00018,
1755,9,23214,1181,0,9186,9,0,0,0,0,18,18,0,0,0,0,0,2359.333333,36283412.09,1468,8102.25,5,0,0,,50,0.0351,0.00018,0.46428,0.02362,0,0.18372,0.00018,0,0,0,0,0.00036,0.00036,0,0,
12036,0,26274,8542,0,14154,9,9,9,0,0,76,9,0,0,0,0,0,4074.533333,57297908.25,10289,10107,12.44444444,0,0,,60,0.24072,0,0.52548,0.17084,0,0.28308,0.00018,0.00018,0.00018,0,0,0.00152,0.00018,0,0,
