S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
30,30,0,66,0,9,0,66,0,80,88,0,87,33,0,9,0,9,32.6,1163.573333,48,9.75,39.33333333,4.5,9,,,,,,,,,,,,,,,,,,
57,18,18,42,0,18,0,48,69,111,0,0,87,9,0,9,0,0,31.8,1190.16,49.5,13.5,36,4.5,0,,,,,,,,,,,,,,,,,,
18,18,18,21,9,57,0,48,9,0,9,0,52,9,0,0,0,0,17.86666667,347.0488889,19.5,25.5,14.11111111,0,0,,,,,,,,,,,,,,,,,,
9,9,9,0,9,9,9,111,9,9,0,0,27,9,0,9,0,0,14.6,705.44,4.5,9,19.33333333,4.5,0,,,,,,,,,,,,,,,,,,
9,9,18,0,0,30,9,51,9,33,9,0,18,0,0,9,0,0,13,207.2,4.5,14.25,14.33333333,4.5,0,,,,,,,,,,,,,,,,,,
9,9,9,0,27,30,9,9,0,33,9,0,18,0,0,0,0,0,10.8,118.56,4.5,18.75,8.666666667,0,0,,,,,,,,,,,,,,,,,,
30,21,27,21,45,0,4,9,0,33,4,0,0,9,0,0,0,0,13.53333333,204.7822222,25.5,23.25,6.555555556,0,0,,0,0.000967742,0.000677419,0.000870968,0.000677419,0.001451613,0,0.000129032,0.000290323,0,0.001064516,0.000129032,0,0,0.000290323,0,
2319,30,102,10278,18,9,0,42,0,0,57,0,0,63,0,0,0,0,861.2,6660716.96,6298.5,39.75,18,0,0,,10,0.074806452,0.000967742,0.003290323,0.331548387,0.000580645,0.000290323,0,0.001354839,0,0,0.00183871,0,0,0.002032258,0,
6495,9,9,31734,2892,42,27,48,0,0,57,16,9,42,0,0,0,0,2758.666667,62896808.49,19114.5,738,22.11111111,0,0,,20,0.209516129,0.000290323,0.000290323,1.023677419,0.093290323,0.001354839,0.000870968,0.001548387,0,0,0.00183871,0.000516129,0.000290323,0.001354839,0,
3642,18,9,2400,6483,33,63,69,0,21,0,33,9,9,0,0,0,30,852.6,3344097.84,3021,1635.75,22.66666667,0,30,,30,0.117483871,0.000580645,0.000290323,0.077419355,0.209129032,0.001064516,0.002032258,0.002225806,0,0.000677419,0,0.001064516,0.000290323,0.000290323,0,
420,18,114,1017,4110,2256,18,177,0,0,9,112,18,45,0,39,0,39,554.2666667,1242939.929,718.5,1624.5,42.11111111,19.5,39,,40,0.013548387,0.000580645,0.003677419,0.032806452,0.132580645,0.072774194,0.000580645,0.005709677,0,0,0.000290323,0.003612903,0.000580645,0.001451613,0,
1341,153,132,957,1875,738,18,186,72,43,9,192,48,45,0,9,0,9,387.2666667,309921.7956,1149,724.5,68.11111111,4.5,9,,50,0.043258065,0.004935484,0.004258065,0.030870968,0.060483871,0.023806452,0.000580645,0.006,0.002322581,0.001387097,0.000290323,0.006193548,0.001548387,0.001451613,0,
690,153,174,465,16242,6702,94,186,72,86,166,255,48,0,0,0,0,0,1688.866667,17788814.38,577.5,5817.75,100.7777778,0,0,,60,0.022258065,0.004935484,0.005612903,0.015,0.523935484,0.216193548,0.003032258,0.006,0.002322581,0.002774194,0.005354839,0.008225806,0.001548387,0,0,
333,0,222,441,7425,3186,384,132,160,117,456,318,48,18,0,0,0,0,882.6666667,3631015.022,387,2708.25,181.4444444,0,0,,70,0.010741935,0,0.00716129,0.014225806,0.239516129,0.102774194,0.012387097,0.004258065,0.00516129,0.003774194,0.014709677,0.010258065,0.001548387,0.000580645,0,
1665,0,360,240,1257,16350,309,57,177,159,441,205,81,84,0,0,0,0,1425.666667,16118637.02,952.5,4491.75,168.1111111,0,0,,80,0.053709677,0,0.011612903,0.007741935,0.040548387,0.527419355,0.009967742,0.00183871,0.005709677,0.005129032,0.014225806,0.006612903,0.002612903,0.002709677,0,0.045989247
975,0,609,84,1236,3618,477,351,177,216,258,93,135,96,0,0,0,54,555,790478.4,529.5,1365.75,200.3333333,0,54,,90,0.031451613,0,0.019645161,0.002709677,0.039870968,0.116709677,0.015387097,0.011322581,0.005709677,0.006967742,0.008322581,0.003,0.004354839,0.003096774,0,0.017903226
579,123,693,54,702,1854,408,1101,220,366,216,219,345,216,0,0,0,63,473.0666667,215206.1956,316.5,843,343.4444444,0,63,,100,0.018677419,0.003967742,0.022354839,0.001741935,0.022645161,0.059806452,0.01316129,0.035516129,0.007096774,0.011806452,0.006967742,0.007064516,0.011129032,0.006967742,0,0.015260215
876,111,705,321,534,3378,408,480,360,366,216,345,399,297,0,0,0,9,586.4,599422.64,598.5,1182,319,0,9,,110,0.028258065,0.003580645,0.022741935,0.010354839,0.017225806,0.108967742,0.01316129,0.015483871,0.011612903,0.011806452,0.006967742,0.011129032,0.012870968,0.009580645,0,0.018916129
615,117,705,504,354,2742,555,480,360,484,295,289,552,534,0,0,9,0,572.4,368993.04,559.5,979.5,394.3333333,4.5,0,,120,0.01983871,0.003774194,0.022741935,0.016258065,0.011419355,0.088451613,0.017903226,0.015483871,0.011612903,0.015612903,0.009516129,0.009322581,0.017806452,0.017225806,0,0.018464516
711,324,618,387,246,1554,492,480,328,480,351,234,552,498,0,39,9,0,483.6666667,109982.2222,549,685.5,379.4444444,24,0,,130,0.022935484,0.010451613,0.019935484,0.012483871,0.007935484,0.050129032,0.015870968,0.015483871,0.010580645,0.015483871,0.011322581,0.007548387,0.017806452,0.016064516,0,0.015602151
906,315,627,255,300,930,621,615,378,402,237,180,412,339,0,0,0,0,434.4666667,62885.58222,580.5,543,353.7777778,0,0,,140,0.029225806,0.01016129,0.020225806,0.008225806,0.009677419,0.03,0.020032258,0.01983871,0.012193548,0.012967742,0.007645161,0.005806452,0.013290323,0.010935484,0,0.014015054
657,216,618,249,369,546,522,486,378,435,426,126,408,450,0,0,0,0,392.4,30263.04,453,437.25,359,0,0,,150,0.021193548,0.006967742,0.019935484,0.008032258,0.011903226,0.017612903,0.01683871,0.015677419,0.012193548,0.014032258,0.013741935,0.004064516,0.01316129,0.014516129,0,0.012658065
474,465,513,240,339,582,414,360,426,249,426,157,360,426,0,0,0,0,362.0666667,20706.99556,357,474.75,313.1111111,0,0,,160,0.015290323,0.015,0.016548387,0.007741935,0.010935484,0.018774194,0.013354839,0.011612903,0.013741935,0.008032258,0.013741935,0.005064516,0.011612903,0.013741935,0,0.01167957
465,606,384,252,339,489,414,372,402,218,426,189,273,459,0,0,0,0,352.5333333,20372.11556,358.5,454.5,305.8888889,0,0,,170,0.015,0.019548387,0.012387097,0.008129032,0.010935484,0.015774194,0.013354839,0.012,0.012967742,0.007032258,0.013741935,0.006096774,0.008806452,0.014806452,0,0.011372043
258,642,195,279,225,300,306,372,402,187,442,175,285,399,0,0,0,0,297.8,19996.96,268.5,340.5,285.3333333,0,0,,180,0.008322581,0.020709677,0.006290323,0.009,0.007258065,0.009677419,0.009870968,0.012,0.012967742,0.006032258,0.014258065,0.005645161,0.009193548,0.012870968,0,0.009606452
249,609,285,228,420,219,216,406,298,282,243,162,285,351,0,0,0,0,283.5333333,16941.58222,238.5,383.25,249.2222222,0,0,,190,0.008032258,0.019645161,0.009193548,0.007354839,0.013548387,0.007064516,0.006967742,0.013096774,0.009612903,0.009096774,0.00783871,0.005225806,0.009193548,0.011322581,0,0.009146237
258,657,339,93,369,225,162,348,195,183,108,280,259,399,0,0,0,0,258.3333333,22849.02222,175.5,397.5,214.8888889,0,0,,200,0.008322581,0.021193548,0.010935484,0.003,0.011903226,0.007258065,0.005225806,0.011225806,0.006290323,0.005903226,0.003483871,0.009032258,0.008354839,0.012870968,0,0.008333333
366,402,183,117,264,321,210,399,195,180,237,399,174,435,0,30,0,0,258.8,14627.36,241.5,292.5,247.6666667,15,0,,210,0.011806452,0.012967742,0.005903226,0.003774194,0.008516129,0.010354839,0.006774194,0.012870968,0.006290323,0.005806452,0.007645161,0.012870968,0.005612903,0.014032258,0,0.008348387
