S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
72,87,39,0,78,39,18,9,0,21,0,0,18,66,0,9,0,30,29.8,938.96,36,60.75,14.66666667,4.5,30,,,,,,,,,,,,,,,,,,
72,36,48,0,180,9,18,0,0,180,0,0,36,0,9,9,0,30,39.2,3487.76,36,68.25,27,4.5,30,,,,,,,,,,,,,,,,,,
51,36,9,93,102,27,0,9,0,180,0,0,27,66,9,0,0,0,40.6,2445.44,72,43.5,32.33333333,0,0,,,,,,,,,,,,,,,,,,
0,249,0,93,9,18,0,0,0,90,0,21,9,78,0,9,0,0,37.8,4288.56,46.5,69,22,4.5,0,,,,,,,,,,,,,,,,,,
9,78,0,0,0,9,13,0,0,21,0,42,9,21,0,18,0,0,13.46666667,428.1155556,4.5,21.75,11.77777778,9,0,,,,,,,,,,,,,,,,,,
18,54,0,9,9,9,54,0,15,21,33,25,9,21,0,9,0,0,18.46666667,279.0488889,13.5,18,19.77777778,4.5,0,,0,0.000327273,0.000981818,0,0.000163636,0.000163636,0.000163636,0.000981818,0,0.000272727,0.000381818,0.0006,0.000454545,0.000163636,0.000381818,0,
3396,0,0,1218,18,9,63,69,63,9,0,9,4,0,9,0,0,21,324.4666667,763368.2489,2307,6.75,25.11111111,0,21,,10,0.061745455,0,0,0.022145455,0.000327273,0.000163636,0.001145455,0.001254545,0.001145455,0.000163636,0,0.000163636,7.27E-05,0,0.000163636,
1455,9,0,16980,18,0,54,69,63,18,0,108,48,0,9,27,0,21,1255.4,17788227.44,9217.5,6.75,41,13.5,21,,20,0.026454545,0.000163636,0,0.308727273,0.000327273,0,0.000981818,0.001254545,0.001145455,0.000327273,0,0.001963636,0.000872727,0,0.000163636,
2373,18,18,56804,384,0,27,0,31,18,0,207,84,0,0,27,0,0,3997.6,199520898.8,29588.5,105,40.77777778,13.5,0,,30,0.043145455,0.000327273,0.000327273,1.0328,0.006981818,0,0.000490909,0,0.000563636,0.000327273,0,0.003763636,0.001527273,0,0,
1878,9,5286,19550,135,9,27,9,0,9,0,153,45,0,0,0,0,0,1807.333333,24314605.69,10714,1359.75,27,0,0,,40,0.034145455,0.000163636,0.096109091,0.355454545,0.002454545,0.000163636,0.000490909,0.000163636,0,0.000163636,0,0.002781818,0.000818182,0,0,
591,9,9384,28826,186,9,45,9,0,0,4,99,27,0,0,30,0,0,2612.6,54467282.77,14708.5,2397,20.44444444,15,0,,50,0.010745455,0.000163636,0.170618182,0.524109091,0.003381818,0.000163636,0.000818182,0.000163636,0,0,7.27E-05,0.0018,0.000490909,0,0,
1116,18,21516,57246,75,204,282,9,13,9,51,453,27,30,0,30,0,0,5403.266667,220246381.8,29181,5453.25,97.11111111,15,0,,60,0.020290909,0.000327273,0.3912,1.040836364,0.001363636,0.003709091,0.005127273,0.000163636,0.000236364,0.000163636,0.000927273,0.008236364,0.000490909,0.000545455,0,
345,27,6873,28398,18,1014,237,18,75,60,69,807,18,57,0,0,0,0,2534.4,50614023.84,14371.5,1983,149,0,0,,70,0.006272727,0.000490909,0.124963636,0.516327273,0.000327273,0.018436364,0.004309091,0.000327273,0.001363636,0.001090909,0.001254545,0.014672727,0.000327273,0.001036364,0,
1017,9,5547,12855,39,1566,189,27,75,276,231,862,9,18,0,0,0,9,1514.666667,11067354.36,6936,1790.25,187.4444444,0,9,,80,0.018490909,0.000163636,0.100854545,0.233727273,0.000709091,0.028472727,0.003436364,0.000490909,0.001363636,0.005018182,0.0042,0.015672727,0.000163636,0.000327273,0,
687,21,3051,15000,327,6858,90,39,229,276,477,918,18,0,0,0,0,9,1866.066667,15393056.46,7843.5,2564.25,227.4444444,0,9,,90,0.012490909,0.000381818,0.055472727,0.272727273,0.005945455,0.124690909,0.001636364,0.000709091,0.004163636,0.005018182,0.008672727,0.016690909,0.000327273,0,0,
807,42,2070,14109,903,5874,90,165,582,438,477,673,45,0,9,0,0,0,1752.266667,12967530.6,7458,2222.25,275.4444444,0,0,,100,0.014672727,0.000763636,0.037636364,0.256527273,0.016418182,0.1068,0.001636364,0.003,0.010581818,0.007963636,0.008672727,0.012236364,0.000818182,0,0.000163636,
996,42,924,3375,663,4518,432,165,582,723,628,429,75,0,9,18,0,0,904.0666667,1565963.929,2185.5,1536.75,338.1111111,9,0,,110,0.018109091,0.000763636,0.0168,0.061363636,0.012054545,0.082145455,0.007854545,0.003,0.010581818,0.013145455,0.011418182,0.0078,0.001363636,0,0.000163636,
987,267,975,1845,1047,3078,552,309,670,1128,642,409,75,33,9,54,0,0,801.7333333,602430.9956,1416,1341.75,425.2222222,27,0,,120,0.017945455,0.004854545,0.017727273,0.033545455,0.019036364,0.055963636,0.010036364,0.005618182,0.012181818,0.020509091,0.011672727,0.007436364,0.001363636,0.0006,0.000163636,
1410,45,1356,1737,981,2418,477,504,1104,1272,480,390,93,96,30,18,0,0,826.2,475708.56,1573.5,1200,494,9,0,,130,0.025636364,0.000818182,0.024654545,0.031581818,0.017836364,0.043963636,0.008672727,0.009163636,0.020072727,0.023127273,0.008727273,0.007090909,0.001690909,0.001745455,0.000545455,0.015021818
1392,243,1410,1065,819,1206,618,399,1104,1512,693,312,210,141,135,78,0,30,750.6,233274.24,1228.5,919.5,569.3333333,39,30,,140,0.025309091,0.004418182,0.025636364,0.019363636,0.014890909,0.021927273,0.011236364,0.007254545,0.020072727,0.027490909,0.0126,0.005672727,0.003818182,0.002563636,0.002454545,0.013647273
1029,378,999,462,609,1254,336,348,879,1512,498,234,270,207,180,96,0,0,613,164248.4,745.5,810,496,48,0,,150,0.018709091,0.006872727,0.018163636,0.0084,0.011072727,0.0228,0.006109091,0.006327273,0.015981818,0.027490909,0.009054545,0.004254545,0.004909091,0.003763636,0.003272727,0.011145455
924,384,654,522,462,930,336,528,486,1060,498,213,471,156,93,105,0,18,514.4666667,73954.11556,723,607.5,426.7777778,52.5,18,,160,0.0168,0.006981818,0.011890909,0.009490909,0.0084,0.016909091,0.006109091,0.0096,0.008836364,0.019272727,0.009054545,0.003872727,0.008563636,0.002836364,0.001690909,0.009353939
