S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,Time,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,
30,18,27,60,135,57,54,87,75,0,60,36,40,117,51,357,114,52.23076923,1089.869822,45,59.25,50.28571429,237,82.5,,,0.000625,0.000375,0.0005625,0.00125,0.0028125,0.0011875,0.001125,0.0018125,0.0015625,0,0.00125,0.00075,0.000833333,0.0024375,
60,39,36,63,27,57,63,87,75,0,76,18,45,90,30,282,60,49.69230769,580.8284024,61.5,39.75,52,186,45,,,0.00125,0.0008125,0.00075,0.0013125,0.0005625,0.0011875,0.0013125,0.0018125,0.0015625,0,0.001583333,0.000375,0.0009375,0.001875,
153,42,45,42,45,66,117,78,117,0,93,18,45,57,54,0,57,66.23076923,1752.177515,97.5,49.5,66.85714286,28.5,55.5,,,0.0031875,0.000875,0.0009375,0.000875,0.0009375,0.001375,0.0024375,0.001625,0.0024375,0,0.0019375,0.000375,0.0009375,0.0011875,
111,21,54,51,45,78,117,90,90,0,70,27,31,27,108,96,69,60.38461538,1189.621302,81,49.5,60.71428571,61.5,88.5,,,0.0023125,0.0004375,0.001125,0.0010625,0.0009375,0.001625,0.0024375,0.001875,0.001875,0,0.001458333,0.0005625,0.000645833,0.0005625,
21,27,45,75,75,126,90,90,90,0,48,54,36,60,48,39,39,59.76923077,1130.485207,48,68.25,58.28571429,49.5,43.5,,,0.0004375,0.0005625,0.0009375,0.0015625,0.0015625,0.002625,0.001875,0.001875,0.001875,0,0.001,0.001125,0.00075,0.00125,
39,9,36,0,129,108,72,94,94,0,58,27,36,93,78,75,60,54,1656.923077,19.5,70.5,54.42857143,84,69,,,0.0008125,0.0001875,0.00075,0,0.0026875,0.00225,0.0015,0.001958333,0.001958333,0,0.001208333,0.0005625,0.00075,0.0019375,
72,21,45,39,63,51,54,36,36,42,69,39,58,69,57,66,39,48.07692308,200.8402367,55.5,45,47.71428571,67.5,48,,,0.0015,0.0004375,0.0009375,0.0008125,0.0013125,0.0010625,0.001125,0.00075,0.00075,0.000875,0.0014375,0.0008125,0.001208333,0.0014375,
78,69,66,27,9,51,72,36,36,42,76,27,99,36,18,42,39,52.92307692,618.9940828,52.5,48.75,55.42857143,39,28.5,,,0.001625,0.0014375,0.001375,0.0005625,0.0001875,0.0010625,0.0015,0.00075,0.00075,0.000875,0.001583333,0.0005625,0.0020625,0.00075,
27,48,105,0,27,72,45,51,39,46,84,27,99,36,27,60,9,51.53846154,868.4023669,13.5,63,55.85714286,48,18,,0,0.0005625,0.001,0.0021875,0,0.0005625,0.0015,0.0009375,0.0010625,0.0008125,0.000958333,0.00175,0.0005625,0.0020625,0.00075,
546,39,156,39,45,105,45,117,51,42,61,61,124,9,57,27,30,110.0769231,17224.68639,292.5,86.25,71.57142857,18,43.5,,10,0.011375,0.0008125,0.00325,0.0008125,0.0009375,0.0021875,0.0009375,0.0024375,0.0010625,0.000875,0.001270833,0.001270833,0.002583333,0.0001875,
32952,84,156,48,36,129,58,117,51,42,39,162,54,54,96,39,69,2609.846154,76722398.13,16500,101.25,74.71428571,46.5,82.5,,20,0.6865,0.00175,0.00325,0.001,0.00075,0.0026875,0.001208333,0.0024375,0.0010625,0.000875,0.0008125,0.003375,0.001125,0.001125,
7608,63,54,345,9,114,165,78,43,47,42,93,54,114,96,39,66,670.3846154,4017611.16,3976.5,60,74.57142857,76.5,81,,30,0.1585,0.0013125,0.001125,0.0071875,0.0001875,0.002375,0.0034375,0.001625,0.000895833,0.000979167,0.000875,0.0019375,0.001125,0.002375,
855,84,54,165,84,84,126,186,36,52,45,63,27,60,48,57,96,143.1538462,44393.82249,510,76.5,76.42857143,58.5,72,,40,0.0178125,0.00175,0.001125,0.0034375,0.00175,0.00175,0.002625,0.003875,0.00075,0.001083333,0.0009375,0.0013125,0.0005625,0.00125,
22245,255,135,297,123,96,480,186,36,48,54,90,45,45,30,39,39,1853.076923,34667449.46,11271,152.25,134.1428571,42,34.5,,50,0.4634375,0.0053125,0.0028125,0.0061875,0.0025625,0.002,0.01,0.003875,0.00075,0.001,0.001125,0.001875,0.0009375,0.0009375,
39161,456,156,1908,165,252,1785,1017,58,48,63,90,45,27,0,9,39,3477.230769,106507917.1,20534.5,257.25,443.7142857,18,19.5,,60,0.815854167,0.0095,0.00325,0.03975,0.0034375,0.00525,0.0371875,0.0211875,0.001208333,0.001,0.0013125,0.001875,0.0009375,0.0005625,
48687,834,378,1143,384,246,1785,2853,84,39,72,255,162,18,27,18,48,4378.615385,164228319.2,24915,460.5,750,18,37.5,,70,1.0143125,0.017375,0.007875,0.0238125,0.008,0.005125,0.0371875,0.0594375,0.00175,0.0008125,0.0015,0.0053125,0.003375,0.000375,0.084732143
12399,738,504,1404,570,726,1938,2853,84,60,81,285,276,75,48,18,72,1686,10190259.69,6901.5,634.5,796.7142857,46.5,60,,80,0.2583125,0.015375,0.0105,0.02925,0.011875,0.015125,0.040375,0.0594375,0.00175,0.00125,0.0016875,0.0059375,0.00575,0.0015625,0.032727679
1869,390,993,1647,936,474,2025,3169,106,60,147,429,276,75,39,60,42,963.1538462,832683.8225,1758,698.25,887.4285714,67.5,40.5,,90,0.0389375,0.008125,0.0206875,0.0343125,0.0195,0.009875,0.0421875,0.066020833,0.002208333,0.00125,0.0030625,0.0089375,0.00575,0.0015625,0.018744048
1353,2931,1068,1881,1290,858,2676,3216,348,133,213,459,355,87,36,168,27,1290.846154,1066402.284,1617,1536.75,1057.142857,127.5,31.5,,100,0.0281875,0.0610625,0.02225,0.0391875,0.026875,0.017875,0.05575,0.067,0.00725,0.002770833,0.0044375,0.0095625,0.007395833,0.0018125,0.02510119
1884,3435,1065,2187,1740,858,3459,3216,348,657,267,351,342,75,48,204,48,1523.769231,1385910.639,2035.5,1774.5,1234.285714,139.5,48,,110,0.03925,0.0715625,0.0221875,0.0455625,0.03625,0.017875,0.0720625,0.067,0.00725,0.0136875,0.0055625,0.0073125,0.007125,0.0015625,0.029589286
2316,2082,774,1638,2160,648,3453,3528,447,657,321,351,342,117,39,432,99,1439.769231,1266361.562,1977,1416,1299.857143,274.5,69,,120,0.04825,0.043375,0.016125,0.034125,0.045,0.0135,0.0719375,0.0735,0.0093125,0.0136875,0.0066875,0.0073125,0.007125,0.0024375,0.028026786
1677,1242,753,1602,2445,1470,3453,2571,453,726,303,285,543,174,48,456,174,1347.923077,903153.3018,1639.5,1477.5,1190.571429,315,111,,130,0.0349375,0.025875,0.0156875,0.033375,0.0509375,0.030625,0.0719375,0.0535625,0.0094375,0.015125,0.0063125,0.0059375,0.0113125,0.003625,0.026334821
1332,1110,819,1476,2373,2226,2776,2571,453,861,285,312,543,150,78,261,141,1318.230769,737500.7929,1404,1632,1114.428571,205.5,109.5,,140,0.02775,0.023125,0.0170625,0.03075,0.0494375,0.046375,0.057833333,0.0535625,0.0094375,0.0179375,0.0059375,0.0065,0.0113125,0.003125,0.025724702
1299,846,1026,1020,2169,1290,1809,2115,403,861,324,231,543,57,60,594,144,1072,386775.6923,1159.5,1332.75,898,325.5,102,,150,0.0270625,0.017625,0.021375,0.02125,0.0451875,0.026875,0.0376875,0.0440625,0.008395833,0.0179375,0.00675,0.0048125,0.0113125,0.0011875,0.020822917
1185,1266,753,759,1731,1338,1623,1401,342,775,363,156,529,93,21,654,93,940.0769231,246035.4556,972,1272,741.2857143,373.5,57,,160,0.0246875,0.026375,0.0156875,0.0158125,0.0360625,0.027875,0.0338125,0.0291875,0.007125,0.016145833,0.0075625,0.00325,0.011020833,0.0019375,0.018324405
1005,822,795,546,1596,1278,1050,1401,342,633,385,441,384,96,84,303,123,821.3846154,161440.0828,775.5,1122.75,662.2857143,199.5,103.5,,170,0.0209375,0.017125,0.0165625,0.011375,0.03325,0.026625,0.021875,0.0291875,0.007125,0.0131875,0.008020833,0.0091875,0.008,0.002,0.016032738
888,678,723,651,1338,1050,1485,1222,592,633,408,441,384,279,63,324,141,807.1538462,121238.4379,769.5,947.25,737.8571429,301.5,102,,180,0.0185,0.014125,0.0150625,0.0135625,0.027875,0.021875,0.0309375,0.025458333,0.012333333,0.0131875,0.0085,0.0091875,0.008,0.0058125,0.016029762
1017,705,651,678,1437,1050,1485,903,1395,720,535,463,348,162,9,333,120,875.9230769,131914.5325,847.5,960.75,835.5714286,247.5,64.5,,190,0.0211875,0.0146875,0.0135625,0.014125,0.0299375,0.021875,0.0309375,0.0188125,0.0290625,0.015,0.011145833,0.009645833,0.00725,0.003375,0.017186012
915,465,729,747,840,510,1086,903,1395,1023,663,588,639,288,18,180,60,807.9230769,61844.3787,831,636,899.5714286,234,39,,200,0.0190625,0.0096875,0.0151875,0.0155625,0.0175,0.010625,0.022625,0.0188125,0.0290625,0.0213125,0.0138125,0.01225,0.0133125,0.006,0.016058036
741,537,723,450,1089,510,867,994,1063,1023,595,615,639,366,27,639,99,757.3846154,46791.15976,595.5,714.75,828,502.5,63,,210,0.0154375,0.0111875,0.0150625,0.009375,0.0226875,0.010625,0.0180625,0.020708333,0.022145833,0.0213125,0.012395833,0.0128125,0.0133125,0.007625,0.015196429
