S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
378,597,462,441,159,1014,375,276,579,507,318,276,408,705,0,18,0,0,433,53216,409.5,558,382.6666667,9,0,,170,0.011454545,0.018090909,0.014,0.013363636,0.004818182,0.030727273,0.011363636,0.008363636,0.017545455,0.015363636,0.009636364,0.008363636,0.012363636,0.021363636,0,0.013121212
390,513,324,390,360,573,477,234,579,645,294,211,393,681,0,18,33,0,404.2666667,30767.92889,390,442.5,390.4444444,25.5,0,,180,0.011818182,0.015545455,0.009818182,0.011818182,0.010909091,0.017363636,0.014454545,0.007090909,0.017545455,0.019545455,0.008909091,0.006393939,0.011909091,0.020636364,0,0.012250505
483,597,267,168,387,477,477,414,432,645,294,147,381,330,0,0,33,0,366.6,27617.04,325.5,432,346.6666667,16.5,0,,190,0.014636364,0.018090909,0.008090909,0.005090909,0.011727273,0.014454545,0.014454545,0.012545455,0.013090909,0.019545455,0.008909091,0.004454545,0.011545455,0.01,0,0.011109091
627,510,234,165,273,558,454,414,432,586,244,217,312,447,0,0,9,21,364.8666667,29033.18222,396,393.75,345.1111111,4.5,21,,200,0.019,0.015454545,0.007090909,0.005,0.008272727,0.016909091,0.013757576,0.012545455,0.013090909,0.017757576,0.007393939,0.006575758,0.009454545,0.013545455,0,0.011056566
369,609,231,75,285,462,480,450,364,246,261,288,312,216,0,0,9,39,309.8666667,22760.91556,222,396.75,290.7777778,4.5,39,,210,0.011181818,0.018454545,0.007,0.002272727,0.008636364,0.014,0.014545455,0.013636364,0.011030303,0.007454545,0.007909091,0.008727273,0.009454545,0.006545455,0,0.009389899
357,216,225,156,210,321,300,339,336,306,435,189,331,330,0,0,0,18,270.0666667,10468.46222,256.5,243,285.1111111,0,18,,220,0.010818182,0.006545455,0.006818182,0.004727273,0.006363636,0.009727273,0.009090909,0.010272727,0.010181818,0.009272727,0.013181818,0.005727273,0.010030303,0.01,0,0.008183838
552,207,312,261,204,429,135,363,336,231,228,90,345,456,0,0,0,0,276.6,19623.84,406.5,288,242.6666667,0,0,,230,0.016727273,0.006272727,0.009454545,0.007909091,0.006181818,0.013,0.004090909,0.011,0.010181818,0.007,0.006909091,0.002727273,0.010454545,0.013818182,0,0.008381818
444,204,273,150,225,288,180,267,234,318,165,240,366,315,0,0,0,0,244.6,9965.84,297,247.5,231.6666667,0,0,,240,0.013454545,0.006181818,0.008272727,0.004545455,0.006818182,0.008727273,0.005454545,0.008090909,0.007090909,0.009636364,0.005,0.007272727,0.011090909,0.009545455,0,0.007412121
237,150,246,75,141,231,180,273,150,318,165,390,213,177,0,0,0,0,196.4,8402.24,156,192,207.3333333,0,0,,250,0.007181818,0.004545455,0.007454545,0.002272727,0.004272727,0.007,0.005454545,0.008272727,0.004545455,0.009636364,0.005,0.011818182,0.006454545,0.005363636,0,0.005951515
345,279,174,0,105,312,186,273,150,259,283,393,126,249,0,0,0,0,208.9333333,12788.99556,172.5,217.5,213.2222222,0,0,,260,0.010454545,0.008454545,0.005272727,0,0.003181818,0.009454545,0.005636364,0.008272727,0.004545455,0.007848485,0.008575758,0.011909091,0.003818182,0.007545455,0,0.006331313
291,393,165,9,186,261,99,318,157,237,252,396,126,183,0,18,0,0,204.8666667,13401.71556,150,251.25,196.4444444,9,0,,270,0.008818182,0.011909091,0.005,0.000272727,0.005636364,0.007909091,0.003,0.009636364,0.004757576,0.007181818,0.007636364,0.012,0.003818182,0.005545455,0,0.006208081
123,294,267,105,174,213,144,300,168,117,18,268,184,159,0,18,0,0,168.9333333,7692.062222,114,237,150.8888889,9,0,,280,0.003727273,0.008909091,0.008090909,0.003181818,0.005272727,0.006454545,0.004363636,0.009090909,0.005090909,0.003545455,0.000545455,0.008121212,0.005575758,0.004818182,0,0.005119192
153,270,324,129,96,261,126,195,168,96,63,141,237,279,0,0,0,0,169.2,7668.96,141,237.75,145,0,0,,290,0.004636364,0.008181818,0.009818182,0.003909091,0.002909091,0.007909091,0.003818182,0.005909091,0.005090909,0.002909091,0.001909091,0.004272727,0.007181818,0.008454545,0,0.005127273
246,264,219,93,126,276,99,291,151,72,45,117,132,192,0,0,0,0,154.8666667,7439.182222,169.5,221.25,122.1111111,0,0,,300,0.007454545,0.008,0.006636364,0.002818182,0.003818182,0.008363636,0.003,0.008818182,0.004575758,0.002181818,0.001363636,0.003545455,0.004,0.005818182,0,0.004692929
174,267,171,63,153,276,99,255,93,72,45,93,93,135,0,0,0,0,132.6,6455.04,118.5,216.75,98.33333333,0,0,,310,0.005272727,0.008090909,0.005181818,0.001909091,0.004636364,0.008363636,0.003,0.007727273,0.002818182,0.002181818,0.001363636,0.002818182,0.002818182,0.004090909,0,0.004018182
165,255,171,60,66,219,154,255,93,115,54,103,93,159,0,0,0,0,130.8,5256.56,112.5,177.75,114,0,0,,320,0.005,0.007727273,0.005181818,0.001818182,0.002,0.006636364,0.004666667,0.007727273,0.002818182,0.003484848,0.001636364,0.003121212,0.002818182,0.004818182,0,0.003963636
123,207,132,75,114,147,81,192,145,99,201,114,93,111,0,0,0,0,122.2666667,2667.528889,99,150,115.1111111,0,0,,330,0.003727273,0.006272727,0.004,0.002272727,0.003454545,0.004454545,0.002454545,0.005818182,0.004393939,0.003,0.006090909,0.003454545,0.002818182,0.003363636,0,0.003705051
60,135,141,153,165,159,99,357,48,87,288,87,166,132,0,39,0,0,138.4666667,7509.448889,106.5,150,140.4444444,19.5,0,,340,0.001818182,0.004090909,0.004272727,0.004636364,0.005,0.004818182,0.003,0.010818182,0.001454545,0.002636364,0.008727273,0.002636364,0.005030303,0.004,0,0.00419596
69,207,114,138,78,246,99,603,48,36,105,60,108,201,0,39,0,9,140.8,19505.36,103.5,161.25,140,19.5,9,,350,0.002090909,0.006272727,0.003454545,0.004181818,0.002363636,0.007454545,0.003,0.018272727,0.001454545,0.001090909,0.003181818,0.001818182,0.003272727,0.006090909,0,0.004266667
69,183,57,30,78,120,18,171,49,18,18,91,63,183,0,0,0,9,76.53333333,3558.382222,49.5,109.5,67.88888889,0,9,,360,0.002090909,0.005545455,0.001727273,0.000909091,0.002363636,0.003636364,0.000545455,0.005181818,0.001484848,0.000545455,0.000545455,0.002757576,0.001909091,0.005545455,0,0.002319192
39,126,66,18,141,198,18,129,51,22,18,123,111,150,0,9,0,0,80.66666667,3591.955556,28.5,132.75,69.11111111,4.5,0,,370,0.001181818,0.003818182,0.002,0.000545455,0.004272727,0.006,0.000545455,0.003909091,0.001545455,0.000666667,0.000545455,0.003727273,0.003363636,0.004545455,0,0.002444444
39,84,18,57,102,159,54,129,51,26,18,66,120,30,0,9,0,0,63.53333333,2006.782222,48,90.75,54.88888889,4.5,0,,380,0.001181818,0.002545455,0.000545455,0.001727273,0.003090909,0.004818182,0.001636364,0.003909091,0.001545455,0.000787879,0.000545455,0.002,0.003636364,0.000909091,0,0.001925253
90,57,39,18,27,39,54,120,60,30,39,9,120,69,0,0,0,0,51.4,1226.24,54,40.5,55.66666667,0,0,,390,0.002727273,0.001727273,0.001181818,0.000545455,0.000818182,0.001181818,0.001636364,0.003636364,0.001818182,0.000909091,0.001181818,0.000272727,0.003636364,0.002090909,0,0.001557576
