S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
576,186,714,525,525,1350,226,225,534,564,487,588,285,447,48,36,0,0,485.3333333,85859.68889,550.5,693.75,378.2222222,18,0,,160,0.009,0.00290625,0.01115625,0.008203125,0.008203125,0.02109375,0.00353125,0.003515625,0.00834375,0.0088125,0.007609375,0.0091875,0.004453125,0.006984375,0.00075,0.007583333
561,132,816,258,627,1110,180,237,561,438,255,486,285,450,75,54,0,0,431.4,72260.64,409.5,671.25,329.6666667,27,0,,170,0.008765625,0.0020625,0.01275,0.00403125,0.009796875,0.01734375,0.0028125,0.003703125,0.008765625,0.00684375,0.003984375,0.00759375,0.004453125,0.00703125,0.001171875,0.006740625
681,93,507,402,417,1434,363,192,768,471,297,384,217,384,84,27,0,0,446.2666667,103437.5289,541.5,612.75,351.1111111,13.5,0,,180,0.010640625,0.001453125,0.007921875,0.00628125,0.006515625,0.02240625,0.005671875,0.003,0.012,0.007359375,0.004640625,0.006,0.003390625,0.006,0.0013125,0.006972917
462,111,699,399,378,1074,237,288,768,459,411,334,255,621,18,96,0,0,434.2666667,67479.92889,430.5,565.5,376.7777778,48,0,,190,0.00721875,0.001734375,0.010921875,0.006234375,0.00590625,0.01678125,0.003703125,0.0045,0.012,0.007171875,0.006421875,0.00521875,0.003984375,0.009703125,0.00028125,0.006785417
399,207,567,204,543,858,378,213,577,459,435,285,342,678,42,114,0,0,412.4666667,41664.11556,301.5,543.75,378.7777778,57,0,,200,0.006234375,0.003234375,0.008859375,0.0031875,0.008484375,0.01340625,0.00590625,0.003328125,0.009015625,0.007171875,0.006796875,0.004453125,0.00534375,0.01059375,0.00065625,0.006444792
375,294,687,186,525,666,378,234,489,393,435,391,357,519,42,9,0,0,398.0666667,27189.39556,280.5,543,359.7777778,4.5,0,,210,0.005859375,0.00459375,0.010734375,0.00290625,0.008203125,0.01040625,0.00590625,0.00365625,0.007640625,0.006140625,0.006796875,0.006109375,0.005578125,0.008109375,0.00065625,0.006219792
714,282,528,312,546,642,361,234,489,321,394,498,372,330,51,63,0,0,404.9333333,26435.12889,513,499.5,338.8888889,31.5,0,,220,0.01115625,0.00440625,0.00825,0.004875,0.00853125,0.01003125,0.005640625,0.00365625,0.007640625,0.005015625,0.00615625,0.00778125,0.0058125,0.00515625,0.000796875,0.006327083
762,444,237,522,672,546,348,255,388,387,216,360,372,414,129,72,0,0,403.4666667,26898.11556,642,474.75,318.7777778,36,0,,230,0.01190625,0.0069375,0.003703125,0.00815625,0.0105,0.00853125,0.0054375,0.003984375,0.0060625,0.006046875,0.003375,0.005625,0.0058125,0.00646875,0.002015625,0.006304167
702,231,246,381,492,750,339,339,255,456,249,222,513,456,21,93,0,0,376.8,34157.76,541.5,429.75,316.6666667,46.5,0,,240,0.01096875,0.003609375,0.00384375,0.005953125,0.0076875,0.01171875,0.005296875,0.005296875,0.003984375,0.007125,0.003890625,0.00346875,0.008015625,0.007125,0.000328125,0.0058875
801,252,480,201,222,834,312,225,255,459,381,159,654,297,33,66,0,0,371,51150.8,501,447,308.3333333,33,0,,250,0.012515625,0.0039375,0.0075,0.003140625,0.00346875,0.01303125,0.004875,0.003515625,0.003984375,0.007171875,0.005953125,0.002484375,0.01021875,0.004640625,0.000515625,0.005796875
564,324,420,390,402,489,483,144,309,459,414,96,324,321,63,9,0,0,346.8,20068.56,477,408.75,290.3333333,4.5,0,,260,0.0088125,0.0050625,0.0065625,0.00609375,0.00628125,0.007640625,0.007546875,0.00225,0.004828125,0.007171875,0.00646875,0.0015,0.0050625,0.005015625,0.000984375,0.00541875
600,369,399,243,492,348,483,174,189,336,414,148,294,342,138,126,0,0,331.2666667,17296.06222,421.5,402,279.7777778,63,0,,270,0.009375,0.005765625,0.006234375,0.003796875,0.0076875,0.0054375,0.007546875,0.00271875,0.002953125,0.00525,0.00646875,0.0023125,0.00459375,0.00534375,0.00215625,0.005176042
600,444,291,48,213,264,396,174,189,261,417,201,213,441,72,162,0,0,281.6,21331.04,324,303,262.6666667,81,0,,280,0.009375,0.0069375,0.004546875,0.00075,0.003328125,0.004125,0.0061875,0.00271875,0.002953125,0.004078125,0.006515625,0.003140625,0.003328125,0.006890625,0.001125,0.0044
423,666,387,201,384,321,282,235,235,159,366,178,213,459,57,45,0,0,304.4,20897.04,312,439.5,242.6666667,22.5,0,,290,0.006609375,0.01040625,0.006046875,0.003140625,0.006,0.005015625,0.00440625,0.003671875,0.003671875,0.002484375,0.00571875,0.00278125,0.003328125,0.007171875,0.000890625,0.00475625
615,537,372,243,471,354,162,405,177,174,240,156,256,510,45,18,0,0,314.4666667,25954.38222,429,433.5,236.1111111,9,0,,300,0.009609375,0.008390625,0.0058125,0.003796875,0.007359375,0.00553125,0.00253125,0.006328125,0.002765625,0.00271875,0.00375,0.0024375,0.004,0.00796875,0.000703125,0.004913542
312,330,438,90,327,372,210,318,177,288,192,129,255,351,99,57,0,0,259.2,10317.36,201,366.75,224.3333333,28.5,0,,310,0.004875,0.00515625,0.00684375,0.00140625,0.005109375,0.0058125,0.00328125,0.00496875,0.002765625,0.0045,0.003,0.002015625,0.003984375,0.005484375,0.001546875,0.00405
345,114,522,69,216,387,330,264,184,288,192,102,237,321,291,117,0,0,257.4666667,13193.98222,207,309.75,245.4444444,58.5,0,,320,0.005390625,0.00178125,0.00815625,0.001078125,0.003375,0.006046875,0.00515625,0.004125,0.002875,0.0045,0.003,0.00159375,0.003703125,0.005015625,0.004546875,0.004022917
321,123,531,90,189,546,330,243,213,321,192,147,264,444,102,39,0,0,270.4,19826.24,205.5,347.25,250.6666667,19.5,0,,330,0.005015625,0.001921875,0.008296875,0.00140625,0.002953125,0.00853125,0.00515625,0.003796875,0.003328125,0.005015625,0.003,0.002296875,0.004125,0.0069375,0.00159375,0.004225
549,255,420,96,120,438,393,243,213,333,183,192,204,375,102,9,0,0,274.4,17440.64,322.5,308.25,248.6666667,4.5,0,,340,0.008578125,0.003984375,0.0065625,0.0015,0.001875,0.00684375,0.006140625,0.003796875,0.003328125,0.005203125,0.002859375,0.003,0.0031875,0.005859375,0.00159375,0.0042875
459,222,318,159,306,252,237,294,232,258,126,225,204,264,69,9,0,21,241.6666667,7535.688889,309,274.5,212.1111111,4.5,21,,350,0.007171875,0.00346875,0.00496875,0.002484375,0.00478125,0.0039375,0.003703125,0.00459375,0.003625,0.00403125,0.00196875,0.003515625,0.0031875,0.004125,0.001078125,0.003776042
384,459,276,183,231,582,189,573,318,264,153,258,277,285,57,60,0,0,299.2666667,20168.32889,283.5,387,263.7777778,30,0,,360,0.006,0.007171875,0.0043125,0.002859375,0.003609375,0.00909375,0.002953125,0.008953125,0.00496875,0.004125,0.002390625,0.00403125,0.004328125,0.004453125,0.000890625,0.004676042
474,372,192,75,288,390,282,396,318,261,255,193,390,342,18,60,0,0,283.0666667,14395.92889,274.5,310.5,272.7777778,30,0,,370,0.00740625,0.0058125,0.003,0.001171875,0.0045,0.00609375,0.00440625,0.0061875,0.00496875,0.004078125,0.003984375,0.003015625,0.00609375,0.00534375,0.00028125,0.004422917
453,183,183,60,195,180,318,339,235,261,183,129,339,297,72,57,0,0,228.4666667,10739.44889,256.5,185.25,241.4444444,28.5,0,,380,0.007078125,0.002859375,0.002859375,0.0009375,0.003046875,0.0028125,0.00496875,0.005296875,0.003671875,0.004078125,0.002859375,0.002015625,0.005296875,0.004640625,0.001125,0.003569792
339,228,279,120,267,186,318,234,204,229,183,121,111,297,81,75,0,0,213.1333333,5920.115556,229.5,240,197.5555556,37.5,0,,390,0.005296875,0.0035625,0.004359375,0.001875,0.004171875,0.00290625,0.00496875,0.00365625,0.0031875,0.003578125,0.002859375,0.001890625,0.001734375,0.004640625,0.001265625,0.003330208
318,300,168,120,297,210,258,234,204,405,118,114,153,297,60,75,0,9,217.0666667,8559.128889,219,243.75,204.7777778,37.5,9,,400,0.00496875,0.0046875,0.002625,0.001875,0.004640625,0.00328125,0.00403125,0.00365625,0.0031875,0.006328125,0.00184375,0.00178125,0.002390625,0.004640625,0.0009375,0.003391667
312,252,267,87,228,291,180,156,177,216,87,172,153,261,39,147,0,9,191.8666667,5940.248889,199.5,259.5,160.1111111,73.5,9,,410,0.004875,0.0039375,0.004171875,0.001359375,0.0035625,0.004546875,0.0028125,0.0024375,0.002765625,0.003375,0.001359375,0.0026875,0.002390625,0.004078125,0.000609375,0.002997917
