S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,Time,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,
30,36,105,81,108,105,76,99,99,75,0,111,99,132,42,54,69,78.76923077,1148.946746,55.5,88.5,79.85714286,93,55.5,,,0.001714286,0.002057143,0.006,0.004628571,0.006171429,0.006,0.004342857,0.005657143,0.005657143,0.004285714,0,0.006342857,0.005657143,0.007542857,
78,39,69,126,150,18,81,69,99,75,0,75,99,27,0,57,90,75.23076923,1512.639053,102,69,71.14285714,42,45,,,0.004457143,0.002228571,0.003942857,0.0072,0.008571429,0.001028571,0.004628571,0.003942857,0.005657143,0.004285714,0,0.004285714,0.005657143,0.001542857,
117,39,48,105,60,39,36,9,85,115,0,54,94,9,9,69,111,61.61538462,1375.775148,111,46.5,56.14285714,39,60,,,0.006685714,0.002228571,0.002742857,0.006,0.003428571,0.002228571,0.002057143,0.000514286,0.004857143,0.006571429,0,0.003085714,0.005371429,0.000514286,
87,36,66,54,18,201,81,9,69,48,0,81,222,39,39,60,39,74.76923077,4133.715976,70.5,80.25,72.85714286,49.5,39,,,0.004971429,0.002057143,0.003771429,0.003085714,0.001028571,0.011485714,0.004628571,0.000514286,0.003942857,0.002742857,0,0.004628571,0.012685714,0.002228571,
99,57,57,0,84,48,90,39,69,48,0,81,222,9,96,42,39,68.76923077,2823.869822,49.5,61.5,78.42857143,25.5,67.5,,,0.005657143,0.003257143,0.003257143,0,0.0048,0.002742857,0.005142857,0.002228571,0.003942857,0.002742857,0,0.004628571,0.012685714,0.000514286,
48,27,66,30,105,27,90,51,69,64,0,63,157,129,96,54,48,61.30769231,1488.982249,39,56.25,70.57142857,91.5,72,,,0.002742857,0.001542857,0.003771429,0.001714286,0.006,0.001542857,0.005142857,0.002914286,0.003942857,0.003657143,0,0.0036,0.008971429,0.007371429,
27,30,27,39,78,18,81,51,111,72,0,45,111,183,114,144,18,53.07692308,1128.994083,33,38.25,67.28571429,163.5,66,,,0.001542857,0.001714286,0.001542857,0.002228571,0.004457143,0.001028571,0.004628571,0.002914286,0.006342857,0.004114286,0,0.002571429,0.006342857,0.010457143,
111,57,75,60,96,33,108,45,111,72,0,54,111,75,93,132,48,71.76923077,1120.792899,85.5,65.25,71.57142857,103.5,70.5,,,0.006342857,0.003257143,0.004285714,0.003428571,0.005485714,0.001885714,0.006171429,0.002571429,0.006342857,0.004114286,0,0.003085714,0.006342857,0.004285714,
69,93,75,51,75,168,72,69,94,60,0,99,96,96,9,57,81,78.53846154,1284.248521,60,102.75,70,76.5,45,,0,0.003942857,0.005314286,0.004285714,0.002914286,0.004285714,0.0096,0.004114286,0.003942857,0.005371429,0.003428571,0,0.005657143,0.005485714,0.005485714,
168,120,27,69,54,672,117,69,105,30,0,63,102,150,18,39,81,122.7692308,27032.48521,118.5,218.25,69.42857143,94.5,49.5,,10,0.0096,0.006857143,0.001542857,0.003942857,0.003085714,0.0384,0.006685714,0.003942857,0.006,0.001714286,0,0.0036,0.005828571,0.008571429,
