S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4.5,0,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,4.5,9,,,,,,,,,,,,,,,,,,
0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,126,22.5,0,0,0,9,,,,,,,,,,,,,,,,,,
0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,126,22.5,0,0,0,9,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,30,0.6,5.04,4.5,0,0,4.5,30,,,,,,,,,,,,,,,,,,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.6,5.04,4.5,0,0,0,30,,0,0.000375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,1830,0,82,0,0,0,0,0,9,0,0,0,0,128.0666667,207312.5956,0,457.5,10.11111111,0,0,,10,0,0,0,0,0,0.07625,0,0.003416667,0,0,0,0,0,0.000375,0,
9,0,3396,0,0,13026,9,234,18,0,0,52,0,9,0,0,0,0,1116.866667,10837110.12,4.5,4105.5,35.77777778,0,0,,20,0.000375,0,0.1415,0,0,0.54275,0.000375,0.00975,0.00075,0,0,0.002166667,0,0.000375,0,
5193,0,219,111,0,12582,81,159,18,0,0,105,78,66,0,30,0,21,1240.8,10819607.76,2652,3200.25,56.33333333,15,21,,30,0.216375,0,0.009125,0.004625,0,0.52425,0.003375,0.006625,0.00075,0,0,0.004375,0.00325,0.00275,0,
1950,0,348,1980,45,5142,234,570,25,108,0,181,300,123,9,30,0,21,734.3333333,1781828.489,1965,1383.75,172.2222222,15,21,,40,0.08125,0,0.0145,0.0825,0.001875,0.21425,0.00975,0.02375,0.001041667,0.0045,0,0.007541667,0.0125,0.005125,0.000375,
909,45,261,966,84,24282,234,507,78,283,0,258,432,1173,27,0,0,0,1969.266667,35687321.26,937.5,6168,332.4444444,0,0,,50,0.037875,0.001875,0.010875,0.04025,0.0035,1.01175,0.00975,0.021125,0.00325,0.011791667,0,0.01075,0.018,0.048875,0.001125,
873,111,378,885,66,17358,361,507,78,458,15,249,327,783,45,0,0,0,1499.6,18044037.57,879,4478.25,313.6666667,0,0,,60,0.036375,0.004625,0.01575,0.036875,0.00275,0.72325,0.015041667,0.021125,0.00325,0.019083333,0.000625,0.010375,0.013625,0.032625,0.001875,
921,165,588,1578,891,1734,609,729,97,306,210,240,327,912,57,0,9,0,624.2666667,247685.7956,1249.5,844.5,387.4444444,4.5,0,,70,0.038375,0.006875,0.0245,0.06575,0.037125,0.07225,0.025375,0.030375,0.004041667,0.01275,0.00875,0.01,0.013625,0.038,0.002375,0.026011111
744,237,807,1137,606,654,774,591,129,240,162,238,732,621,72,18,18,0,516.2666667,92189.39556,940.5,576,395.4444444,18,0,,80,0.031,0.009875,0.033625,0.047375,0.02525,0.02725,0.03225,0.024625,0.005375,0.01,0.00675,0.009916667,0.0305,0.025875,0.003,0.021511111
789,1422,714,1203,582,486,429,540,129,150,144,237,1182,333,180,51,180,0,568,164618,996,801,369.3333333,115.5,0,,90,0.032875,0.05925,0.02975,0.050125,0.02425,0.02025,0.017875,0.0225,0.005375,0.00625,0.006,0.009875,0.04925,0.013875,0.0075,0.023666667
744,1062,690,840,453,300,486,480,129,147,210,192,978,360,168,189,282,9,482.6,90991.04,792,626.25,350,235.5,9,,100,0.031,0.04425,0.02875,0.035,0.018875,0.0125,0.02025,0.02,0.005375,0.006125,0.00875,0.008,0.04075,0.015,0.007,0.020108333
504,1146,510,981,735,234,486,444,96,132,210,147,642,462,156,294,156,51,459,93345.6,742.5,656.25,308.3333333,225,51,,110,0.021,0.04775,0.02125,0.040875,0.030625,0.00975,0.02025,0.0185,0.004,0.0055,0.00875,0.006125,0.02675,0.01925,0.0065,0.019125
504,882,786,498,591,168,489,444,96,117,234,247,441,402,282,378,45,42,412.0666667,49253.12889,501,606.75,305.7777778,211.5,42,,120,0.021,0.03675,0.03275,0.02075,0.024625,0.007,0.020375,0.0185,0.004,0.004875,0.00975,0.010291667,0.018375,0.01675,0.01175,0.017169444
561,1086,438,324,378,210,300,465,171,78,195,348,441,444,438,303,0,0,391.8,50630.16,442.5,528,320,151.5,0,,130,0.023375,0.04525,0.01825,0.0135,0.01575,0.00875,0.0125,0.019375,0.007125,0.00325,0.008125,0.0145,0.018375,0.0185,0.01825,0.016325
300,594,408,522,303,183,207,465,243,135,255,214,453,201,402,321,9,30,325.6666667,18038.88889,411,372,286.1111111,165,30,,140,0.0125,0.02475,0.017,0.02175,0.012625,0.007625,0.008625,0.019375,0.010125,0.005625,0.010625,0.008916667,0.018875,0.008375,0.01675,0.013569444
291,438,231,498,465,219,216,315,243,168,186,81,369,342,438,375,69,39,300,14090.4,394.5,338.25,262,222,39,,150,0.012125,0.01825,0.009625,0.02075,0.019375,0.009125,0.009,0.013125,0.010125,0.007,0.00775,0.003375,0.015375,0.01425,0.01825,0.0125
411,762,192,513,411,294,294,168,136,168,168,141,399,306,381,693,261,0,316.2666667,27471.26222,462,414.75,240.1111111,477,0,,160,0.017125,0.03175,0.008,0.021375,0.017125,0.01225,0.01225,0.007,0.005666667,0.007,0.007,0.005875,0.016625,0.01275,0.015875,0.013177778
384,432,309,162,264,312,294,141,81,153,168,201,351,237,252,540,204,9,249.4,9175.04,273,329.25,208.6666667,372,9,,170,0.016,0.018,0.012875,0.00675,0.011,0.013,0.01225,0.005875,0.003375,0.006375,0.007,0.008375,0.014625,0.009875,0.0105,0.010391667
417,396,414,114,231,129,252,141,81,117,193,172,195,282,456,387,51,69,239.3333333,14789.68889,265.5,292.5,209.8888889,219,69,,180,0.017375,0.0165,0.01725,0.00475,0.009625,0.005375,0.0105,0.005875,0.003375,0.004875,0.008041667,0.007166667,0.008125,0.01175,0.019,0.009972222
342,315,333,111,231,27,276,135,214,150,210,144,195,270,345,144,75,69,219.8666667,8390.115556,226.5,226.5,215.4444444,109.5,69,,190,0.01425,0.013125,0.013875,0.004625,0.009625,0.001125,0.0115,0.005625,0.008916667,0.00625,0.00875,0.006,0.008125,0.01125,0.014375,0.009161111
396,78,138,240,222,69,165,132,126,261,126,130,163,306,165,108,138,57,181.1333333,7353.448889,318,126.75,174.8888889,123,57,,200,0.0165,0.00325,0.00575,0.01,0.00925,0.002875,0.006875,0.0055,0.00525,0.010875,0.00525,0.005416667,0.006791667,0.01275,0.006875,0.007547222
246,93,201,207,231,63,117,162,126,294,81,117,120,342,231,210,189,18,175.4,6365.84,226.5,147,176.6666667,199.5,18,,210,0.01025,0.003875,0.008375,0.008625,0.009625,0.002625,0.004875,0.00675,0.00525,0.01225,0.003375,0.004875,0.005,0.01425,0.009625,0.007308333
138,159,186,195,144,120,144,111,106,57,171,129,63,288,183,231,138,0,146.2666667,2999.928889,166.5,152.25,139.1111111,184.5,0,,220,0.00575,0.006625,0.00775,0.008125,0.006,0.005,0.006,0.004625,0.004416667,0.002375,0.007125,0.005375,0.002625,0.012,0.007625,0.006094444
279,243,96,117,168,138,144,27,99,54,171,141,159,222,183,114,168,18,149.4,4241.04,198,161.25,133.3333333,141,18,,230,0.011625,0.010125,0.004,0.004875,0.007,0.00575,0.006,0.001125,0.004125,0.00225,0.007125,0.005875,0.006625,0.00925,0.007625,0.006225
249,330,126,39,174,207,112,27,99,51,150,102,177,96,114,96,294,18,136.8666667,6170.382222,144,209.25,103.1111111,195,18,,240,0.010375,0.01375,0.00525,0.001625,0.00725,0.008625,0.004666667,0.001125,0.004125,0.002125,0.00625,0.00425,0.007375,0.004,0.00475,0.005702778
141,495,276,81,114,120,108,58,79,51,162,63,177,81,93,186,411,18,139.9333333,12129.39556,111,251.25,96.88888889,298.5,18,,250,0.005875,0.020625,0.0115,0.003375,0.00475,0.005,0.0045,0.002416667,0.003291667,0.002125,0.00675,0.002625,0.007375,0.003375,0.003875,0.005830556
180,318,246,270,123,9,54,162,48,60,150,100,111,231,126,183,150,72,145.8666667,7474.382222,225,174,115.7777778,166.5,72,,260,0.0075,0.01325,0.01025,0.01125,0.005125,0.000375,0.00225,0.00675,0.002,0.0025,0.00625,0.004166667,0.004625,0.009625,0.00525,0.006077778
192,63,72,267,63,42,45,102,48,81,9,138,36,219,150,75,75,75,101.8,5317.76,229.5,60,92,75,75,,270,0.008,0.002625,0.003,0.011125,0.002625,0.00175,0.001875,0.00425,0.002,0.003375,0.000375,0.00575,0.0015,0.009125,0.00625,0.004241667
162,51,45,165,105,102,258,78,51,81,27,123,27,171,171,63,267,21,107.8,4139.36,163.5,75.75,109.6666667,165,21,,280,0.00675,0.002125,0.001875,0.006875,0.004375,0.00425,0.01075,0.00325,0.002125,0.003375,0.001125,0.005125,0.001125,0.007125,0.007125,0.004491667
99,36,174,102,129,63,258,66,72,99,27,108,54,309,36,228,180,39,108.8,6187.76,100.5,100.5,114.3333333,204,39,,290,0.004125,0.0015,0.00725,0.00425,0.005375,0.002625,0.01075,0.00275,0.003,0.004125,0.001125,0.0045,0.00225,0.012875,0.0015,0.004533333
132,87,234,66,75,18,129,66,72,96,43,102,126,201,72,348,30,87,101.2666667,3022.728889,99,103.5,100.7777778,189,87,,300,0.0055,0.003625,0.00975,0.00275,0.003125,0.00075,0.005375,0.00275,0.003,0.004,0.001791667,0.00425,0.00525,0.008375,0.003,0.004219444
189,144,144,39,87,45,9,87,40,21,39,96,126,144,93,186,30,57,86.86666667,2720.648889,114,105,72.77777778,108,57,,310,0.007875,0.006,0.006,0.001625,0.003625,0.001875,0.000375,0.003625,0.001666667,0.000875,0.001625,0.004,0.00525,0.006,0.003875,0.003619444
