S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,Time,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,
93,81,99,63,0,51,81,120,87,76,0,58,85,9,27,48,327,68.76923077,1153.56213,78,57.75,72.42857143,28.5,177,,,0.0186,0.0162,0.0198,0.0126,0,0.0102,0.0162,0.024,0.0174,0.0152,0,0.0116,0.017,0.0018,
111,66,87,78,0,99,99,120,108,102,0,54,72,39,27,36,168,76.61538462,1399.313609,94.5,63,79.28571429,37.5,97.5,,,0.0222,0.0132,0.0174,0.0156,0,0.0198,0.0198,0.024,0.0216,0.0204,0,0.0108,0.0144,0.0078,
165,66,84,57,0,78,45,88,108,102,0,36,72,60,45,72,147,69.30769231,1833.905325,111,57,64.42857143,66,96,,,0.033,0.0132,0.0168,0.0114,0,0.0156,0.009,0.0176,0.0216,0.0204,0,0.0072,0.0144,0.012,
72,93,81,129,0,60,27,39,120,108,0,54,103,30,87,54,57,68.15384615,1699.207101,100.5,58.5,64.42857143,42,72,,,0.0144,0.0186,0.0162,0.0258,0,0.012,0.0054,0.0078,0.024,0.0216,0,0.0108,0.0206,0.006,
102,75,93,108,0,18,81,39,90,60,0,111,90,51,126,42,111,66.69230769,1465.136095,105,46.5,67.28571429,46.5,118.5,,,0.0204,0.015,0.0186,0.0216,0,0.0036,0.0162,0.0078,0.018,0.012,0,0.0222,0.018,0.0102,
81,72,123,39,0,9,81,52,90,60,0,111,90,48,90,60,129,62.15384615,1510.899408,60,51,69.14285714,54,109.5,,,0.0162,0.0144,0.0246,0.0078,0,0.0018,0.0162,0.0104,0.018,0.012,0,0.0222,0.018,0.0096,
111,78,75,9,0,30,81,48,160,45,0,82,99,36,99,30,96,62.92307692,2042.686391,60,45.75,73.57142857,33,97.5,,,0.0222,0.0156,0.015,0.0018,0,0.006,0.0162,0.0096,0.032,0.009,0,0.0164,0.0198,0.0072,
69,66,105,51,0,84,85,48,99,21,0,36,108,72,42,42,27,59.38461538,1283.467456,60,63.75,56.71428571,57,34.5,,0,0.0138,0.0132,0.021,0.0102,0,0.0168,0.017,0.0096,0.0198,0.0042,0,0.0072,0.0216,0.0144,
93,102,144,69,0,5112,63,112,99,21,0,45,108,84,21,30,57,459.0769231,1805982.071,81,1339.5,64,57,39,,10,0.0186,0.0204,0.0288,0.0138,0,1.0224,0.0126,0.0224,0.0198,0.0042,0,0.009,0.0216,0.0168,
165,105,57,78,0,3618,117,123,84,40,0,27,136,63,21,54,48,350,892438.9231,121.5,945,75.28571429,58.5,34.5,,20,0.033,0.021,0.0114,0.0156,0,0.7236,0.0234,0.0246,0.0168,0.008,0,0.0054,0.0272,0.0126,
