S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,Time,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,
102,117,84,36,63,225,90,228,193,126,108,99,108,105,126,168,30,121.4615385,3199.171598,69,122.25,136,136.5,78,,,0.0102,0.0117,0.0084,0.0036,0.0063,0.0225,0.009,0.0228,0.0193,0.0126,0.0108,0.0099,0.0108,0.0105,
132,96,144,72,27,243,90,228,126,126,108,85,99,66,81,48,63,121.2307692,3215.715976,102,127.5,123.1428571,57,72,,,0.0132,0.0096,0.0144,0.0072,0.0027,0.0243,0.009,0.0228,0.0126,0.0126,0.0108,0.0085,0.0099,0.0066,
120,201,75,75,45,153,103,193,126,109,108,63,63,120,48,72,72,110.3076923,2193.905325,97.5,118.5,109.2857143,96,60,,,0.012,0.0201,0.0075,0.0075,0.0045,0.0153,0.0103,0.0193,0.0126,0.0109,0.0108,0.0063,0.0063,0.012,
78,270,186,84,105,153,135,158,154,105,123,90,63,90,90,9,90,131.0769231,2834.071006,81,178.5,118.2857143,49.5,90,,,0.0078,0.027,0.0186,0.0084,0.0105,0.0153,0.0135,0.0158,0.0154,0.0105,0.0123,0.009,0.0063,0.009,
144,75,144,51,96,204,153,111,135,105,138,72,76,111,60,42,144,115.6923077,1654.828402,97.5,129.75,112.8571429,76.5,102,,,0.0144,0.0075,0.0144,0.0051,0.0096,0.0204,0.0153,0.0111,0.0135,0.0105,0.0138,0.0072,0.0076,0.0111,
153,21,279,36,102,126,108,27,135,102,117,102,90,111,18,42,78,107.5384615,4011.017751,94.5,132,97.28571429,76.5,48,,,0.0153,0.0021,0.0279,0.0036,0.0102,0.0126,0.0108,0.0027,0.0135,0.0102,0.0117,0.0102,0.009,0.0111,
186,39,351,84,84,114,63,27,174,51,96,102,90,171,60,63,48,112.3846154,6732.852071,135,147,86.14285714,117,54,,,0.0186,0.0039,0.0351,0.0084,0.0084,0.0114,0.0063,0.0027,0.0174,0.0051,0.0096,0.0102,0.009,0.0171,
186,69,153,60,114,171,63,27,81,51,106,96,67,195,72,138,51,95.69230769,2181.751479,123,126.75,70.14285714,166.5,61.5,,,0.0186,0.0069,0.0153,0.006,0.0114,0.0171,0.0063,0.0027,0.0081,0.0051,0.0106,0.0096,0.0067,0.0195,
192,60,111,111,72,171,63,75,81,94,117,63,36,213,21,96,30,95.84615385,1850.130178,151.5,103.5,75.57142857,154.5,25.5,,0,0.0192,0.006,0.0111,0.0111,0.0072,0.0171,0.0063,0.0075,0.0081,0.0094,0.0117,0.0063,0.0036,0.0213,
261,159,147,102,84,120,126,309,69,81,117,111,36,135,84,105,0,132.4615385,5289.017751,181.5,127.5,121.2857143,120,42,,10,0.0261,0.0159,0.0147,0.0102,0.0084,0.012,0.0126,0.0309,0.0069,0.0081,0.0117,0.0111,0.0036,0.0135,
3357,228,144,954,312,93,225,309,9,81,117,171,72,60,69,114,51,467.0769231,747926.8402,2155.5,194.25,140.5714286,87,60,,20,0.3357,0.0228,0.0144,0.0954,0.0312,0.0093,0.0225,0.0309,0.0009,0.0081,0.0117,0.0171,0.0072,0.006,
5460,453,195,1581,891,87,372,312,9,66,76,153,135,99,30,141,123,753.0769231,2020830.533,3520.5,406.5,160.4285714,120,76.5,,30,0.546,0.0453,0.0195,0.1581,0.0891,0.0087,0.0372,0.0312,0.0009,0.0066,0.0076,0.0153,0.0135,0.0099,
3636,630,498,10251,4743,159,447,225,66,48,36,153,135,36,63,129,123,1617.461538,8289183.941,6943.5,1507.5,158.5714286,82.5,93,,40,0.3636,0.063,0.0498,1.0251,0.4743,0.0159,0.0447,0.0225,0.0066,0.0048,0.0036,0.0153,0.0135,0.0036,
3576,741,642,4377,1668,315,447,225,150,48,57,150,117,105,51,81,69,962.5384615,1850694.71,3976.5,841.5,170.5714286,93,60,,50,0.3576,0.0741,0.0642,0.4377,0.1668,0.0315,0.0447,0.0225,0.015,0.0048,0.0057,0.015,0.0117,0.0105,
