c,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 4,Zone 3
547,404,474,434,359,585,536,529,683.3333333,760,0,420.3333333,414,94,62,96,96,472.7435897,50363.09665,512.4666667,511.9047619,0,87
615,237,414,458,355,580,495,507.3333333,557,707,0,419,391,98,51,45,88,441.1794872,50475.1716,504.6,458.9047619,0,70.5
466,405,412,419,218,515,411,438,539.3333333,630.3333333,0,389,449.3333333,110,49,54,97,407.0769231,35170.26036,438.6,442.7142857,0,77.5
363,393,277,387,249,499,341,441,502,568,0,385,573.3333333,37,44,41,94,382.9487179,33028.01183,373,444.7619048,0,54
330,348,290,543,301,480,350,392.3333333,513,553,0,380,582,52,24,35,65,389.4102564,31855.08876,366,461.7619048,0,44
375,482,295,404,169,346,380,360.3333333,499.6666667,544,0,326,502.3333333,58,32,67,59,360.2564103,30781.29783,344.4,423.047619,0,54
362,419,215,384,192,282,321,331,366.3333333,456,0,408,316.3333333,60,40,90,66,311.7435897,22808.37475,317.6,352.0952381,0,64
295,302,241,278,212,323,262,330.3333333,300,426,0,296,258,45,41,22,66,271.025641,14249.59763,283.4,300.9047619,0,43.5
207,168,310,212,219,286,254,391,287.6666667,363.3333333,0,307,255.3333333,62,64,34,39,250.7948718,13996.03945,272.8,270.9047619,0,49.75
239,254,334,181,150,245,296,368,479.3333333,259.3333333,0,300,249.3333333,34,82,55,80,258.0769231,17855.11243,282.8,277.2857143,0,62.75
280,321,310,188,163,284,281,292,464,258,0,264,362,39,88,40,101,266.6923077,20453.60947,283.8,292.5714286,0,67
320,283,308,207,289,301,300,218,562.3333333,302.3333333,0,236.6666667,370.6666667,89,74,37,69,284.4615385,33739.97239,293.1333333,318.9047619,0,67.25
302,245,222,237,207,242,302.3333333,241,439.3333333,410,0,210.3333333,229,49,65,68,56,252.8461538,26510.93097,255.7333333,286.9047619,0,59.5
272,229,243,233,143,249,285.3333333,214.3333333,413,432,0,132,206,35,58,98,55,234.7435897,26066.89941,236.2666667,267.1904762,0,61.5
301,298,249,253,131,216,243,239.3333333,358,364.3333333,0,227,275.6666667,46,68,61,108,242.7179487,16548.43393,247.2,274.1904762,0,70.75
216,305,194,210,71,209,299,235,359.3333333,308.3333333,0,205,280.3333333,42,84,64,75,222.4615385,13551.53846,224.6,252.7142857,0,66.25
182,167,167,186,41,179,301,222.3333333,472,256,0,177,250,41,68,105,77,200.025641,17681.10059,201.2,227.7619048,0,72.75
227,153,136,120,53,154,239,199,416.6666667,241.3333333,0,169,220.3333333,31,59,109,67,179.1025641,15525.80276,185,200.4761905,0,66.5
181,159,176,124,44,146,205.3333333,176,291.3333333,182.3333333,0,166.3333333,195.3333333,41,63,78,80,157.4358974,10538.7574,174.9333333,167.4285714,0,65.5
179,148,178,216,35,158,200,173.6666667,245,176,0,170,186,43,57,68,76,158.8205128,9062.745562,177,168.5238095,0,61
181,168,128,206,92,120,165,150.3333333,259.6666667,155.6666667,0,165,165.6666667,70,40,99,86,150.4871795,6263.136095,151.8,171.047619,0,73.75
202,186,108,221,106,113,222,151,182,110,0,209,162,53,63,113,72,151.6923077,6979.56213,170.8,159.7142857,0,75.25
147,218,105,111,149,199,176,175.3333333,118,99,0,178,170,24,55,76,77,141.9487179,6090.213018,161,148.6190476,0,58
129,112,97,81,180,145,161,165,150.3333333,117.3333333,0,183.3333333,166.6666667,36,46,61,80,129.8205128,5980.852071,143.0666667,138.9047619,0,55.75
95,99,127,92,71,115,134.3333333,163,202.3333333,137.3333333,0,123.3333333,109,33,49,60,95,112.9487179,4546.863905,118.9333333,124.8095238,0,59.25
