S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
276.0,341.25,410.25,327.0,359.25,225.0,401.5,415.75,203.25,232.5,265.25,314.25,196.5,296.25,46.5,154.5,307.5,305.21153846153845,14592.83431952663,259.65,297.375,370.0,201.1875
219.0,426.75,393.75,276.0,300.75,246.75,387.75,405.75,204.75,232.75,260.5,324.0,199.5,165.75,41.25,264.0,293.25,298.30769230769226,16557.440828402367,255.15,279.5,371.0625,191.0625
266.25,312.75,462.75,171.0,328.5,177.75,385.0,382.5,149.0,217.0,286.0,247.25,176.0,168.0,33.0,294.0,285.75,273.9807692307692,15060.156804733728,215.7,287.9375,332.875,195.1875
210.0,268.5,399.0,202.5,390.75,234.0,317.75,391.0,159.0,178.5,378.0,223.5,165.0,153.75,30.75,201.75,253.5,270.5769230769231,16811.023668639056,234.45,289.375,296.9375,159.9375
156.75,229.5,270.75,127.5,387.0,192.75,293.25,352.0,159.75,178.75,400.75,198.0,155.5,136.5,28.5,117.75,296.25,238.6346153846154,14731.458579881659,218.6,272.0625,230.25,144.75
182.25,360.75,251.25,142.5,255.0,218.25,271.5,261.75,182.0,167.5,271.75,185.25,126.5,119.25,21.75,71.25,282.75,221.24999999999997,10676.26627218935,193.4,220.8125,256.5,123.75
151.5,242.25,196.5,129.75,212.25,184.5,279.25,242.25,138.75,205.5,170.0,166.5,126.75,111.0,26.25,158.25,270.0,188.13461538461542,7701.195266272191,165.75,192.3125,211.9375,141.375
138.75,231.0,265.5,122.25,204.0,141.0,255.75,212.25,130.0,211.5,155.0,128.5,142.75,231.0,47.25,161.25,170.25,179.8653846153846,6916.260355029585,149.25,179.375,218.625,152.4375
157.5,255.75,189.0,158.25,168.75,137.25,226.5,100.5,89.0,152.75,128.75,114.25,125.75,169.5,63.75,95.25,111.75,154.15384615384616,5118.168639053255,127.0,134.875,207.375,110.0625
103.5,259.5,103.5,191.25,134.25,92.25,215.5,100.5,75.0,79.5,127.75,106.5,157.5,152.25,31.5,107.25,130.5,134.34615384615387,6663.896449704143,113.1,102.8125,192.4375,105.375
101.25,87.0,104.25,236.25,123.0,78.75,142.5,108.5,78.0,76.75,145.75,90.0,161.25,150.0,47.25,101.25,151.5,117.94230769230768,6267.795857988165,106.2,108.0625,142.5,112.5
111.75,93.75,138.0,149.25,113.25,76.5,193.5,129.75,55.75,81.25,114.75,109.0,139.75,105.0,44.25,84.75,111.75,115.86538461538461,5161.538461538463,98.85,109.375,143.625,86.4375
107.25,236.25,150.0,36.0,76.5,122.25,181.0,132.0,36.0,99.0,97.0,111.75,99.0,102.0,36.75,57.75,51.75,114.15384615384616,7139.671597633135,89.1,108.8125,150.8125,62.0625
91.5,88.5,160.5,153.75,115.5,84.75,126.0,95.0,33.25,90.75,91.0,134.5,93.25,64.5,30.75,60.0,103.5,104.48076923076924,4534.53550295858,92.25,92.0625,132.1875,64.6875
51.0,89.25,124.5,171.75,148.5,43.5,132.25,50.25,60.25,67.75,71.0,173.5,51.25,48.75,29.25,94.5,92.25,94.98076923076923,5219.69526627219,95.4,60.0,129.4375,66.1875
66.0,99.0,106.0,41.25,126.75,30.75,62.75,69.0,46.5,148.5,61.5,106.5,59.25,72.75,21.0,99.0,61.5,78.75,3948.3343195266275,73.95,86.25,77.25,63.5625
59.25,108.75,78.0,36.75,96.75,44.25,99.0,129.5,55.5,145.75,61.5,114.0,94.75,78.0,36.75,88.5,67.5,86.44230769230768,4410.698224852072,81.05,99.0,80.625,67.6875
58.5,93.0,72.0,36.75,47.25,47.25,138.75,118.5,46.75,85.75,65.0,72.25,63.25,48.0,38.25,58.5,35.25,72.6923076923077,2421.091715976331,55.35,81.9375,85.125,45.0
48.75,107.25,58.5,53.25,48.75,45.0,84.75,100.75,37.5,26.25,65.5,52.5,48.0,27.0,21.75,37.5,69.75,59.75,2460.0976331360953,46.35,60.3125,75.9375,39.0
15.75,51.0,105.75,101.25,58.5,30.75,49.5,94.0,34.75,25.0,71.5,57.25,41.25,87.75,18.75,49.5,48.0,56.63461538461539,3104.7426035502963,44.5,51.5625,76.875,51.0
29.25,59.25,66.75,65.25,121.5,32.25,50.5,98.25,25.25,24.5,80.25,26.25,35.0,75.0,27.0,47.25,24.0,54.94230769230769,3434.41124260355,48.05,58.0625,60.4375,43.3125
