S-01,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-11,S-12,S-13,S-14,S-15,S-BU1,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
7.0,40.0,27.0,3.0,0.0,8.0,0.0,10.0,6.0,0.0,6.0,13.0,29.0,0.0,11.461538461538462,482.8757396449705,12.333333333333334,5.5,17.666666666666668,0.0
7.0,39.4,25.933333333333334,3.0,0.0,7.8,0.0,9.0,5.7,0.0,10.0,16.6,26.4,0.13333333333333333,11.602564102564102,541.8449704142013,11.68888888888889,6.175,18.666666666666668,0.03333333333333333
7.0,38.8,24.866666666666667,3.0,0.0,7.6,0.0,8.0,5.4,0.0,14.0,20.2,23.8,0.26666666666666666,11.743589743589743,600.814201183432,11.044444444444444,6.85,19.666666666666668,0.06666666666666667
7.0,38.2,23.8,3.0,0.0,7.4,0.0,7.0,5.1,0.0,18.0,23.8,21.2,0.4,11.884615384615385,659.7834319526628,10.4,7.525,20.666666666666668,0.1
7.0,37.6,22.733333333333334,3.0,0.0,7.2,0.0,6.0,4.8,0.0,22.0,27.4,18.6,0.5333333333333333,12.025641025641026,718.7526627218934,9.755555555555556,8.2,21.666666666666668,0.13333333333333333
7.0,37.0,21.666666666666664,3.0,0.0,7.0,0.0,5.0,4.5,0.0,26.0,31.0,16.0,0.6666666666666666,12.166666666666666,777.7218934911242,9.11111111111111,8.875,22.666666666666668,0.16666666666666666
7.0,36.4,20.599999999999998,3.0,0.0,6.8,0.0,4.0,4.2,0.0,30.0,34.6,13.399999999999999,0.8,12.307692307692307,836.691124260355,8.466666666666667,9.55,23.666666666666668,0.2
7.0,35.8,19.53333333333333,3.0,0.0,6.6,0.0,3.0,3.9,0.0,34.0,38.2,10.8,0.9333333333333333,12.448717948717947,895.6603550295856,7.822222222222222,10.225000000000001,24.666666666666668,0.23333333333333334
7.0,35.2,18.466666666666665,3.0,0.0,6.4,0.0,2.0,3.6,0.0,38.0,41.8,8.2,1.0666666666666667,12.58974358974359,954.6295857988164,7.177777777777777,10.9,25.666666666666668,0.26666666666666666
7.0,34.6,17.4,3.0,0.0,6.2,0.0,1.0,3.3000000000000003,0.0,42.0,45.4,5.599999999999998,1.2,12.73076923076923,1013.5988165680471,6.533333333333332,11.575,26.666666666666668,0.3
7.0,34.0,16.333333333333332,3.0,0.0,6.0,0.0,0.0,3.0,0.0,46.0,49.0,3.0,1.3333333333333333,12.87179487179487,1072.568047337278,5.888888888888888,12.25,27.666666666666668,0.3333333333333333
