S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
101.1,97.2,90.9,113.1,134.1,20.7,92.7,42.400000000000006,103.8,52.8,60.0,183.6,61.2,53.1,113.7,152.4,111.30000000000001,76.5,86.19285714285714,1680.5943877551022,91.98333333333333,72.19999999999999,113.4
99.0,96.0,93.0,114.0,135.0,18.0,90.0,39.0,103.0,51.0,60.0,178.0,63.0,54.0,117.0,150.0,117.0,84.0,85.21428571428571,1610.7397959183675,91.33333333333333,71.33333333333333,117.0
105.3,92.4,92.4,111.6,130.8,21.9,94.5,39.0,100.8,51.0,61.8,172.5,64.8,56.7,121.2,141.6,113.7,85.8,85.39285714285714,1554.5801020408164,91.925,71.19999999999999,113.7
111.6,88.8,91.8,109.2,126.6,25.8,99.0,39.0,98.6,51.0,63.6,167.0,66.6,59.4,125.4,133.2,110.4,87.6,85.57142857142857,1498.4204081632654,92.51666666666667,71.06666666666666,110.4
117.9,85.2,91.2,106.8,122.4,29.7,103.5,39.0,96.4,51.0,65.4,161.5,68.4,62.1,129.6,124.8,107.1,89.4,85.75,1442.2607142857144,93.10833333333333,70.93333333333334,107.1
124.2,81.6,90.6,104.4,118.2,33.6,108.0,39.0,94.2,51.0,67.2,156.0,70.2,64.8,133.8,116.4,103.8,91.2,85.92857142857143,1386.1010204081633,93.7,70.8,103.8
130.5,78.0,90.0,102.0,114.0,37.5,112.5,39.0,92.0,51.0,69.0,150.5,72.0,67.5,138.0,108.0,100.5,93.0,86.10714285714286,1329.9413265306123,94.29166666666666,70.66666666666666,100.5
136.8,74.4,89.4,99.6,109.8,41.4,117.0,39.0,89.8,51.0,70.8,145.0,73.8,70.2,142.2,99.6,97.2,94.8,86.28571428571428,1273.7816326530613,94.88333333333333,70.53333333333333,97.2
143.1,70.8,88.8,97.2,105.6,45.3,121.5,39.0,87.6,51.0,72.6,139.5,75.6,72.9,146.4,91.19999999999999,93.9,96.6,86.46428571428571,1217.6219387755102,95.475,70.4,93.9
149.4,67.2,88.2,94.8,101.4,49.2,126.0,39.0,85.4,51.0,74.4,134.0,77.4,75.6,150.6,82.8,90.6,98.4,86.64285714285714,1161.4622448979592,96.06666666666666,70.26666666666667,90.6
